Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,33.0,100.9,35.6,81.7,43.6,13.4,41.9,32.0,16.3,24.7,65.9,16.7,21.5,38.2,20.6,14.8,3.6,16.6,22.7
2,North Carolina Tar Heels,38.0,85.7,31.2,62.6,49.9,5.7,15.8,35.8,17.6,24.7,71.2,13.7,27.1,40.8,18.3,8.1,4.6,13.8,17.0
3,Eastern Washington Eagles,29.0,84.2,29.2,58.9,49.5,6.6,19.4,33.7,19.3,26.3,73.6,11.2,23.6,34.8,17.7,7.1,3.1,15.4,19.3
4,Northern Arizona Lumberjacks,30.0,83.0,29.1,58.9,49.4,7.6,17.9,42.6,17.2,23.1,74.2,11.3,25.0,36.4,18.1,5.5,2.1,16.6,22.8
5,Cal State Fullerton Titans,30.0,82.1,30.2,65.8,45.9,8.2,22.4,36.7,13.5,21.0,64.4,14.2,25.1,39.3,17.3,6.8,2.2,15.4,19.5
6,Texas Longhorns,35.0,81.7,27.5,61.8,44.5,8.8,22.6,38.9,17.9,24.3,73.6,13.8,26.0,39.7,13.7,7.5,5.6,12.4,17.5
7,Davidson Wildcats,34.0,81.3,28.5,63.4,44.9,9.6,26.1,36.9,14.7,19.5,75.3,13.7,26.9,40.5,16.4,8.0,2.7,14.6,17.7
8,Notre Dame Fighting Irish,32.0,81.0,27.2,59.2,45.9,9.0,23.0,39.0,17.7,23.8,74.3,12.7,25.8,38.4,17.3,8.5,3.4,12.9,18.2
9,Tennessee Volunteers,35.0,80.9,28.0,62.5,44.8,9.3,25.6,36.5,15.5,23.7,65.3,13.5,22.3,35.8,15.6,9.6,3.1,14.2,20.1
10,Long Beach State Beach,32.0,80.5,28.3,62.3,45.4,8.5,22.8,37.5,15.3,21.8,70.2,12.8,23.8,36.6,14.2,7.4,2.8,13.9,17.5
11,Florida Gators,40.0,79.8,28.1,53.5,52.6,7.4,18.2,40.9,16.2,23.4,69.0,11.2,26.4,37.6,15.4,6.7,4.9,14.1,15.7
12,Texas A&M-Corpus Christi Islanders,33.0,79.2,27.6,52.9,52.2,5.8,14.5,40.2,18.2,25.7,70.7,11.3,24.2,35.5,18.0,7.8,2.9,16.3,19.1
13,Maryland Terrapins,34.0,79.0,28.6,59.8,47.8,5.8,15.0,38.5,16.1,23.1,69.5,12.9,26.1,39.0,17.3,7.4,6.9,16.0,18.0
14,Memphis Tigers,37.0,78.9,27.7,60.8,45.5,7.5,21.4,35.1,16.0,25.8,62.1,14.9,24.8,39.7,14.5,9.3,5.9,13.3,19.8
15,Northwestern State Demons,32.0,78.8,26.8,60.1,44.6,6.3,17.2,36.8,18.9,26.6,71.1,13.0,21.3,34.4,16.8,10.2,3.9,16.3,21.8
16,Georgia Tech Yellow Jackets,32.0,78.6,29.2,59.7,49.0,6.3,16.9,37.2,13.9,20.4,68.1,13.9,22.5,36.4,15.3,9.9,3.6,15.7,20.8
17,Sacred Heart Pioneers,32.0,78.5,28.6,59.5,48.0,7.5,19.7,37.9,13.9,20.2,69.1,10.2,22.2,32.3,15.0,9.4,3.4,15.1,19.6
18,Campbell Fighting Camels,31.0,78.5,26.1,58.3,44.9,7.6,22.3,34.1,18.6,25.8,72.2,11.1,24.7,35.8,16.4,9.7,3.0,17.8,19.4
19,Gonzaga Bulldogs,34.0,78.5,27.4,56.8,48.3,6.8,17.1,39.5,16.8,22.4,75.1,10.4,27.0,37.4,14.5,6.2,3.6,13.9,19.2
20,Kansas Jayhawks,38.0,78.4,29.1,59.0,49.4,6.1,15.4,39.6,14.1,21.3,66.0,12.8,26.9,39.7,17.1,9.2,6.5,14.2,18.8
21,Duquesne Dukes,29.0,78.3,27.8,63.2,43.9,8.2,24.9,33.1,14.6,19.6,74.4,13.5,19.0,32.5,16.0,7.5,3.5,14.9,19.4
22,Portland State Vikings,32.0,78.2,27.3,59.7,45.7,6.6,19.8,33.3,17.1,26.5,64.5,13.8,23.1,36.9,15.8,7.1,4.8,15.7,21.4
23,Western Kentucky Hilltoppers,33.0,78.2,27.5,57.2,48.2,8.0,19.7,40.4,15.1,20.8,72.5,12.0,21.2,33.2,13.5,6.9,2.6,15.0,21.0
24,BYU Cougars,34.0,78.1,28.6,58.3,49.1,7.5,18.1,41.5,13.4,20.2,66.0,12.2,25.3,37.4,15.9,6.0,3.5,13.4,19.5
25,New Mexico State Aggies,34.0,78.0,26.6,55.6,47.9,5.9,15.1,38.8,18.9,28.7,65.7,13.5,24.3,37.8,13.9,7.1,2.8,16.9,20.5
26,Arizona Wildcats,31.0,78.0,27.3,57.1,47.8,5.5,16.3,34.1,17.8,23.8,75.0,12.3,25.1,37.4,16.2,6.0,3.3,13.8,13.7
27,Missouri Tigers,30.0,77.6,28.0,60.9,46.0,8.2,21.9,37.2,13.4,19.3,69.1,11.5,23.3,34.8,15.5,10.1,3.0,14.9,20.5
28,Texas State Bobcats,29.0,77.6,25.3,62.3,40.7,8.4,23.2,36.3,18.4,26.9,68.5,15.4,20.0,35.4,13.9,8.8,2.6,19.3,26.6
29,Nevada Wolf Pack,34.0,77.4,27.9,57.7,48.4,7.4,18.3,40.6,14.1,18.7,75.6,11.7,26.5,38.2,16.7,5.4,4.4,13.3,16.8
30,Sam Houston Bearkats,31.0,77.3,26.3,58.7,44.8,8.5,23.9,35.5,16.2,24.2,66.9,12.6,24.7,37.3,19.2,7.9,3.2,15.0,21.2
31,Massachusetts Minutemen,33.0,77.3,28.1,58.8,47.7,6.0,17.5,34.1,15.2,24.5,62.1,14.6,25.8,40.4,15.8,6.8,7.5,16.1,21.1
32,Pepperdine Waves,31.0,77.1,27.1,62.8,43.2,9.8,27.2,35.9,13.1,18.6,70.2,11.3,18.5,29.8,13.8,9.1,3.8,15.3,20.1
33,North Texas Mean Green,34.0,77.0,27.2,59.7,45.6,6.6,17.9,37.0,15.9,24.1,65.7,14.2,25.6,39.9,12.6,6.6,4.4,15.8,20.3
34,Virginia Cavaliers,32.0,77.0,25.4,58.1,43.7,8.0,22.1,36.4,18.2,24.5,74.2,13.2,25.8,39.0,12.9,4.7,3.2,13.7,20.0
35,Mississippi State Bulldogs,35.0,76.9,27.2,59.2,45.9,7.9,22.1,35.5,14.7,22.1,66.5,12.7,26.3,38.9,14.6,7.0,6.3,14.0,17.1
36,Washington Huskies,32.0,76.5,28.1,60.3,46.6,5.9,16.1,36.8,14.4,19.8,72.4,14.3,23.9,38.3,15.2,5.5,2.8,15.7,19.3
37,North Dakota State Bison,28.0,76.5,28.5,56.8,50.3,5.1,13.2,38.6,14.3,20.4,70.1,12.6,24.4,37.0,15.1,7.6,4.9,14.4,17.1
38,Liberty Flames,31.0,76.4,28.9,60.1,48.1,5.1,15.1,33.8,13.6,19.3,70.4,11.5,26.4,38.0,15.2,6.8,2.8,15.1,20.7
39,Xavier Musketeers,34.0,76.3,25.0,52.5,47.6,7.9,20.3,39.0,18.5,24.9,74.1,10.8,22.9,33.7,14.9,5.6,3.5,12.7,17.7
40,Vanderbilt Commodores,34.0,76.3,26.6,58.4,45.6,9.3,24.8,37.6,13.8,18.9,72.9,10.2,23.5,33.7,17.0,7.6,2.7,12.4,17.1
41,Siena Saints,32.0,76.2,27.8,58.5,47.5,5.9,17.3,34.1,14.6,21.0,69.6,10.8,24.5,35.3,15.1,7.6,2.8,13.4,16.9
42,Boise State Broncos,31.0,76.1,27.0,59.0,45.8,7.1,20.9,33.9,15.0,22.7,66.1,11.6,26.8,38.4,14.7,6.7,3.5,15.3,17.4
43,Rhode Island Rams,33.0,76.1,26.2,57.1,45.8,7.5,19.2,39.1,16.2,22.5,72.2,13.5,22.3,35.9,13.6,5.4,3.2,14.8,16.8
44,Providence Friars,31.0,76.0,28.0,57.8,48.4,6.1,16.9,36.3,13.9,20.0,69.6,13.6,24.0,37.7,16.5,7.4,4.7,16.9,17.1
45,Appalachian State Mountaineers,33.0,76.0,27.7,57.8,47.9,7.6,21.0,36.4,13.0,18.8,68.8,11.7,23.0,34.7,15.6,8.6,3.7,14.8,18.0
46,Oregon Ducks,37.0,75.9,26.0,57.6,45.2,9.5,24.2,39.0,14.4,18.9,76.1,11.7,22.7,34.4,13.9,6.9,2.0,12.5,16.3
47,Niagara Purple Eagles,35.0,75.8,25.4,60.7,41.8,7.8,22.8,34.3,17.2,23.5,73.1,14.8,23.6,38.3,13.3,6.4,1.6,13.5,17.3
48,UTEP Miners,31.0,75.6,25.5,60.2,42.3,6.7,20.2,33.2,18.0,26.9,67.0,13.7,24.9,38.7,15.3,8.4,3.4,16.0,23.5
49,Texas A&M Aggies,34.0,75.6,26.7,53.6,49.8,6.3,15.0,42.2,15.9,22.1,71.6,10.1,25.4,35.6,17.4,6.6,3.3,12.2,19.4
50,Sacramento State Hornets,29.0,75.6,27.3,65.7,41.6,6.4,19.8,32.5,14.4,23.1,62.4,14.0,19.7,33.7,13.4,11.0,3.4,14.3,22.6
51,Syracuse Orange,35.0,75.6,25.7,57.9,44.3,7.3,20.1,36.5,16.9,24.3,69.5,12.9,27.5,40.3,14.9,8.3,7.1,15.0,17.6
52,Cal Poly Mustangs,30.0,75.5,26.9,57.8,46.5,9.3,23.8,39.3,12.4,19.4,64.0,10.6,24.6,35.2,14.3,6.7,3.3,12.9,17.2
53,Cal State Northridge Matadors,31.0,75.5,26.8,59.7,44.9,5.4,16.4,33.0,16.5,23.1,71.2,14.4,24.5,38.8,14.6,9.0,2.5,19.1,24.9
54,New Mexico Lobos,32.0,75.3,26.8,58.3,45.9,9.3,24.9,37.5,12.5,18.9,66.1,10.4,22.9,33.4,15.1,5.7,2.4,12.3,17.6
55,Akron Zips,33.0,75.3,27.3,56.3,48.5,7.4,18.9,39.3,13.3,19.9,67.0,12.1,23.0,35.1,15.2,8.1,4.3,12.5,18.5
56,Baylor Bears,31.0,75.3,26.6,57.8,46.0,8.1,22.4,36.4,13.9,20.7,67.2,12.8,23.5,36.2,14.0,5.9,3.7,14.5,20.1
57,High Point Panthers,32.0,75.2,27.8,59.7,46.5,6.6,19.0,34.5,13.1,19.3,67.9,12.8,24.0,36.8,16.6,6.9,3.4,15.5,19.3
58,Robert Morris Colonials,28.0,75.2,27.4,57.5,47.7,7.1,21.1,33.9,13.2,17.4,75.8,11.1,22.8,33.9,16.1,7.6,2.8,14.5,19.5
59,Tennessee Tech Golden Eagles,32.0,75.1,25.5,56.2,45.4,6.3,18.7,33.9,17.8,26.7,66.8,13.1,25.3,38.3,13.5,6.8,3.4,15.5,20.6
60,San Diego Toreros,32.0,75.1,26.0,58.2,44.7,7.1,19.6,36.0,16.1,22.9,70.3,12.9,21.8,34.8,14.7,7.2,3.1,15.6,20.0
61,Georgia Bulldogs,33.0,75.1,27.8,60.3,46.2,8.0,20.9,38.1,11.5,17.2,66.7,14.0,23.8,37.9,14.7,8.9,4.5,15.7,17.4
62,Temple Owls,30.0,75.0,26.2,56.9,46.0,8.1,22.1,36.7,14.6,20.6,70.9,9.9,22.3,32.3,14.6,7.6,2.9,12.6,19.2
63,Oklahoma State Cowboys,35.0,75.0,26.1,55.7,46.8,6.3,17.4,36.2,16.5,22.8,72.6,11.6,23.5,35.1,14.4,7.4,3.7,16.1,18.7
64,VCU Rams,35.0,75.0,25.7,56.3,45.7,7.0,17.4,40.1,16.6,22.8,72.8,12.2,21.1,33.3,13.6,7.7,3.0,11.3,18.4
65,Marist Red Foxes,34.0,74.9,26.1,58.0,45.1,9.2,25.9,35.5,13.5,19.8,68.2,11.9,25.0,36.9,15.1,5.6,2.2,13.0,18.5
66,Drake Bulldogs,32.0,74.9,25.6,56.9,45.0,6.1,18.4,32.9,17.6,24.8,71.0,13.9,22.6,36.4,15.3,7.9,2.8,13.8,17.7
67,UNLV Rebels,37.0,74.9,26.5,59.5,44.5,7.8,21.7,36.0,14.2,19.8,71.6,12.4,22.5,34.9,14.8,7.8,5.3,11.1,18.1
68,Florida Atlantic Owls,31.0,74.9,26.9,55.0,48.9,6.2,16.7,36.8,14.9,21.5,69.4,9.3,23.7,33.0,15.3,6.7,1.9,15.4,20.1
69,Winthrop Eagles,34.0,74.9,27.1,56.9,47.7,8.2,22.7,36.0,12.4,19.9,62.4,12.4,25.2,37.6,16.7,7.9,3.7,13.1,17.1
70,Bradley Braves,35.0,74.7,26.4,57.5,45.9,10.0,23.7,42.0,12.0,17.7,67.8,8.9,21.0,29.9,15.5,8.3,2.3,11.4,18.4
71,Seton Hall Pirates,29.0,74.7,26.3,62.6,42.1,6.4,20.0,32.2,15.5,20.6,75.4,12.6,21.4,34.0,12.6,10.3,2.8,12.2,20.8
72,Ohio State Buckeyes,39.0,74.5,26.4,55.8,47.2,7.4,20.4,36.1,14.4,20.4,70.3,11.1,24.5,35.6,14.9,6.8,5.6,11.4,13.7
73,Florida State Seminoles,35.0,74.5,26.7,55.6,48.1,6.8,17.8,38.0,14.2,18.8,75.8,10.7,20.8,31.5,12.4,7.9,3.3,14.7,17.9
74,Coastal Carolina Chanticleers,30.0,74.4,27.7,60.7,45.6,7.2,21.4,33.7,11.8,17.6,67.0,13.2,21.7,34.9,16.6,9.2,2.5,15.1,18.8
