Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Oakland Golden Grizzlies,35.0,86.4,28.6,62.5,45.8,9.0,22.7,39.8,20.1,26.1,77.0,11.4,27.9,39.3,15.6,6.1,3.3,11.4,19.1
2,The Citadel Bulldogs,32.0,86.0,29.3,70.3,41.7,11.3,35.1,32.3,16.1,22.0,72.9,12.6,23.5,36.1,15.6,8.9,3.3,13.8,24.1
3,Marshall Thundering Herd,33.0,86.0,30.8,66.2,46.6,10.1,29.8,33.7,14.3,20.6,69.3,10.3,26.9,37.3,16.8,6.8,3.1,12.8,19.3
4,Omaha Mavericks,32.0,85.3,29.8,63.2,47.1,6.3,18.7,33.7,19.4,26.0,74.5,10.6,24.8,35.4,14.4,9.3,2.9,12.9,20.5
5,North Florida Ospreys,34.0,84.3,29.4,60.7,48.4,12.1,29.5,41.0,13.4,18.4,72.8,8.6,25.7,34.4,16.4,5.2,5.1,11.3,16.2
6,Washington Huskies,34.0,83.9,28.4,66.6,42.6,7.3,22.1,33.1,19.9,27.4,72.5,13.9,26.0,39.9,14.4,7.6,6.6,13.8,23.9
7,Detroit Mercy Titans,31.0,83.7,29.0,62.3,46.5,7.9,21.0,37.5,17.9,25.6,69.8,12.0,25.7,37.7,13.2,6.9,4.3,13.6,22.8
8,Green Bay Phoenix,36.0,83.7,29.1,65.3,44.6,7.1,20.3,34.9,18.4,28.0,65.7,12.7,25.8,38.5,13.9,9.9,4.6,12.3,20.1
9,BYU Cougars,37.0,83.6,29.6,64.0,46.3,8.9,23.3,38.2,15.4,22.4,69.0,11.9,29.0,40.9,16.5,6.9,4.4,11.7,18.6
10,North Carolina Tar Heels,40.0,82.8,30.9,64.0,48.2,5.6,17.1,32.7,15.4,20.7,74.7,14.2,26.4,40.6,17.8,6.7,4.4,10.8,18.0
11,Indiana Hoosiers,35.0,82.6,29.2,58.1,50.2,9.9,23.7,41.6,14.4,19.7,73.1,11.8,25.0,36.8,16.0,6.8,3.9,13.5,18.5
12,Belmont Bruins,32.0,82.4,28.6,57.8,49.5,10.6,29.1,36.3,14.8,20.3,72.6,8.5,26.0,34.5,17.0,4.5,2.5,14.1,20.0
13,Winthrop Eagles,32.0,82.2,27.8,58.4,47.6,8.9,24.0,37.1,17.7,23.6,74.9,9.1,27.2,36.3,11.8,5.4,5.4,12.6,18.9
14,Iowa State Cyclones,35.0,81.8,31.1,61.7,50.3,8.4,21.7,38.7,11.3,16.1,70.2,8.7,26.9,35.5,16.5,6.2,4.1,11.4,15.5
15,Eastern Washington Eagles,34.0,81.4,28.3,58.5,48.3,10.5,27.2,38.5,14.4,21.1,68.3,9.4,23.9,33.3,13.2,5.9,3.8,11.2,19.4
16,Kansas Jayhawks,38.0,81.3,28.7,58.1,49.5,8.0,19.2,41.8,15.8,22.2,71.3,10.6,27.4,38.0,15.9,6.7,4.2,12.6,18.9
17,Duke Blue Devils,36.0,81.1,27.3,59.3,46.0,9.1,23.6,38.5,17.4,24.1,72.3,11.8,24.3,36.1,13.3,6.3,4.3,9.8,16.8
18,Eastern Kentucky Colonels,31.0,80.5,27.9,56.8,49.1,8.3,21.1,39.5,16.5,22.6,73.0,8.8,23.4,32.2,15.9,7.0,3.1,14.7,21.5
19,Xavier Musketeers,34.0,80.5,28.9,62.9,46.0,7.8,20.2,38.7,14.9,22.1,67.6,11.8,27.5,39.3,14.8,6.3,5.4,12.2,17.4
19,Xavier Musketeers,34.0,80.5,27.3,60.4,45.2,7.5,20.6,36.3,18.4,25.2,73.0,12.8,28.1,40.9,16.1,7.2,3.0,12.6,19.9
21,Arizona Wildcats,34.0,80.4,27.8,57.9,48.0,6.5,17.1,38.1,18.3,25.4,72.1,11.6,28.6,40.2,14.3,4.8,4.7,13.0,18.3
22,Stetson Hatters,34.0,80.3,28.3,62.5,45.2,8.3,22.8,36.4,15.4,21.3,72.1,9.6,26.0,35.6,15.3,6.3,2.4,12.3,18.1
23,Stephen F. Austin Lumberjacks,34.0,80.2,28.6,59.8,47.8,7.9,21.8,36.3,15.1,20.6,73.5,11.9,23.1,35.0,18.7,9.1,3.6,12.1,20.6
24,Michigan State Spartans,34.0,80.2,28.9,59.4,48.8,9.2,21.1,43.6,13.1,18.1,72.6,12.2,29.4,41.6,20.7,4.6,5.1,11.9,19.2
25,Butler Bulldogs,33.0,79.9,27.8,59.7,46.6,7.2,18.2,39.3,17.2,23.5,73.1,11.1,24.8,35.9,14.2,6.9,3.2,10.2,19.6
26,Oklahoma Sooners,37.0,79.7,27.5,60.1,45.8,10.3,24.5,42.2,14.3,19.8,72.2,11.0,27.3,38.3,14.5,6.7,5.1,13.1,17.0
27,Iona Gaels,33.0,79.6,27.8,60.9,45.7,9.9,26.8,37.0,14.0,19.7,71.1,10.5,26.4,36.9,16.7,7.5,4.1,12.8,19.4
28,Creighton Bluejays,35.0,79.6,28.0,59.5,47.0,8.1,23.0,35.2,15.6,22.3,70.0,9.5,27.6,37.1,15.3,6.0,3.1,11.6,18.9
29,Louisiana Ragin' Cajuns,34.0,79.6,27.4,61.7,44.4,6.5,21.1,31.0,18.3,26.2,69.8,14.3,27.2,41.5,12.7,6.4,3.6,12.5,18.7
