Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,32.0,87.2,32.7,62.6,52.1,8.2,22.1,37.0,13.7,19.2,71.3,9.7,32.2,41.9,18.1,6.4,5.8,11.6,15.6
2,South Dakota State Jackrabbits,35.0,85.9,30.8,59.1,52.1,9.3,20.9,44.5,14.9,19.7,75.8,7.5,27.9,35.5,15.1,6.1,2.5,11.0,15.3
3,Arizona Wildcats,37.0,84.0,30.2,61.3,49.2,7.8,22.0,35.2,15.8,21.4,73.9,11.6,29.8,41.4,19.6,6.7,5.7,13.4,16.7
4,Oral Roberts Golden Eagles,31.0,83.3,30.2,66.2,45.7,11.6,30.6,38.0,11.2,15.4,73.0,11.0,29.2,40.2,11.7,5.5,4.2,9.9,15.4
5,Iowa Hawkeyes,36.0,83.2,29.8,64.5,46.1,9.2,25.3,36.3,14.5,19.4,74.9,11.9,25.4,37.3,16.0,7.3,4.3,9.2,16.3
6,UAB Blazers,35.0,80.3,29.6,63.2,46.8,7.9,21.0,37.6,13.3,18.0,73.9,12.1,26.1,38.2,12.9,9.5,4.2,11.5,16.5
7,Bowling Green Falcons,31.0,80.3,28.4,65.3,43.5,8.2,24.2,34.0,15.2,20.5,73.9,12.2,26.6,38.8,12.6,7.3,3.4,12.3,17.7
8,Duke Blue Devils,39.0,80.1,29.7,60.4,49.1,7.9,21.6,36.6,12.8,17.3,73.8,10.5,27.4,37.9,16.5,6.4,5.6,10.3,13.7
9,Buffalo Bulls,30.0,79.9,29.7,65.2,45.5,8.5,24.9,34.2,12.0,17.0,70.9,14.2,28.3,42.4,15.0,7.1,4.6,13.2,17.1
10,Toledo Rockets,34.0,79.9,29.9,62.4,47.9,6.9,19.5,35.4,13.2,17.5,75.4,10.7,29.2,39.9,15.3,5.5,2.8,10.2,15.1
11,Princeton Tigers,30.0,79.8,30.3,62.2,48.8,10.9,28.2,38.7,8.3,12.9,63.9,8.9,26.6,35.5,15.5,6.2,1.8,10.2,14.0
12,St. John's Red Storm,32.0,79.6,30.3,66.8,45.3,7.3,21.6,33.5,11.8,17.4,67.7,12.0,25.9,37.8,18.8,8.8,5.5,11.9,17.9
13,Alabama Crimson Tide,33.0,79.5,27.6,62.8,43.9,9.2,29.9,30.9,15.0,20.6,72.8,13.4,26.2,39.6,14.7,7.1,4.7,14.5,18.5
14,Kentucky Wildcats,34.0,79.4,30.3,62.8,48.3,6.1,17.5,34.7,12.8,17.6,72.6,12.9,27.2,40.1,16.2,6.8,4.2,11.6,14.3
15,Purdue Boilermakers,37.0,79.4,27.7,56.6,49.0,8.5,22.2,38.4,15.4,21.6,71.1,11.1,27.5,38.7,16.2,4.6,3.5,11.8,14.5
16,Eastern Kentucky Colonels,31.0,79.3,28.6,68.5,41.7,11.7,33.2,35.3,10.3,14.6,70.6,12.6,23.6,36.2,15.6,10.2,3.6,11.6,16.6
