Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Stephen F. Austin Lumberjacks,34.0,16.9,6.1,8.5,4.0,2.7,5.7,4.3,1.8,0.6,7.1,2.0,0.6,2.6,7.0,3.8,0.7,-6.4,0.3
2,Michigan State Spartans,34.0,16.0,6.7,1.4,10.5,3.2,2.2,12.3,-0.8,-1.6,1.4,2.7,8.7,11.4,9.9,-0.8,1.7,2.2,1.7
3,Villanova Wildcats,40.0,14.3,4.5,0.0,8.0,1.5,2.9,2.2,3.8,2.2,12.0,-1.9,3.5,1.5,3.1,1.2,1.2,-2.8,-1.9
4,SMU Mustangs,30.0,13.8,6.0,1.2,9.6,-1.0,-7.1,8.8,2.7,2.3,6.2,2.7,7.3,10.1,5.0,-1.2,0.6,0.3,-2.1
5,Louisville Cardinals,31.0,13.8,7.5,7.4,7.8,0.0,-1.0,2.5,-1.4,-2.1,0.2,3.1,3.3,6.5,3.0,1.7,1.9,-2.9,1.3
6,Kansas Jayhawks,38.0,13.6,5.7,0.1,9.7,1.8,0.0,9.6,0.2,0.7,-1.1,0.0,5.4,5.5,5.0,0.1,0.8,-0.4,-1.5
7,Wichita State Shockers,35.0,13.3,5.9,9.1,4.1,1.3,4.1,0.0,0.1,0.0,0.8,3.6,0.7,4.3,4.9,2.6,0.5,-5.5,-0.2
8,Gonzaga Bulldogs,36.0,13.3,4.2,-2.3,8.9,1.8,0.6,8.1,3.0,2.7,5.6,0.4,6.9,7.4,3.6,-0.6,0.1,1.1,-2.1
9,Purdue Boilermakers,34.0,13.2,4.1,-1.7,8.2,1.5,1.1,5.7,3.3,3.5,4.4,2.7,8.3,11.1,5.9,-2.1,1.9,2.9,-2.9
10,North Carolina Tar Heels,40.0,12.7,6.0,4.4,6.5,-2.1,-4.1,-3.5,2.8,2.5,5.0,2.9,5.6,8.6,6.9,1.0,1.3,-2.0,-0.3
11,Indiana Hoosiers,35.0,12.6,3.3,0.0,5.7,3.6,5.5,7.2,2.4,2.1,5.0,1.5,5.0,6.5,3.8,0.6,0.8,0.4,-0.5
12,Saint Mary's Gaels,35.0,12.6,4.2,-2.2,9.4,2.8,3.5,7.7,1.4,1.8,1.6,-0.6,5.6,5.0,5.8,0.4,0.9,0.0,-1.8
13,Valparaiso Beacons,37.0,12.4,4.6,3.1,5.8,1.9,3.9,3.0,1.1,-0.4,6.7,3.2,5.5,8.8,3.5,0.8,1.0,0.0,0.4
14,Stony Brook Seawolves,33.0,12.1,4.9,3.2,6.0,0.2,-1.5,4.1,2.0,3.9,-4.2,3.7,3.9,7.6,5.3,0.5,1.6,-1.2,-2.5
15,West Virginia Mountaineers,35.0,11.8,6.2,11.1,2.4,0.0,0.6,-0.6,-0.6,0.6,-4.1,7.2,1.4,8.6,3.9,2.8,-1.0,-3.5,0.1
16,Kentucky Wildcats,35.0,11.5,5.7,2.1,8.1,1.1,1.3,3.5,-1.0,-1.0,-1.1,0.8,4.6,5.5,5.0,1.3,2.7,-1.2,0.7
17,Arizona Wildcats,34.0,11.5,2.7,-2.8,6.7,0.5,-1.9,6.5,5.5,7.5,0.7,2.1,7.0,9.2,2.1,-0.6,1.2,1.5,-3.5
18,Yale Bulldogs,30.0,11.1,3.8,1.3,5.9,0.2,-1.3,3.8,3.0,5.4,-2.9,5.0,5.8,10.9,3.8,-1.0,0.9,1.0,-3.7
