Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,The Citadel Bulldogs,33.0,89.8,29.7,71.5,41.5,12.0,35.3,34.0,18.4,24.3,75.7,13.6,23.8,37.4,17.0,9.3,2.6,14.3,22.3
2,UCLA Bruins,36.0,89.8,33.6,64.4,52.2,9.8,24.2,40.6,12.8,17.3,73.8,9.5,28.9,38.5,21.4,5.9,5.3,11.2,16.2
3,Central Michigan Chippewas,32.0,88.3,28.5,67.3,42.4,12.5,34.8,35.8,18.8,23.8,79.1,11.4,27.5,38.9,11.3,5.7,2.9,11.3,19.1
4,Purdue Fort Wayne Mastodons,33.0,86.9,32.0,64.5,49.6,10.7,26.5,40.2,12.3,17.0,72.5,10.1,27.5,37.6,17.5,7.7,3.9,13.6,17.9
5,Oklahoma State Cowboys,33.0,85.7,29.0,62.1,46.7,8.9,22.2,40.2,18.8,23.8,78.9,13.8,23.1,36.8,14.7,7.6,3.0,13.1,22.1
6,Savannah State Tigers,29.0,85.7,28.7,70.0,41.0,13.5,40.8,33.2,14.7,22.7,64.8,12.3,28.0,40.3,17.3,7.8,3.2,14.9,19.7
7,Marshall Thundering Herd,35.0,85.6,29.2,63.9,45.6,10.2,27.5,37.0,17.1,23.3,73.4,9.3,27.7,37.0,16.5,6.0,4.0,12.4,18.4
8,Portland State Vikings,31.0,85.3,30.9,64.2,48.2,7.7,22.5,34.1,15.8,24.0,65.8,10.4,23.9,34.3,15.8,9.9,2.6,12.1,19.0
9,Lipscomb Bisons,33.0,85.0,28.5,59.9,47.5,10.3,28.1,36.6,17.8,24.6,72.3,10.3,26.5,36.8,18.2,6.6,3.2,15.2,21.3
10,Kentucky Wildcats,38.0,84.9,29.8,63.1,47.3,7.0,19.9,35.3,18.2,25.8,70.3,12.4,27.4,39.8,15.4,6.0,5.3,11.7,18.8
11,UNC Wilmington Seahawks,35.0,84.8,30.6,63.7,48.0,9.6,26.2,36.6,14.0,20.2,69.1,12.1,24.0,36.0,16.1,6.7,3.4,10.4,20.0
12,North Carolina Tar Heels,40.0,84.4,30.7,65.8,46.6,7.1,20.0,35.5,16.1,22.9,70.1,15.8,28.0,43.7,18.1,7.1,3.5,11.8,17.8
13,Omaha Mavericks,32.0,83.9,28.0,61.6,45.4,9.3,23.9,38.8,18.7,25.0,74.8,10.6,25.3,35.9,13.8,8.2,3.3,13.9,19.3
14,Kansas Jayhawks,36.0,83.2,29.8,60.9,48.8,8.8,21.9,40.4,14.9,21.9,67.8,11.9,26.8,38.7,16.2,6.9,4.5,12.7,17.8
15,Wake Forest Demon Deacons,33.0,82.8,28.0,59.2,47.2,8.1,21.1,38.5,18.8,24.1,77.8,10.6,25.7,36.3,15.5,5.5,3.7,11.8,20.2
16,Gonzaga Bulldogs,39.0,82.6,29.5,58.5,50.4,7.3,19.2,38.2,16.4,22.8,71.7,9.7,31.0,40.7,15.3,6.8,4.7,11.5,16.9
17,Marquette Golden Eagles,32.0,82.2,28.7,59.0,48.7,10.5,24.5,42.9,14.3,18.3,78.1,8.8,24.3,33.1,16.4,7.2,3.6,12.4,19.4
18,Florida State Seminoles,35.0,82.1,29.6,61.3,48.3,6.7,19.2,34.7,16.2,23.5,68.9,11.7,26.1,37.8,14.6,7.4,5.1,11.9,19.5
19,Louisiana Ragin' Cajuns,33.0,81.9,28.6,61.3,46.7,7.0,20.4,34.3,17.7,25.4,69.5,13.4,24.6,38.0,14.3,7.1,2.8,13.3,18.8
20,Creighton Bluejays,35.0,81.8,30.8,61.0,50.5,8.7,21.9,39.6,11.5,16.9,68.2,8.3,26.7,34.9,17.1,6.1,2.9,12.4,16.7
21,William & Mary Tribe,31.0,81.7,28.6,58.3,49.1,9.1,23.9,38.2,15.4,22.2,69.2,8.7,27.5,36.2,17.5,5.4,4.9,12.5,18.3
22,Rice Owls,35.0,81.5,27.0,58.5,46.2,9.3,24.0,38.8,18.1,24.5,74.0,10.1,28.0,38.1,13.8,6.3,3.7,15.0,19.1
23,West Virginia Mountaineers,37.0,81.5,28.6,63.1,45.4,7.4,20.5,36.2,16.8,24.5,68.5,14.4,23.0,37.4,16.4,10.0,4.8,12.3,20.4
24,Monmouth Hawks,34.0,81.2,27.3,62.6,43.7,8.9,23.9,37.3,17.6,23.3,75.7,11.2,27.4,38.5,12.7,6.9,4.6,12.5,20.5
25,UMBC Retrievers,34.0,81.1,28.1,60.0,46.9,9.7,24.7,39.3,15.1,20.3,74.5,9.0,26.3,35.3,14.9,6.6,2.4,12.1,18.4
26,Wichita State Shockers,36.0,81.0,27.6,58.8,46.9,8.6,21.4,40.3,17.3,23.6,73.3,12.0,28.9,40.9,16.3,6.5,3.9,11.3,18.8
27,Duke Blue Devils,37.0,80.8,27.5,58.0,47.5,8.4,22.2,37.9,17.4,22.8,76.2,10.5,25.7,36.2,13.1,6.1,4.6,11.4,18.2
28,Iowa State Cyclones,35.0,80.8,29.5,62.5,47.2,9.8,24.6,40.0,12.1,17.3,70.0,9.1,25.7,34.8,15.8,7.8,3.5,10.1,15.9
29,BYU Cougars,34.0,80.6,27.6,60.5,45.6,6.8,19.6,34.4,18.7,25.6,73.3,10.7,31.1,41.7,15.7,6.6,4.6,13.8,19.3
30,North Dakota Fighting Hawks,32.0,80.6,28.9,60.0,48.3,7.1,18.3,39.0,15.6,21.8,71.3,9.3,26.5,35.8,15.2,7.8,2.9,13.1,20.9
31,Iowa Hawkeyes,34.0,80.5,28.4,62.4,45.4,8.8,23.3,37.9,15.0,21.8,68.8,12.0,26.4,38.4,17.7,7.4,3.8,13.9,17.9
32,Auburn Tigers,32.0,80.4,26.9,61.5,43.7,9.0,24.7,36.6,17.6,26.1,67.2,11.5,25.1,36.6,13.2,7.4,5.1,13.6,20.9
33,Iona Gaels,35.0,80.4,28.0,61.6,45.4,9.8,24.6,39.7,14.7,19.1,76.8,9.7,26.1,35.7,15.5,6.8,3.1,12.0,19.1
34,Green Bay Phoenix,32.0,80.2,28.5,64.4,44.3,6.2,19.1,32.2,16.9,24.6,68.9,12.1,28.9,41.0,14.0,7.8,4.2,14.0,19.8
35,Montana State Bobcats,32.0,80.0,26.8,61.5,43.5,10.0,26.7,37.5,16.5,22.6,73.0,10.5,25.9,36.4,13.2,5.7,2.4,12.3,22.9
36,Murray State Racers,33.0,80.0,27.2,61.8,44.1,8.8,24.3,36.0,16.7,22.8,73.5,12.1,25.6,37.7,13.9,6.0,2.3,12.2,20.0
37,Nevada Wolf Pack,35.0,79.8,26.7,59.5,44.8,9.1,23.9,38.2,17.3,24.5,70.5,11.0,27.6,38.6,16.0,5.4,4.3,11.0,16.6
38,Indiana Hoosiers,34.0,79.7,28.2,58.9,47.9,8.7,22.8,38.0,14.6,20.1,72.9,12.1,26.9,39.0,14.4,6.1,4.6,15.2,20.1
39,Purdue Boilermakers,35.0,79.7,28.0,58.4,47.9,9.0,22.3,40.3,14.7,19.4,75.7,9.8,27.9,37.7,18.3,5.2,2.5,13.0,15.8
40,East Tennessee State Buccaneers,35.0,79.5,27.4,56.2,48.8,7.6,19.8,38.2,17.1,24.3,70.2,10.2,26.1,36.3,14.7,8.4,4.6,14.8,19.9
41,Florida Gulf Coast Eagles,34.0,79.4,29.6,59.4,49.9,6.5,18.7,34.7,13.7,19.5,70.2,11.1,26.2,37.3,15.5,6.1,3.4,12.4,18.7
