Team,Ranking,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Boston University Terriers,332,33.0,66.5,23.3,56.2,41.4,7.7,23.1,33.3,12.2,17.0,71.7,9.3,26.0,35.3,12.9,6.5,3.1,11.6,17.3
Navy Midshipmen,333,31.0,66.5,23.1,58.4,39.6,5.8,19.5,30.0,14.4,20.4,70.8,12.5,23.2,35.6,12.1,6.7,2.0,10.2,18.0
Manhattan Jaspers,334,30.0,66.2,24.7,59.7,41.3,7.3,23.2,31.5,9.5,13.2,72.2,9.1,23.7,32.8,14.4,7.5,2.9,13.4,13.9
Air Force Falcons,335,31.0,66.2,23.5,51.7,45.3,8.8,24.4,36.1,10.5,15.3,68.2,7.3,20.9,28.1,14.5,6.5,3.9,12.0,17.5
Eastern Michigan Eagles,336,31.0,66.0,25.3,58.9,42.9,5.7,18.9,30.4,9.8,14.6,66.7,10.4,24.1,34.5,10.4,5.8,2.5,11.6,16.4
UCLA Bruins,337,33.0,66.0,23.1,55.2,41.9,5.5,16.7,33.2,14.2,19.5,73.0,10.3,23.5,33.8,11.2,5.8,3.3,10.8,18.5
Detroit Mercy Titans,338,32.0,66.0,23.8,56.4,42.1,5.8,20.8,28.1,12.6,17.1,73.5,8.8,20.6,29.4,10.8,6.9,2.4,13.3,17.3
IUPUI Jaguars,339,32.0,65.9,24.2,55.3,43.8,3.4,13.9,24.8,14.0,19.0,73.6,9.9,19.6,29.5,10.4,7.6,2.1,14.6,17.5
Middle Tennessee Blue Raiders,340,33.0,65.7,22.5,55.8,40.2,7.3,23.5,31.1,13.5,19.1,70.4,10.4,24.3,34.8,10.0,5.3,4.2,14.0,15.6
North Carolina A&T Aggies,341,32.0,65.6,22.7,58.5,38.8,6.0,20.9,28.7,14.2,19.9,71.3,9.4,22.5,31.9,10.2,5.6,3.3,9.4,15.3
Rutgers Scarlet Knights,342,32.0,65.4,23.4,60.2,38.9,5.5,19.1,28.7,13.0,19.8,65.8,12.3,24.9,37.1,11.8,7.7,5.2,11.4,16.9
Bucknell Bison,343,33.0,65.2,23.0,53.6,42.8,8.2,24.1,33.8,11.2,15.6,71.6,8.4,24.2,32.5,12.1,6.1,3.4,12.3,16.9
Maryland-Eastern Shore Hawks,344,29.0,65.2,23.0,57.4,40.1,5.8,19.7,29.5,13.3,18.6,71.5,10.8,24.0,34.8,10.8,7.0,2.8,13.7,17.5
St. Francis (PA) Red Flash,345,30.0,65.2,23.8,56.1,42.4,6.4,19.2,33.5,11.2,18.4,61.0,11.8,22.6,34.4,12.2,5.9,3.6,13.7,17.7
Lindenwood Lions,346,31.0,65.1,22.5,55.7,40.3,4.8,17.0,28.3,15.4,21.1,73.2,8.6,22.8,31.4,8.0,6.2,2.5,11.8,17.5
Saint Peter's Peacocks,347,33.0,64.8,21.8,55.5,39.3,5.8,17.9,32.5,15.4,21.6,71.2,12.5,22.7,35.2,10.6,7.1,4.2,12.5,19.4
