Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,29.0,88.6,30.4,73.1,41.7,11.6,35.4,32.7,16.1,23.7,68.1,13.2,23.8,37.1,14.6,10.4,5.0,14.7,20.5
2,BYU Cougars,36.0,83.1,28.5,58.9,48.3,8.1,19.4,41.7,18.1,22.9,79.0,10.2,26.8,37.0,15.8,8.5,3.5,11.6,17.3
3,Providence Friars,31.0,82.4,29.5,67.9,43.4,8.0,24.3,33.0,15.5,23.0,67.1,17.3,23.2,40.4,14.3,8.0,4.4,12.7,19.8
4,Villanova Wildcats,33.0,81.8,27.2,59.5,45.8,7.6,20.5,37.3,19.7,26.1,75.5,13.4,25.2,38.5,13.6,7.8,4.0,13.7,22.1
5,Kansas Jayhawks,36.0,81.6,28.7,58.6,48.9,7.3,18.0,40.4,16.9,24.2,69.9,13.0,27.5,40.5,16.9,8.4,6.4,13.1,18.2
6,Texas Longhorns,34.0,81.2,29.6,63.5,46.6,5.7,16.6,34.5,16.4,25.8,63.3,14.8,27.1,41.9,14.4,7.9,5.7,13.6,19.7
7,Syracuse Orange,35.0,80.9,29.8,57.7,51.6,7.0,17.8,39.1,14.4,21.3,67.7,11.9,26.3,38.2,19.2,9.6,6.3,15.2,14.7
8,Seattle U Redhawks,31.0,80.3,28.4,64.1,44.3,5.3,15.9,33.3,18.2,28.1,64.6,15.0,25.1,40.1,12.1,9.3,1.9,17.7,23.4
9,Seton Hall Pirates,32.0,80.1,29.3,65.8,44.5,6.5,19.6,33.3,14.9,21.9,68.2,14.3,24.5,38.8,15.2,7.4,5.3,10.7,18.8
10,Marshall Thundering Herd,34.0,79.9,27.9,58.4,47.8,6.5,17.4,37.6,17.6,25.7,68.4,12.1,26.9,39.0,16.1,6.4,7.9,12.7,18.0
11,Xavier Musketeers,35.0,79.8,27.5,59.5,46.2,7.1,19.0,37.7,17.7,24.9,71.1,12.7,27.7,40.4,14.1,6.7,3.8,12.9,18.9
12,Kansas State Wildcats,37.0,79.7,26.5,59.0,45.0,6.8,19.0,36.0,19.8,29.7,66.8,15.1,23.7,38.8,14.6,7.4,5.1,14.3,22.3
13,Maryland Terrapins,33.0,79.7,29.3,62.2,47.1,5.9,15.5,38.2,15.2,20.9,72.9,12.8,25.7,38.5,16.5,7.8,4.7,11.6,16.8
14,Nevada Wolf Pack,34.0,79.5,28.9,60.0,48.2,6.5,18.0,36.2,15.1,20.7,73.2,11.0,26.1,37.1,14.1,5.1,4.4,11.9,17.4
15,South Dakota Coyotes,32.0,79.5,27.7,58.3,47.5,7.6,20.4,37.4,16.5,24.8,66.4,9.3,28.5,37.8,16.8,6.9,5.1,14.5,14.0
16,Kentucky Wildcats,37.0,79.4,28.1,58.6,47.9,6.1,18.4,33.3,17.1,25.6,66.9,14.5,27.3,41.8,15.1,7.2,7.2,14.5,16.9
17,Sam Houston Bearkats,33.0,79.3,27.5,59.5,46.3,8.7,23.5,37.0,15.5,22.0,70.3,12.4,25.4,37.8,20.4,7.8,2.6,13.4,20.0
