Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,31.0,87.9,30.2,67.2,44.9,11.3,31.5,35.9,16.3,23.0,70.9,12.3,25.3,37.5,14.9,8.7,4.5,13.3,19.6
2,Oakland Golden Grizzlies,35.0,85.5,30.1,61.1,49.2,8.2,21.9,37.4,17.2,23.9,72.0,12.9,26.1,39.0,16.2,6.2,5.6,13.5,18.4
3,Washington Huskies,35.0,83.1,30.3,64.6,46.9,8.7,23.5,37.1,13.7,20.3,67.4,13.9,25.1,39.1,16.9,6.7,5.1,12.2,20.2
4,Long Island University Sharks,33.0,82.7,28.1,60.9,46.2,6.9,19.2,36.1,19.5,30.3,64.6,14.5,27.2,41.8,15.2,7.5,3.4,15.3,17.6
5,Lamar Cardinals,30.0,82.1,28.2,65.4,43.1,7.8,21.7,36.0,17.9,26.1,68.7,15.5,25.6,41.2,14.6,8.2,3.7,15.3,23.0
6,South Dakota State Jackrabbits,31.0,81.7,28.5,61.3,46.5,8.9,21.7,41.1,15.8,21.7,72.8,12.2,23.2,35.3,15.2,6.1,2.6,9.9,18.3
7,BYU Cougars,37.0,81.4,27.5,61.3,44.9,8.4,23.4,36.1,17.9,23.4,76.5,11.4,27.2,38.5,14.5,8.1,4.1,10.9,17.5
8,Kansas Jayhawks,38.0,81.2,29.3,57.7,50.8,7.1,18.7,38.2,15.4,22.7,67.9,11.8,27.0,38.8,17.7,7.8,4.0,13.3,17.5
9,Duke Blue Devils,37.0,80.9,28.1,59.6,47.1,7.9,21.0,37.4,16.8,22.3,75.3,12.1,25.8,37.8,14.3,7.3,4.4,12.1,17.7
10,Missouri Tigers,34.0,80.8,28.9,63.1,45.8,7.2,19.7,36.6,15.8,21.4,73.9,12.5,22.7,35.2,16.4,9.7,5.0,12.7,20.2
11,South Dakota Coyotes,33.0,79.8,28.5,62.5,45.5,7.6,21.9,34.9,15.2,22.8,66.8,11.3,27.1,38.4,14.8,6.7,2.8,12.6,17.5
12,Belmont Bruins,35.0,79.7,27.0,58.4,46.2,9.3,24.7,37.8,16.4,22.3,73.7,12.9,23.1,35.9,16.3,9.7,3.4,13.7,20.8
13,Colorado Buffaloes,38.0,79.6,27.8,58.9,47.3,6.1,16.3,37.2,17.9,23.0,77.8,11.8,24.2,36.0,13.8,6.8,2.9,11.7,18.3
14,Iona Gaels,37.0,79.0,28.3,59.5,47.6,8.1,21.5,37.5,14.3,21.7,65.7,11.8,24.5,36.2,17.4,7.5,3.3,12.6,17.9
15,Saint Mary's Gaels,34.0,78.9,27.8,57.4,48.5,8.6,21.9,39.0,14.7,19.4,75.9,10.6,24.1,34.7,16.5,7.1,3.3,11.2,17.6
16,Texas State Bobcats,32.0,78.3,27.1,60.3,44.9,5.8,18.1,32.0,18.4,27.4,67.2,12.5,24.8,37.3,13.8,7.7,3.3,15.3,21.8
17,Duquesne Dukes,32.0,77.9,27.3,59.5,45.8,8.0,22.3,36.0,15.4,24.8,62.2,12.7,22.6,35.3,17.8,9.9,5.3,13.4,19.3
18,North Carolina Tar Heels,37.0,77.5,28.2,62.6,45.0,5.1,15.7,32.8,15.9,23.7,67.2,14.2,28.5,42.6,15.5,6.3,5.5,13.3,16.1
19,Ohio State Buckeyes,37.0,77.1,27.5,55.6,49.4,7.7,18.2,42.3,14.5,20.6,70.1,11.3,23.2,34.5,15.9,7.1,3.2,10.1,14.0
20,Northwestern State Demons,32.0,76.9,26.0,58.7,44.3,6.6,19.1,34.5,18.3,28.8,63.7,13.7,22.6,36.3,13.3,9.2,7.0,16.9,23.0
21,La Salle Explorers,33.0,76.8,28.2,60.0,47.1,4.6,13.2,34.8,15.8,23.3,67.7,12.8,26.2,39.0,16.9,6.7,4.5,13.6,16.6
21,La Salle Explorers,33.0,76.8,28.0,62.7,44.6,6.3,17.3,36.4,14.6,20.6,70.9,14.0,24.6,38.6,15.0,7.4,4.0,15.5,18.6
23,Gonzaga Bulldogs,35.0,76.7,26.6,55.6,47.9,5.8,15.7,37.0,17.6,23.1,76.2,11.4,26.2,37.5,15.5,7.3,3.8,13.5,18.5
24,Arizona Wildcats,38.0,76.4,25.5,54.3,46.9,7.8,19.6,39.7,17.7,23.7,74.6,10.7,24.0,34.7,14.1,5.2,2.6,12.7,18.6
25,Coastal Carolina Chanticleers,34.0,76.4,27.4,56.3,48.6,4.7,14.2,33.3,16.9,24.5,69.2,12.1,27.2,39.4,15.3,6.7,4.5,13.0,15.2
26,Longwood Lancers,31.0,76.3,27.4,60.2,45.5,7.6,21.4,35.6,13.9,19.8,69.9,10.2,22.9,33.2,16.5,5.9,2.1,13.8,19.3
27,Charleston Cougars,37.0,76.2,28.0,58.7,47.7,8.3,22.6,36.6,11.9,16.1,74.1,10.9,23.6,34.5,13.4,5.8,4.1,12.1,15.2
28,North Texas Mean Green,33.0,76.2,25.2,52.6,47.9,5.4,14.4,37.7,20.5,27.3,75.0,9.8,25.5,35.3,12.3,4.2,2.3,13.3,18.1
29,Lipscomb Bisons,30.0,76.2,26.4,58.3,45.3,6.6,19.9,33.4,16.7,23.7,70.6,12.1,25.3,37.4,15.4,8.2,2.1,15.5,20.4
30,Vanderbilt Commodores,34.0,75.9,24.9,54.5,45.8,7.7,20.8,37.1,18.3,24.6,74.3,10.9,26.0,36.9,13.4,5.1,4.8,13.0,16.2
31,Utah Valley Wolverines,30.0,75.9,24.8,56.1,44.2,6.6,18.2,36.1,19.7,26.0,75.8,11.4,28.3,39.7,13.9,5.0,3.1,13.8,18.9
32,Providence Friars,32.0,75.8,26.7,62.9,42.4,6.6,21.0,31.5,15.8,23.6,66.9,14.5,24.0,38.5,12.5,7.8,4.4,12.7,16.8
33,North Dakota State Bison,29.0,75.4,26.8,56.9,47.1,5.7,14.9,38.2,16.1,23.2,69.3,11.8,24.0,35.8,13.7,5.9,2.6,13.1,19.5
34,UC Irvine Anteaters,32.0,75.3,24.9,59.1,42.2,7.5,21.1,35.4,18.0,24.5,73.5,9.7,26.2,35.9,12.2,6.7,1.8,12.9,21.6
35,Notre Dame Fighting Irish,34.0,75.2,24.8,53.9,46.0,8.0,20.8,38.6,17.6,24.3,72.4,10.9,26.2,37.1,16.6,4.6,3.8,10.7,15.1
36,Marquette Golden Eagles,37.0,75.2,26.3,56.6,46.5,5.2,14.8,34.9,17.4,25.1,69.6,12.4,23.6,35.9,15.5,7.2,3.6,12.3,16.8
37,Texas Longhorns,36.0,75.0,26.5,58.3,45.5,5.6,14.9,37.6,16.4,25.1,65.4,13.7,26.6,40.3,13.5,5.8,5.1,11.8,17.1
38,Louisville Cardinals,35.0,74.9,27.1,59.9,45.3,8.8,24.4,36.2,11.9,17.9,66.3,12.4,23.9,36.3,17.4,9.3,5.0,13.1,19.1
39,Kentucky Wildcats,38.0,74.9,26.4,57.4,45.9,7.4,18.6,39.7,14.7,20.8,71.0,11.7,25.7,37.4,12.7,5.6,6.3,10.7,15.8
40,Iowa State Cyclones,32.0,74.8,27.2,62.3,43.7,8.6,23.3,36.8,11.9,16.5,72.1,11.0,25.6,36.6,15.0,6.8,3.7,12.5,16.4
41,Oral Roberts Golden Eagles,35.0,74.7,26.4,55.7,47.4,5.5,15.1,36.6,16.3,22.8,71.7,12.0,22.4,34.3,12.7,5.6,2.9,12.9,20.3
42,Tennessee Tech Golden Eagles,33.0,74.6,27.0,56.3,47.9,4.6,13.3,34.7,16.1,24.2,66.3,11.8,25.0,36.8,14.0,8.5,2.2,16.3,20.1
43,Detroit Mercy Titans,33.0,74.5,25.7,55.5,46.3,5.1,14.5,35.2,18.0,26.2,68.7,12.1,25.4,37.5,12.3,7.6,5.0,15.7,19.4
44,Ohio Bobcats,35.0,74.4,25.6,58.9,43.5,7.4,21.0,35.4,15.8,22.0,71.8,12.3,23.8,36.2,15.2,7.9,2.5,13.5,20.7
45,Purdue Fort Wayne Mastodons,30.0,74.3,25.5,55.9,45.7,8.0,20.8,38.5,15.3,19.8,77.2,9.3,22.4,31.8,14.5,5.0,3.0,12.2,21.5
46,New Orleans Privateers,22.0,74.3,24.3,52.6,46.1,5.9,17.6,33.5,16.4,22.4,73.2,11.2,25.3,36.5,13.1,7.1,2.7,14.6,17.5
47,Elon Phoenix,31.0,74.2,24.7,57.6,42.8,9.2,25.3,36.4,15.7,22.0,71.4,10.4,23.9,34.3,14.0,5.5,2.6,12.6,19.3
48,McNeese Cowboys,33.0,74.1,25.2,57.7,43.6,6.8,19.4,35.3,16.9,22.7,74.6,11.9,23.5,35.3,11.2,6.5,3.1,12.2,19.5
49,Boise State Broncos,35.0,74.1,25.0,57.2,43.8,6.8,19.7,34.4,17.3,23.9,72.3,11.1,21.9,33.1,12.8,8.6,2.7,12.1,18.9
50,Southern Miss Golden Eagles,32.0,74.1,25.8,56.9,45.3,5.4,14.6,36.8,17.2,23.5,73.0,13.7,24.7,38.4,11.9,5.6,3.6,11.8,19.2
51,Santa Clara Broncos,38.0,73.9,23.9,55.6,43.0,7.2,20.4,35.1,18.9,26.1,72.6,13.1,23.2,36.3,12.8,7.2,3.1,14.0,20.7
52,Pittsburgh Panthers,34.0,73.9,26.1,54.9,47.5,5.9,15.1,39.5,15.9,23.7,67.1,14.2,25.7,39.9,17.5,4.7,3.3,11.7,17.9
53,Ole Miss Rebels,34.0,73.9,25.5,57.8,44.2,7.6,21.8,35.1,15.2,20.1,75.6,12.3,23.9,36.1,12.2,5.3,5.3,12.8,18.8
54,Austin Peay Governors,34.0,73.8,26.4,57.6,45.9,5.5,15.2,36.0,15.5,22.7,68.0,12.6,23.5,36.1,14.2,8.6,4.2,14.3,18.4
55,Charleston Southern Buccaneers,32.0,73.8,26.5,59.3,44.7,6.5,17.9,36.2,14.3,18.9,75.5,13.2,23.6,36.8,12.5,8.6,3.1,14.2,18.3
56,UNC Asheville Bulldogs,34.0,73.7,25.9,57.4,45.2,4.9,15.1,32.6,16.9,23.8,71.1,11.8,23.9,35.7,14.5,9.1,4.5,14.9,19.5
57,Lehigh Mountain Hawks,31.0,73.6,24.0,57.5,41.7,5.5,16.9,32.8,20.1,26.6,75.5,11.3,25.4,36.7,12.0,7.6,3.8,13.0,19.1
58,Wofford Terriers,34.0,73.6,26.0,54.5,47.7,5.8,14.5,40.0,15.9,22.9,69.3,10.9,21.6,32.6,14.3,6.7,2.5,11.9,19.2
59,Marshall Thundering Herd,34.0,73.5,25.1,55.5,45.3,5.5,17.1,32.2,17.7,26.1,67.9,12.9,25.2,38.1,12.9,4.9,3.6,13.3,19.7
60,Syracuse Orange,35.0,73.4,26.7,56.7,47.2,6.3,17.9,35.4,13.5,20.4,66.5,12.3,25.1,37.4,16.2,8.7,6.6,12.4,15.5
61,Valparaiso Beacons,35.0,73.3,27.1,57.2,47.4,6.3,19.6,32.1,12.8,19.3,66.5,11.3,23.5,34.8,15.8,7.8,2.7,13.7,19.2
62,Long Beach State Beach,34.0,73.2,25.4,56.9,44.6,6.4,18.7,34.4,16.1,23.9,67.2,12.0,25.0,36.9,13.4,6.0,2.1,14.4,16.2
63,New Mexico Lobos,35.0,73.2,25.1,54.8,45.7,6.5,18.7,34.6,16.6,23.3,71.2,11.7,25.4,37.1,15.3,6.0,3.3,13.5,19.1
64,Texas Tech Red Raiders,32.0,73.2,25.8,57.9,44.5,5.6,15.3,36.5,16.1,22.1,72.9,11.3,22.5,33.8,13.3,5.9,4.3,13.8,19.9
65,Rider Broncs,34.0,73.1,26.3,56.4,46.7,7.7,19.8,39.1,12.8,19.7,64.9,10.3,25.6,35.9,14.1,6.0,4.4,13.8,17.6
66,Appalachian State Mountaineers,31.0,73.1,25.5,56.1,45.5,6.3,18.8,33.7,15.8,22.4,70.5,10.4,24.0,34.4,10.5,5.8,2.9,13.0,17.5
67,Washington State Cougars,35.0,72.9,25.8,56.6,45.5,6.9,19.5,35.2,14.5,20.4,70.9,9.5,25.1,34.5,13.3,6.8,3.9,12.7,17.5
68,Kansas State Wildcats,34.0,72.9,25.0,57.0,43.8,7.0,18.6,37.6,15.9,24.4,65.5,14.4,23.2,37.6,13.9,6.1,4.5,14.6,20.4
69,George Mason Patriots,34.0,72.8,25.8,54.7,47.1,6.7,16.9,39.5,14.6,21.1,68.9,10.7,24.2,34.9,14.2,6.6,3.2,11.1,17.1
70,Wichita State Shockers,37.0,72.7,25.8,55.1,46.8,7.0,19.8,35.5,14.1,18.9,74.6,11.4,26.1,37.5,15.5,5.7,3.9,12.5,18.2
71,Purdue Boilermakers,34.0,72.5,25.7,57.6,44.7,6.9,19.0,36.4,14.1,19.8,71.5,11.2,24.3,35.5,15.8,6.2,4.1,10.4,17.8
72,Coppin State Eagles,30.0,72.5,25.3,59.0,42.9,7.7,21.3,36.3,14.1,20.1,70.1,11.4,24.7,36.1,11.5,7.3,2.3,13.7,18.0
