Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,North Texas Mean Green,38.0,55.8,18.7,47.9,39.1,5.1,16.9,30.2,13.2,19.3,68.6,9.1,20.4,29.5,7.9,5.4,2.1,12.2,16.2
2,Houston Cougars,37.0,57.5,19.1,52.2,36.6,6.3,22.7,27.9,12.9,18.7,68.9,10.0,21.7,31.7,10.2,5.4,2.5,13.7,16.2
3,Tennessee Volunteers,36.0,57.9,19.6,52.6,37.3,5.8,22.0,26.5,12.8,17.8,71.9,9.4,22.5,31.9,9.9,6.6,2.9,14.7,17.8
4,Sam Houston Bearkats,34.0,59.3,19.6,50.1,39.1,7.7,23.4,33.0,12.3,17.6,70.1,8.1,22.5,30.6,11.0,5.7,3.0,16.6,16.3
5,Saint Mary's Gaels,35.0,60.1,21.5,51.6,41.7,5.5,16.5,33.1,11.7,15.7,74.3,6.9,21.6,28.6,8.0,4.8,3.6,12.5,17.1
6,Virginia Cavaliers,33.0,60.5,21.6,52.0,41.5,7.1,20.8,34.1,10.2,13.7,74.8,7.9,24.0,32.0,11.4,4.8,3.7,12.2,16.2
7,UCLA Bruins,37.0,60.7,21.9,53.8,40.8,6.5,20.9,31.1,10.3,14.8,69.7,9.5,22.9,32.4,11.2,4.6,2.7,15.7,16.5
8,Liberty Flames,36.0,60.9,22.0,52.5,41.9,6.4,19.1,33.4,10.6,14.4,73.4,6.6,23.6,30.2,9.1,5.7,2.6,13.0,15.8
9,Mississippi State Bulldogs,34.0,61.0,21.4,54.4,39.4,7.4,23.8,31.1,10.7,15.0,71.6,10.0,23.5,33.5,12.5,6.3,3.0,14.3,17.1
10,Dayton Flyers,34.0,61.0,22.5,57.1,39.3,6.5,22.1,29.3,9.6,13.6,70.5,9.9,21.1,31.0,10.9,5.8,2.3,10.3,17.5
11,Rutgers Scarlet Knights,34.0,61.1,21.8,54.6,40.0,7.2,23.4,30.8,10.3,15.0,68.8,9.8,24.5,34.3,12.3,5.9,3.9,14.5,16.0
12,Southern Illinois Salukis,33.0,61.4,22.5,53.6,42.0,6.1,18.5,33.0,10.3,15.8,65.1,8.9,23.2,32.2,11.1,6.3,2.9,12.9,16.0
13,Wagner Seahawks,28.0,61.7,20.3,47.3,42.9,5.4,17.1,31.5,15.7,22.0,71.4,7.2,23.7,30.9,10.9,5.9,3.8,13.5,14.4
14,Hawai'i Rainbow Warriors,33.0,61.8,23.0,56.9,40.5,4.4,14.9,29.4,11.3,15.3,74.2,9.1,23.1,32.2,7.7,6.0,3.1,10.8,18.2
15,Grambling Tigers,33.0,62.2,20.8,54.6,38.0,6.3,20.6,30.8,14.4,21.7,66.3,11.6,22.6,34.2,10.7,7.0,3.2,14.7,18.3
16,Merrimack Warriors,34.0,62.3,23.3,54.8,42.5,5.8,18.3,31.6,10.0,14.1,71.3,11.7,25.7,37.4,13.8,6.7,3.1,17.5,16.4
