Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,37.0,86.1,32.1,61.7,52.1,7.5,19.9,37.9,14.4,20.8,69.3,10.4,26.8,37.2,16.2,7.2,3.4,10.7,16.6
2,Toledo Rockets,35.0,85.4,30.2,61.1,49.4,8.6,21.8,39.5,16.4,21.3,77.0,10.1,24.0,34.1,14.9,6.8,2.9,9.6,16.1
3,Oral Roberts Golden Eagles,35.0,83.3,30.2,63.7,47.4,10.7,29.3,36.5,12.1,15.7,77.4,8.9,27.9,36.8,14.7,6.8,5.4,9.4,12.9
4,Southern Utah Thunderbirds,37.0,82.8,28.8,61.8,46.5,8.5,24.0,35.3,16.8,23.2,72.5,10.7,27.9,38.6,13.1,7.2,3.4,13.3,18.4
5,Youngstown State Penguins,34.0,81.9,29.9,61.4,48.7,8.0,21.9,36.5,14.1,18.1,77.9,10.3,24.9,35.2,15.3,7.0,2.8,11.0,16.2
6,Arizona Wildcats,35.0,81.9,29.2,59.2,49.4,8.4,22.3,37.8,15.0,21.2,70.8,10.2,29.1,39.3,18.9,6.1,3.1,13.4,16.9
7,Alabama Crimson Tide,37.0,81.8,27.6,62.5,44.2,9.9,29.5,33.5,16.6,22.9,72.5,13.1,31.6,44.6,15.0,6.1,5.1,13.8,18.8
8,Marshall Thundering Herd,32.0,81.8,30.8,66.3,46.5,8.3,24.4,33.8,11.9,17.1,69.3,12.3,26.6,38.9,17.5,9.0,5.3,11.6,16.5
9,Cornell Big Red,28.0,81.7,29.1,62.1,47.0,10.7,30.4,35.3,12.7,17.5,72.4,10.4,24.0,34.4,17.5,9.7,2.3,12.4,16.6
10,Xavier Musketeers,37.0,80.9,30.0,61.0,49.2,7.4,19.0,39.0,13.6,19.1,71.0,10.3,27.5,37.7,19.1,6.4,3.2,12.4,16.1
11,Furman Paladins,36.0,80.9,28.2,59.1,47.7,9.4,27.4,34.4,15.0,20.2,74.1,9.8,25.3,35.1,16.7,6.6,3.2,11.0,16.8
12,New Mexico Lobos,34.0,80.9,28.9,60.1,48.1,5.6,16.0,35.2,17.4,23.5,73.9,9.8,27.3,37.1,13.7,6.7,3.9,11.2,16.9
13,UAB Blazers,39.0,80.7,28.5,63.1,45.2,7.1,19.9,35.5,16.6,22.5,74.1,13.5,27.4,40.9,14.1,8.1,4.3,12.5,17.0
14,UT Martin Skyhawks,33.0,80.5,28.3,61.2,46.2,8.0,22.8,35.0,16.0,22.7,70.7,11.9,26.2,38.1,13.5,9.0,2.6,13.2,17.7
14,UT Martin Skyhawks,33.0,80.5,28.6,62.4,45.9,7.7,23.4,33.1,15.5,21.5,72.2,10.5,28.7,39.2,13.6,7.5,3.5,11.9,18.3
16,Charleston Cougars,35.0,80.1,27.4,62.9,43.6,9.9,30.0,33.1,15.4,20.7,74.4,13.5,26.8,40.3,13.7,7.4,3.1,11.9,16.9
17,Texas A&M-Corpus Christi Islanders,35.0,80.1,27.7,61.5,45.1,7.7,21.0,36.4,16.9,21.4,79.2,12.1,25.2,37.3,15.3,8.5,1.7,12.8,19.0
18,Iowa Hawkeyes,33.0,80.1,28.5,62.9,45.3,8.0,23.6,34.0,15.0,20.3,73.8,12.1,24.5,36.6,16.4,6.5,3.4,9.8,14.9
19,Tulane Green Wave,31.0,79.9,27.8,60.4,46.0,7.8,23.0,33.8,16.6,21.4,77.7,6.8,26.6,33.5,15.6,8.5,4.2,11.3,16.5
20,Wright State Raiders,33.0,79.9,31.2,62.9,49.6,6.2,17.4,35.7,11.2,15.2,73.7,9.2,27.5,36.7,15.0,6.3,3.0,12.7,15.6
21,Memphis Tigers,35.0,79.4,28.7,59.9,47.9,6.1,17.4,35.3,15.9,21.2,74.7,10.4,25.5,35.9,15.6,8.6,4.5,13.3,18.2
22,Bryant Bulldogs,30.0,79.4,28.3,60.7,46.6,8.1,23.8,34.0,14.7,20.1,73.4,10.6,28.7,39.3,13.4,6.7,3.5,13.4,17.4
23,Marquette Golden Eagles,36.0,79.3,29.3,60.4,48.6,8.9,25.3,35.3,11.7,16.3,71.8,8.8,23.0,31.8,17.3,9.2,3.0,10.7,16.2
24,Indiana State Sycamores,36.0,79.3,28.0,58.0,48.3,9.4,26.6,35.5,13.9,18.0,77.1,6.9,27.6,34.5,15.8,6.5,1.9,12.1,16.3
25,Miami Hurricanes,37.0,79.1,28.6,59.6,48.0,7.5,20.4,36.8,14.4,18.3,78.4,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2
26,Missouri Tigers,35.0,78.9,28.2,59.8,47.2,9.3,25.8,36.0,13.2,17.4,75.8,8.9,21.4,30.2,16.0,10.2,2.7,11.1,18.0
27,Ohio Bobcats,33.0,78.8,28.6,62.5,45.8,8.9,24.0,37.3,12.6,17.3,73.0,12.1,25.5,37.5,12.5,6.7,2.2,11.2,17.8
28,Samford Bulldogs,32.0,78.7,26.0,57.3,45.4,9.1,25.7,35.3,17.7,23.6,74.7,10.0,25.6,35.5,11.7,8.1,2.6,12.7,18.7
29,UT Rio Grande Valley Vaqueros,32.0,78.7,27.1,57.9,46.9,6.9,20.5,33.9,17.5,25.1,69.8,10.8,27.1,37.8,15.8,4.7,3.3,16.1,20.1
30,Eastern Kentucky Colonels,37.0,78.6,29.7,67.2,44.1,8.6,25.1,34.3,10.7,16.2,65.9,13.6,26.4,40.0,14.9,8.0,4.8,12.0,15.8
31,UConn Huskies,39.0,78.6,27.7,59.8,46.4,9.1,24.9,36.3,14.0,18.4,76.1,13.0,26.3,39.3,17.5,6.3,4.9,12.9,17.8
32,Milwaukee Panthers,34.0,78.2,27.8,60.6,45.8,7.9,22.8,34.5,14.8,20.0,74.0,11.9,27.2,39.1,13.9,6.9,5.5,15.1,17.9
33,Utah State Aggies,35.0,78.2,27.1,56.4,47.9,9.3,24.0,38.7,14.8,19.4,76.3,8.6,26.9,35.5,16.7,5.0,3.3,12.2,16.9
34,Tennessee State Tigers,32.0,78.1,27.1,60.5,44.9,8.8,25.1,35.0,15.1,21.7,69.5,10.5,25.9,36.4,13.3,5.8,3.3,12.6,20.5
35,Colgate Raiders,35.0,78.1,29.8,58.2,51.1,8.2,20.3,40.3,10.4,15.7,66.1,8.0,25.7,33.7,18.2,7.1,2.9,10.2,12.5
36,UMass Lowell River Hawks,34.0,78.0,28.4,58.7,48.4,6.9,18.2,38.1,14.3,19.5,73.6,11.9,26.7,38.6,14.3,7.0,4.8,13.7,16.8
37,Texas Longhorns,38.0,78.0,28.5,60.2,47.3,7.2,20.8,34.7,13.8,18.4,74.8,9.6,24.4,34.1,16.2,7.9,3.6,11.6,17.4
38,Pepperdine Waves,31.0,78.0,29.0,62.3,46.5,8.2,22.5,36.2,11.9,16.7,71.0,9.2,26.5,35.8,15.1,5.4,3.8,14.1,17.7
39,Southeast Missouri State Redhawks,35.0,77.9,26.8,61.1,43.9,7.9,24.3,32.5,16.3,23.1,70.8,9.6,25.2,34.8,13.9,7.1,3.1,13.1,21.5
40,Florida Atlantic Owls,39.0,77.8,27.8,59.6,46.6,9.6,26.3,36.6,12.6,17.5,71.9,10.9,28.1,38.9,14.4,6.5,2.6,11.8,15.7
41,Portland Pilots,33.0,77.8,25.3,55.7,45.5,9.6,25.6,37.5,17.5,23.5,74.5,8.1,24.6,32.7,14.8,5.0,2.3,12.7,17.6
42,NC State Wolfpack,34.0,77.7,28.9,64.1,45.0,8.3,23.8,34.7,11.7,16.2,72.2,11.3,25.3,36.6,12.8,7.8,4.5,9.4,17.5
43,Queens University Royals,33.0,77.7,26.6,59.9,44.4,9.2,26.5,34.9,15.2,21.2,72.1,11.2,26.0,37.2,13.8,6.2,2.2,12.5,16.1
44,SE Louisiana Lions,32.0,77.6,27.8,60.7,45.8,7.8,21.0,36.9,14.3,19.3,74.2,10.3,24.3,34.6,14.2,7.3,1.8,12.2,17.4
45,Houston Christian Huskies,32.0,77.6,26.6,58.2,45.7,8.3,22.7,36.5,16.1,22.4,71.8,10.3,24.0,34.3,14.8,5.8,2.8,15.3,18.1
46,Buffalo Bulls,32.0,77.5,28.3,62.5,45.3,7.0,21.8,32.2,13.9,19.8,70.4,11.8,26.0,37.8,14.7,7.9,3.2,14.1,18.8
47,Utah Valley Wolverines,37.0,77.4,28.2,62.5,45.2,8.2,23.7,34.5,12.7,16.9,75.2,11.5,22.8,34.3,14.7,8.0,2.0,11.5,18.8
47,Utah Valley Wolverines,37.0,77.4,27.6,59.5,46.5,6.5,19.7,33.2,15.6,21.1,74.0,10.2,30.1,40.3,16.1,6.5,6.5,13.8,17.5
49,Louisiana Ragin' Cajuns,34.0,77.4,27.9,58.0,48.2,7.0,18.7,37.6,14.4,21.2,68.2,11.1,25.4,36.5,14.4,7.2,3.0,12.2,17.0
50,St. John's Red Storm,33.0,77.3,27.3,59.8,45.6,6.6,19.1,34.6,16.1,21.7,74.2,12.1,26.0,38.1,14.6,6.8,4.5,11.7,15.0
50,St. John's Red Storm,33.0,77.3,29.4,65.4,44.9,5.8,17.7,33.1,12.7,18.2,69.9,13.1,27.0,40.1,15.2,8.2,3.7,14.0,16.2
52,Chattanooga Mocs,35.0,77.2,26.4,58.3,45.2,11.4,30.2,37.7,13.0,18.3,71.4,9.6,26.7,36.2,15.3,5.7,3.5,11.6,15.7
53,San Diego Toreros,31.0,77.1,27.4,60.7,45.1,7.9,22.3,35.3,14.5,18.9,76.5,10.0,22.9,32.9,12.8,6.7,1.8,11.5,17.6
54,Cincinnati Bearcats,36.0,77.1,28.4,63.4,44.8,8.7,24.8,35.1,11.6,16.4,70.6,11.2,26.1,37.3,15.5,6.3,3.9,10.7,15.8
55,Baylor Bears,34.0,77.0,25.9,57.6,45.0,9.5,25.8,36.8,15.8,21.2,74.4,11.5,22.5,34.0,14.2,6.6,2.4,12.1,17.4
56,Rice Owls,35.0,76.9,27.3,58.6,46.6,8.8,25.0,35.2,13.5,18.3,73.8,8.4,26.5,34.9,15.2,5.9,2.4,12.9,15.5
57,Santa Clara Broncos,33.0,76.9,27.8,61.4,45.4,8.3,22.5,37.1,12.9,18.3,70.4,10.6,27.6,38.2,13.9,5.9,3.8,12.5,15.7
58,Stetson Hatters,31.0,76.8,27.6,60.0,46.1,10.0,26.2,38.3,11.5,14.9,77.2,10.3,24.5,34.7,13.8,5.1,3.2,10.5,15.6
59,Eastern Washington Eagles,34.0,76.7,27.4,55.9,49.0,8.8,24.6,35.8,13.1,17.3,75.6,9.0,27.0,35.9,15.4,5.2,3.1,13.6,17.5
60,Wake Forest Demon Deacons,33.0,76.6,26.6,57.8,46.0,9.5,26.2,36.4,13.8,18.6,74.6,8.3,25.9,34.2,13.5,6.0,2.7,12.1,16.0
