Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
189,Akron Zips,36.0,66.8,22.9,54.7,41.8,7.2,21.6,33.2,13.9,19.6,70.8,11.8,21.5,33.3,12.4,7.5,2.2,13.6,20.7
190,Southern Miss Golden Eagles,32.0,66.8,23.8,55.0,43.3,3.4,11.2,30.4,15.7,21.5,72.7,10.6,23.4,34.0,10.5,4.6,1.9,10.0,18.5
191,Old Dominion Monarchs,35.0,66.7,25.1,56.5,44.3,4.8,14.7,32.6,11.7,18.4,63.9,14.2,23.9,38.1,15.5,7.2,3.5,12.3,14.7
192,Morgan State Bears,35.0,66.7,24.5,58.5,41.9,5.2,15.3,33.7,12.5,19.3,64.9,14.5,23.5,38.0,11.2,6.6,3.1,13.0,19.2
193,Louisiana Ragin' Cajuns,30.0,66.6,23.6,56.7,41.6,6.8,21.3,32.1,12.7,18.7,67.6,11.6,21.3,32.9,9.7,6.0,4.4,14.0,20.0
194,Arkansas State Red Wolves,30.0,66.5,24.4,56.2,43.4,4.8,14.7,32.6,13.0,19.0,68.3,11.6,24.9,36.5,13.4,6.7,3.6,13.6,16.7
195,Hofstra Pride,32.0,66.5,22.8,57.8,39.4,5.6,17.9,31.4,15.3,22.1,69.3,15.2,25.6,40.8,11.3,6.6,5.3,15.2,21.1
196,Northern Arizona Lumberjacks,27.0,66.5,25.1,52.2,48.1,6.1,17.3,35.4,10.1,16.4,61.7,9.6,21.6,31.3,15.3,7.4,2.4,14.8,17.3
197,Little Rock Trojans,31.0,66.4,22.9,51.3,44.7,5.1,14.4,35.7,15.4,23.0,66.9,10.8,24.0,34.8,13.0,5.5,3.5,15.0,19.6
198,Quinnipiac Bobcats,31.0,66.4,24.5,56.7,43.1,4.5,14.1,31.7,13.0,20.9,62.1,15.1,23.0,38.1,12.2,6.6,2.5,14.5,18.4
199,Cleveland State Vikings,37.0,66.4,23.8,55.2,43.2,4.9,15.6,31.1,13.8,19.7,70.1,11.9,22.3,34.2,13.8,8.6,3.2,12.3,18.4
200,Minnesota Golden Gophers,33.0,66.3,23.7,53.7,44.1,5.7,17.4,32.7,13.2,18.5,71.5,12.0,22.4,34.4,14.1,8.3,6.1,14.5,17.8
201,George Mason Patriots,33.0,66.3,24.6,54.9,44.8,5.4,16.3,33.1,11.7,18.1,64.4,11.6,24.5,36.1,11.6,6.1,3.2,11.9,15.7
202,Stetson Hatters,30.0,66.3,23.4,60.9,38.4,7.9,25.4,31.1,11.7,18.3,63.8,13.6,23.9,37.5,10.3,7.2,3.5,14.4,18.8
203,Pacific Tigers,34.0,66.3,23.4,50.4,46.4,7.1,18.6,38.5,12.4,18.3,67.9,10.1,22.0,32.1,13.7,6.2,2.0,12.1,17.3
204,South Dakota Coyotes,4.0,66.3,24.5,59.3,41.4,8.8,24.5,35.7,8.5,11.3,75.6,8.0,25.8,33.8,15.8,7.0,4.0,15.0,15.5
205,George Washington Revolutionaries,28.0,66.2,23.3,53.0,43.9,5.8,16.1,36.2,13.9,20.4,68.0,11.4,23.9,35.3,12.6,5.9,4.6,14.7,19.3
206,Northern Illinois Huskies,30.0,66.2,23.5,55.6,42.2,6.2,17.8,34.7,13.1,22.1,59.2,12.8,22.6,35.3,12.4,8.0,3.1,16.0,20.3
207,Youngstown State Penguins,30.0,66.0,23.6,57.1,41.4,5.5,16.3,33.7,13.3,20.4,65.0,12.9,22.7,35.5,13.0,5.6,3.5,13.4,19.5
208,Maine Black Bears,30.0,66.0,23.0,54.2,42.4,6.2,18.5,33.6,13.9,20.6,67.4,11.5,23.2,34.6,12.8,7.2,3.2,14.6,17.2
209,St. John's Red Storm,34.0,65.9,24.1,56.6,42.6,4.1,13.8,29.9,13.6,21.0,64.9,13.9,23.1,37.0,12.0,7.2,3.6,14.8,18.2
210,Idaho Vandals,33.0,65.9,23.2,50.7,45.8,5.8,16.2,36.1,13.6,20.8,65.5,9.3,21.1,30.4,13.4,6.5,3.4,12.3,18.2
211,Elon Phoenix,31.0,65.8,24.1,55.2,43.6,6.0,17.2,34.8,11.7,18.1,64.5,10.2,22.3,32.5,13.7,7.2,3.4,14.0,18.2
212,Montana Grizzlies,29.0,65.7,22.9,50.2,45.6,6.0,15.9,37.8,13.9,19.1,72.9,8.6,22.9,31.5,12.3,4.3,3.9,11.6,18.1
213,UMBC Retrievers,32.0,65.7,24.5,56.1,43.6,3.6,11.5,31.5,13.1,18.6,70.6,9.9,22.7,32.7,13.1,5.1,2.5,9.8,16.5
214,St. Francis Brooklyn Terriers,30.0,65.7,22.6,54.3,41.5,8.8,24.1,36.4,11.8,18.3,64.4,10.2,22.4,32.6,12.5,5.9,4.3,15.8,20.9
215,Purdue Fort Wayne Mastodons,30.0,65.7,22.7,52.2,43.5,6.5,15.9,40.9,13.8,18.8,73.4,8.6,21.7,30.3,10.9,4.9,3.2,12.9,18.4
216,Stephen F. Austin Lumberjacks,32.0,65.6,24.6,56.1,43.8,5.5,17.5,31.6,10.9,16.8,64.9,9.7,25.5,35.2,13.2,6.3,3.1,12.0,18.2
217,Santa Clara Broncos,33.0,65.6,23.4,50.5,46.3,5.7,16.4,34.8,13.2,18.6,70.8,9.8,25.4,35.2,12.8,5.7,4.7,16.6,17.7
218,Pennsylvania Quakers,28.0,65.5,22.6,54.3,41.6,5.9,18.9,31.4,14.4,21.1,68.2,10.1,23.1,33.2,14.4,6.9,3.0,14.2,21.4
219,UC Santa Barbara Gauchos,31.0,65.5,23.0,51.5,44.6,5.3,15.7,33.4,14.3,20.6,69.4,10.4,22.3,32.7,12.7,7.0,2.5,15.6,19.0
220,IUPUI Jaguars,30.0,65.5,24.4,51.1,47.8,4.9,14.5,33.7,11.7,17.9,65.4,9.5,21.5,31.0,13.3,7.2,3.6,12.8,15.4
221,Nicholls Colonels,31.0,65.5,22.9,48.0,47.6,6.8,19.0,35.9,12.9,19.0,67.8,8.3,20.5,28.9,14.8,8.7,1.4,14.3,20.4
222,UC Irvine Anteaters,31.0,65.4,22.8,53.5,42.7,6.9,17.2,40.3,12.8,16.9,75.8,9.1,21.1,30.2,12.5,4.9,1.8,11.5,18.3
223,Fairfield Stags,32.0,65.4,23.1,54.9,42.1,6.3,18.8,33.3,13.0,19.8,65.7,11.6,22.9,34.5,13.3,6.4,3.7,13.4,17.8
224,UL Monroe Warhawks,30.0,65.4,21.9,54.3,40.4,6.0,17.5,34.0,15.5,21.8,71.4,11.7,22.4,34.1,10.2,6.0,2.9,15.3,19.5
225,Buffalo Bulls,33.0,65.3,23.6,56.5,41.7,5.3,15.3,34.4,12.9,20.0,64.5,13.8,23.0,36.8,12.3,6.5,2.8,14.1,18.4
226,Lafayette Leopards,30.0,65.3,21.8,54.3,40.2,7.7,24.6,31.5,13.9,18.6,74.9,10.4,22.3,32.7,13.2,6.3,2.4,16.8,19.5
227,UT Rio Grande Valley Vaqueros,27.0,65.3,23.8,52.0,45.7,4.4,14.8,29.8,13.3,21.4,62.3,9.5,22.2,31.7,15.7,5.7,1.8,15.7,18.7
228,Idaho State Bengals,32.0,65.3,23.8,51.7,46.1,4.0,12.2,33.1,13.6,19.7,68.8,9.6,22.1,31.8,12.6,5.7,3.8,13.1,19.8
