Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Iona Gaels,34.0,80.4,28.1,61.9,45.4,8.3,22.7,36.7,15.8,20.3,78.1,11.6,24.5,36.1,15.4,6.5,3.0,12.4,17.1
2,Northwestern State Demons,32.0,80.0,28.7,62.7,45.8,5.9,18.8,31.4,16.6,24.2,68.6,13.6,25.3,38.9,15.3,9.6,4.7,14.0,19.3
3,Iowa State Cyclones,35.0,79.4,27.5,60.3,45.6,9.9,26.4,37.4,14.5,19.9,73.1,12.1,26.3,38.3,16.0,6.4,2.8,13.1,16.9
4,Long Island University Sharks,34.0,78.7,26.9,56.1,48.0,7.2,19.0,38.0,17.7,25.6,69.0,11.9,23.5,35.4,15.2,6.8,3.4,14.3,17.6
5,Indiana Hoosiers,36.0,78.6,26.4,54.8,48.2,7.1,17.7,40.3,18.7,25.1,74.3,12.2,26.1,38.3,14.3,7.1,3.6,13.0,16.6
6,VMI Keydets,31.0,78.2,28.1,64.9,43.4,9.1,28.0,32.5,12.8,19.5,65.7,13.5,24.7,38.2,15.0,8.1,4.4,13.2,17.3
7,Houston Cougars,33.0,78.1,27.6,59.5,46.4,6.0,16.7,36.1,16.8,23.7,71.0,12.1,26.6,38.7,15.2,6.7,3.8,13.1,18.1
8,Detroit Mercy Titans,33.0,77.8,27.5,60.3,45.6,7.1,20.8,34.2,15.7,21.5,72.9,11.3,21.6,32.9,14.6,8.3,3.4,10.9,17.8
9,VCU Rams,35.0,77.5,28.3,62.5,45.3,7.9,22.3,35.5,13.0,18.5,70.1,13.7,20.8,34.5,14.7,11.8,3.1,11.6,19.5
10,Ole Miss Rebels,35.0,77.5,27.1,62.1,43.7,6.7,20.5,32.5,16.5,24.4,67.8,13.3,25.6,38.9,12.5,8.2,5.1,11.3,16.9
11,NC State Wolfpack,35.0,77.4,28.1,56.8,49.6,5.3,13.5,39.1,15.8,23.2,68.1,11.3,25.4,36.7,14.6,6.5,4.2,12.4,15.6
12,Duke Blue Devils,36.0,77.2,26.7,56.5,47.2,7.5,18.8,39.9,16.3,22.1,73.9,9.4,24.2,33.6,14.3,6.4,3.8,10.6,17.9
13,BYU Cougars,36.0,77.1,27.8,60.8,45.7,5.9,17.5,33.8,15.7,21.6,72.8,12.0,26.8,38.9,16.0,8.1,2.5,12.0,18.8
14,Gonzaga Bulldogs,35.0,77.0,27.5,55.3,49.7,6.5,17.4,37.1,15.7,22.2,70.5,11.7,25.7,37.4,15.1,7.9,2.7,11.2,15.7
15,Belmont Bruins,33.0,76.8,27.5,55.9,49.1,8.5,22.1,38.3,13.4,18.3,73.2,9.3,22.5,31.8,15.6,9.8,2.7,13.3,18.3
16,North Carolina Tar Heels,35.0,76.7,28.5,64.6,44.1,7.4,19.8,37.3,12.3,18.4,67.1,13.7,25.2,38.8,17.1,8.5,3.3,12.4,14.9
17,Cal State Fullerton Titans,32.0,76.6,26.7,56.8,47.0,8.3,22.0,37.8,14.8,19.6,75.8,8.4,21.3,29.7,14.8,7.8,1.6,12.5,18.6
18,East Carolina Pirates,35.0,76.5,26.3,58.3,45.2,7.8,22.4,34.9,16.0,22.4,71.6,10.7,25.2,35.9,17.2,8.0,4.5,12.7,17.7
19,Central Arkansas Bears,30.0,76.5,28.5,65.6,43.5,7.1,20.3,35.2,12.3,19.4,63.2,13.9,24.8,38.7,14.1,7.9,4.0,14.4,20.9
20,Missouri Tigers,34.0,76.1,27.2,59.3,45.9,6.3,18.7,33.9,15.4,20.8,74.4,13.4,27.4,40.8,13.9,6.7,3.5,13.0,16.7
21,Baylor Bears,37.0,76.0,27.1,58.9,46.0,6.9,19.7,35.3,14.9,21.5,69.2,12.0,25.5,37.5,15.9,6.6,4.5,11.9,17.1
22,Weber State Wildcats,37.0,75.7,26.8,52.9,50.6,7.2,17.3,41.6,15.0,20.8,72.1,9.0,26.9,36.0,14.0,5.3,4.5,12.4,16.8
23,Cal State Northridge Matadors,31.0,75.3,26.4,60.5,43.6,5.3,15.6,33.6,17.2,23.5,73.3,13.7,23.1,36.9,15.3,8.5,3.1,13.6,19.5
24,Kansas Jayhawks,37.0,75.2,26.6,55.4,48.1,5.8,16.1,36.4,16.1,21.9,73.7,10.8,28.4,39.2,15.5,7.0,6.7,14.0,16.7
25,Michigan Wolverines,39.0,75.2,28.0,57.9,48.4,7.6,19.7,38.5,11.5,16.5,70.1,10.7,24.4,35.0,14.5,6.1,2.8,9.4,12.7
26,Saint Mary's Gaels,35.0,74.6,26.0,55.4,46.9,7.8,20.8,37.5,14.8,20.4,72.5,12.1,24.9,37.0,14.3,6.1,2.8,11.9,17.5
27,Illinois State Redbirds,33.0,74.5,26.4,58.0,45.5,7.3,21.1,34.7,14.4,19.9,72.3,10.4,24.8,35.1,14.8,7.2,4.4,13.1,18.1
28,Memphis Tigers,36.0,74.5,27.1,57.5,47.1,6.1,16.4,37.2,14.1,21.4,66.0,12.2,25.3,37.5,16.8,8.9,6.4,14.5,18.1
