Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,North Carolina Tar Heels,37.0,88.0,30.5,61.1,49.9,7.5,18.6,40.3,19.6,27.0,72.5,13.6,26.9,40.5,19.1,9.8,3.8,16.1,17.9
2,Washington Huskies,35.0,86.5,31.5,64.9,48.5,7.3,19.1,38.4,16.1,22.0,73.3,14.9,22.3,37.3,18.9,8.2,2.5,14.3,20.5
3,Wake Forest Demon Deacons,33.0,84.9,29.2,59.6,49.1,7.6,19.1,39.9,18.8,27.5,68.4,14.1,25.7,39.8,16.1,8.6,3.6,14.7,19.3
4,Niagara Purple Eagles,30.0,84.6,27.8,63.8,43.5,9.0,25.1,35.9,20.0,26.4,76.0,15.7,25.0,40.7,15.8,6.9,3.3,12.9,18.9
5,Maryland Terrapins,32.0,81.9,28.8,65.4,43.9,5.6,16.9,33.2,18.8,25.8,72.6,15.0,28.3,43.3,15.6,8.3,6.3,16.0,18.9
6,Georgia Southern Eagles,31.0,80.8,28.3,66.1,42.9,6.5,19.9,32.8,17.7,24.7,71.5,14.1,25.7,39.9,14.9,10.0,4.5,15.6,23.5
7,Louisville Cardinals,38.0,80.7,26.6,57.0,46.7,9.5,23.8,39.8,18.0,24.9,72.3,12.9,25.9,38.8,15.5,8.6,3.9,14.1,18.4
8,Lamar Cardinals,29.0,80.6,27.7,63.1,43.9,6.7,19.3,34.6,18.5,27.4,67.3,13.9,26.7,40.6,15.2,8.8,4.6,15.5,21.0
9,Mercer Bears,28.0,80.1,28.7,63.9,44.9,8.1,23.6,34.4,14.5,22.1,65.8,13.8,25.0,38.9,17.0,9.4,3.2,15.9,17.8
10,Arizona Wildcats,37.0,79.7,29.1,60.9,47.8,6.8,17.0,40.2,14.6,18.8,77.6,13.3,23.5,36.8,16.5,8.0,3.9,14.8,16.1
11,Gonzaga Bulldogs,31.0,79.2,27.6,54.9,50.3,4.9,13.0,38.0,19.0,25.7,73.9,11.9,26.5,38.4,15.7,5.5,3.4,13.4,17.3
12,Saint Peter's Peacocks,28.0,78.6,27.5,64.8,42.5,7.6,22.9,33.2,15.9,22.9,69.3,14.6,22.4,37.0,14.4,8.8,2.5,13.4,20.1
13,Michigan State Spartans,33.0,78.5,27.7,56.8,48.7,6.6,18.6,35.6,16.5,21.2,77.7,12.0,24.3,36.3,17.1,7.8,2.6,13.7,19.4
14,Oklahoma State Cowboys,33.0,78.3,27.6,55.5,49.7,7.3,17.1,42.6,15.8,20.2,78.0,11.3,22.7,34.0,16.8,7.3,2.6,13.7,18.2
15,Duke Blue Devils,33.0,78.2,25.8,58.0,44.5,8.8,23.1,38.0,17.7,24.9,71.3,13.1,25.1,38.2,12.8,8.7,6.7,13.8,18.5
16,UConn Huskies,31.0,78.0,27.8,60.4,46.0,5.0,14.3,34.7,17.5,24.9,70.0,15.4,30.1,45.5,17.1,6.1,8.9,15.1,15.7
17,Charlotte 49ers,29.0,77.8,26.3,60.9,43.2,8.0,21.7,36.8,17.2,25.2,68.4,14.5,24.1,38.6,14.1,8.7,3.2,13.4,17.0
18,UAB Blazers,33.0,77.5,27.3,60.5,45.1,6.6,18.9,34.7,16.4,23.5,69.6,11.8,21.2,33.0,15.6,11.6,3.0,13.5,19.5
19,Oral Roberts Golden Eagles,33.0,77.3,27.4,57.3,47.8,6.2,15.8,39.3,16.3,22.5,72.5,11.7,25.2,36.9,17.4,7.5,3.1,14.1,18.2
20,Western Kentucky Hilltoppers,31.0,77.0,27.9,60.5,46.2,7.7,20.9,37.0,13.4,18.9,71.1,13.7,21.1,34.8,14.0,7.8,3.9,13.4,18.4
21,Illinois Fighting Illini,39.0,77.0,28.0,57.9,48.4,8.8,22.5,39.2,12.2,16.7,72.8,10.9,23.4,34.3,18.6,7.7,3.2,11.0,15.7
22,George Washington Revolutionaries,30.0,76.9,27.8,58.3,47.6,5.4,14.9,36.2,16.0,23.1,69.3,13.0,23.6,36.6,16.1,9.8,4.3,14.9,17.5
23,Texas Longhorns,31.0,76.9,26.3,57.7,45.6,7.8,20.2,38.8,16.4,23.5,69.7,13.5,26.1,39.6,13.1,6.0,4.3,14.0,17.7
24,East Tennessee State Buccaneers,29.0,76.8,28.4,62.4,45.4,6.8,18.3,37.2,13.3,19.6,67.9,12.5,25.2,37.7,11.8,8.1,2.4,17.0,17.9
25,Texas Tech Red Raiders,33.0,76.8,28.2,59.3,47.6,4.4,11.1,39.5,15.9,21.1,75.6,11.2,23.5,34.7,16.8,7.8,3.7,12.8,16.8
26,Florida Atlantic Owls,27.0,76.8,27.7,63.0,43.9,7.1,20.3,35.2,14.3,22.3,64.2,14.3,24.8,39.1,13.2,8.7,4.3,17.3,20.3
27,San Diego Toreros,29.0,76.6,26.6,56.2,47.3,7.3,17.9,40.7,16.2,21.6,75.0,10.8,23.8,34.6,16.1,7.4,2.3,16.9,19.7
28,Northern Arizona Lumberjacks,28.0,76.4,26.3,58.0,45.3,7.9,20.8,38.0,15.9,22.4,71.2,10.5,24.3,34.8,14.7,6.5,1.4,15.5,19.6
29,Florida Gators,32.0,76.2,26.4,54.7,48.2,7.6,19.6,39.0,15.8,22.4,70.7,11.4,25.6,37.1,14.8,7.1,4.6,13.9,18.7
30,Arkansas State Red Wolves,29.0,76.1,27.5,60.3,45.6,6.2,16.6,37.2,14.9,22.2,67.0,13.5,24.5,38.0,14.7,6.9,2.8,14.7,20.4
31,Arizona State Sun Devils,32.0,76.0,26.0,57.5,45.2,6.8,19.6,34.8,17.2,24.1,71.6,12.9,23.8,36.7,16.6,6.3,3.6,14.6,18.8
32,UTSA Roadrunners,28.0,75.9,27.7,60.6,45.8,5.1,14.3,36.0,15.4,24.9,61.6,14.5,27.3,41.8,15.2,8.1,4.4,18.0,19.9
33,Cincinnati Bearcats,33.0,75.9,25.4,58.3,43.6,6.7,19.2,34.9,18.4,26.6,69.0,14.3,26.9,41.2,14.9,5.4,6.8,13.2,17.8
