Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,33.0,87.4,31.8,61.7,51.5,7.5,19.3,38.6,16.5,23.9,68.8,11.4,28.8,40.1,16.7,7.4,3.8,11.2,14.7
2,Duke Blue Devils,31.0,82.5,29.7,63.1,47.0,7.0,19.9,35.2,16.2,22.5,72.0,12.7,27.4,40.1,15.5,8.3,6.1,13.2,18.0
3,Alabama Crimson Tide,31.0,82.0,27.5,63.1,43.7,10.8,30.9,34.9,16.1,23.3,69.3,11.7,27.6,39.4,14.2,6.3,4.4,14.9,20.1
4,Green Bay Phoenix,33.0,81.6,29.3,63.9,45.9,7.6,20.7,36.9,15.3,20.3,75.6,9.8,26.5,36.4,16.2,6.9,3.1,12.5,19.2
5,Winthrop Eagles,34.0,81.3,28.8,62.4,46.2,9.5,27.4,34.6,14.2,22.4,63.6,13.2,27.6,40.8,15.9,6.6,2.5,13.9,20.1
6,Wright State Raiders,31.0,80.9,29.5,64.1,46.0,9.3,26.6,34.9,12.7,18.4,69.4,10.6,27.7,38.3,17.5,7.1,3.6,12.8,18.6
6,Wright State Raiders,31.0,80.9,28.8,63.0,45.7,7.8,21.5,36.4,15.5,22.9,67.7,12.3,27.7,40.0,14.1,6.6,3.6,12.5,16.1
8,Stephen F. Austin Lumberjacks,31.0,80.6,28.6,58.3,49.1,5.8,15.9,36.2,17.6,25.5,69.1,13.1,24.3,37.4,15.0,10.5,3.3,17.7,20.9
9,LSU Tigers,31.0,80.5,28.6,60.6,47.1,6.8,20.8,32.7,16.5,21.5,76.9,12.1,27.6,39.7,12.8,6.3,3.9,12.6,16.0
10,Oral Roberts Golden Eagles,31.0,80.2,29.0,64.6,44.8,8.2,24.5,33.4,14.1,18.8,74.9,11.7,26.2,38.0,13.2,6.4,2.5,10.4,16.8
11,Houston Christian Huskies,29.0,80.1,27.5,62.1,44.3,7.4,20.5,36.4,17.6,23.6,74.7,12.2,23.9,36.1,12.8,5.7,2.2,16.8,20.3
12,Dayton Flyers,31.0,80.0,29.2,55.6,52.5,8.0,21.7,37.1,13.6,18.9,72.0,7.8,27.2,35.0,17.6,5.7,3.5,12.4,17.1
13,BYU Cougars,32.0,79.6,29.7,59.3,50.0,10.4,24.5,42.3,9.9,14.2,70.0,6.5,26.6,33.2,17.4,5.8,2.1,11.0,16.1
14,Belmont Bruins,33.0,79.6,29.9,62.8,47.5,9.7,27.5,35.2,10.2,14.2,71.3,8.8,28.5,37.3,18.3,7.5,3.2,11.9,15.1
15,South Dakota Coyotes,32.0,79.6,27.8,56.4,49.2,7.3,18.6,39.1,16.8,22.2,75.5,6.3,26.4,32.7,13.9,4.6,2.7,10.6,17.6
