Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,29.0,91.3,32.6,73.3,44.5,11.6,36.0,32.2,14.6,21.1,69.2,14.9,23.6,38.5,17.9,12.7,2.7,16.0,18.0
2,North Carolina Tar Heels,39.0,88.6,32.1,65.7,48.8,5.5,14.9,37.2,18.9,25.0,75.7,15.5,27.9,43.5,16.8,8.2,4.5,14.4,16.9
3,Texas State Bobcats,29.0,83.6,28.2,67.7,41.6,8.1,22.7,35.8,19.1,29.3,65.1,16.6,25.6,42.2,15.6,9.1,1.8,18.1,27.9
4,Duke Blue Devils,34.0,83.2,28.4,61.3,46.3,9.1,24.0,37.7,17.5,25.1,69.7,12.5,24.4,36.9,14.6,8.7,3.9,13.6,19.2
5,Duquesne Dukes,30.0,82.3,28.5,62.1,45.9,7.2,22.7,31.6,18.1,24.6,73.7,13.7,24.6,38.2,18.1,9.4,7.3,16.2,19.9
6,Tennessee Volunteers,36.0,81.8,28.8,62.7,45.8,8.7,24.3,35.7,15.7,23.8,65.9,13.9,23.8,37.7,17.7,9.3,3.3,13.2,20.7
7,Cal State Fullerton Titans,33.0,81.8,29.5,62.4,47.3,8.6,22.5,38.5,14.2,20.2,70.2,11.8,24.0,35.8,15.3,9.0,1.5,13.5,19.1
8,Massachusetts Minutemen,36.0,81.5,27.9,63.4,44.1,9.2,25.8,35.6,16.4,24.4,67.2,12.3,26.2,38.5,15.7,7.5,7.3,13.4,20.1
9,Lamar Cardinals,30.0,81.5,29.0,61.9,46.9,8.4,22.1,38.2,15.0,22.4,66.9,13.0,22.1,35.1,17.1,8.9,2.6,15.3,19.3
10,Boise State Broncos,34.0,81.4,29.2,57.5,50.8,8.0,20.3,39.3,14.9,22.6,66.1,9.9,26.0,35.8,17.8,6.3,2.4,15.7,17.4
11,Baylor Bears,32.0,81.3,28.1,61.8,45.4,8.6,22.7,37.8,16.5,22.2,74.3,12.0,25.4,37.4,12.1,7.4,4.3,12.6,20.8
12,Rhode Island Rams,33.0,80.5,28.4,60.4,47.0,7.4,19.4,38.0,16.4,23.7,69.3,13.5,24.8,38.3,14.8,7.0,4.0,14.0,18.3
13,Kansas Jayhawks,40.0,80.5,29.4,57.9,50.8,6.8,17.1,39.7,15.0,21.3,70.2,12.1,26.6,38.7,18.0,8.9,5.9,13.2,17.7
14,Vanderbilt Commodores,34.0,80.0,27.3,58.7,46.5,8.9,22.4,39.9,16.5,22.5,73.5,10.6,24.6,35.2,17.8,6.1,3.5,14.5,18.2
15,Memphis Tigers,40.0,79.9,28.6,61.4,46.6,7.6,21.6,34.9,15.2,24.8,61.4,14.1,26.4,40.5,15.9,8.4,6.1,11.8,17.2
16,Belmont Bruins,34.0,79.8,27.6,61.1,45.1,10.5,28.8,36.5,14.1,20.3,69.8,12.5,24.2,36.7,17.3,8.5,1.9,14.6,18.4
17,New Mexico State Aggies,35.0,79.8,29.2,61.5,47.6,6.1,17.6,34.8,15.2,24.1,63.2,15.5,26.3,41.7,15.1,6.8,3.1,16.0,18.9
18,Ole Miss Rebels,35.0,79.5,29.5,64.4,45.9,7.8,21.3,36.7,12.6,19.3,65.1,15.1,25.5,40.6,15.9,6.9,3.4,13.4,18.4
19,Clemson Tigers,34.0,79.2,29.4,64.4,45.6,8.0,21.4,37.2,12.4,19.9,62.3,15.8,22.6,38.4,15.7,9.8,5.4,14.9,19.5
20,Notre Dame Fighting Irish,33.0,79.0,27.7,61.1,45.4,8.3,20.5,40.5,15.3,20.8,73.8,13.2,28.3,41.5,18.4,6.2,3.8,13.0,15.0
21,Syracuse Orange,35.0,79.0,28.5,59.2,48.1,5.4,15.9,34.1,16.6,24.9,66.8,13.8,26.4,40.2,16.5,8.3,6.0,15.9,16.5
22,Houston Cougars,34.0,78.9,25.8,62.9,41.0,11.0,30.6,36.1,16.2,21.1,77.0,12.6,24.4,36.9,12.6,8.5,3.8,10.9,18.7
23,East Tennessee State Buccaneers,32.0,78.6,27.8,61.0,45.5,7.2,20.1,35.8,15.9,22.0,72.1,12.3,24.9,37.2,13.1,8.9,3.2,16.4,21.0
24,Kansas State Wildcats,33.0,78.0,27.8,62.6,44.3,6.4,20.1,31.7,16.1,23.5,68.7,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2
25,Cal State Northridge Matadors,30.0,78.0,28.4,61.5,46.3,7.5,20.5,36.8,13.6,19.7,69.0,11.6,25.5,37.1,15.2,9.1,3.2,16.0,22.5
26,Davidson Wildcats,36.0,77.9,28.7,61.1,46.9,9.1,25.0,36.4,11.4,15.9,71.7,11.6,24.6,36.2,17.1,8.1,3.2,11.8,18.1
27,UT Martin Skyhawks,33.0,77.6,27.0,61.5,43.9,9.4,27.2,34.4,14.2,20.5,69.0,13.1,24.1,37.2,14.0,7.2,2.4,13.8,17.0
28,Georgia Tech Yellow Jackets,32.0,77.6,27.6,58.5,47.1,6.7,18.0,37.2,15.7,22.4,70.0,11.6,22.4,34.0,15.0,8.3,3.5,15.3,22.5
29,Florida Gators,36.0,77.5,28.6,58.6,48.8,7.6,20.8,36.3,12.8,18.3,70.1,11.9,24.2,36.0,17.5,6.2,3.1,12.6,16.2
30,UConn Huskies,33.0,77.5,26.3,57.0,46.2,5.1,14.1,36.1,19.8,27.4,72.0,13.6,28.3,41.9,14.8,5.7,8.6,13.7,15.2
31,Western Kentucky Hilltoppers,36.0,77.4,27.6,58.5,47.2,7.5,19.1,39.3,14.7,21.0,70.1,12.6,22.4,35.1,12.7,8.0,3.8,14.3,21.3
32,North Dakota State Bison,29.0,77.2,26.7,56.7,47.2,6.6,16.3,40.7,17.1,23.0,74.3,11.3,24.4,35.7,14.7,6.0,2.6,14.2,19.7
33,Missouri Tigers,32.0,77.1,28.5,62.8,45.4,6.7,20.0,33.4,13.4,19.4,69.0,11.8,23.0,34.8,16.4,8.1,3.0,12.9,20.4
34,Gardner-Webb Runnin' Bulldogs,32.0,77.0,27.0,61.1,44.2,8.4,23.4,35.9,14.6,22.1,66.0,11.8,26.1,37.9,16.9,7.6,2.8,15.5,22.9
35,North Texas Mean Green,31.0,76.9,26.7,57.9,46.0,6.6,16.5,39.8,17.0,23.6,71.9,13.0,25.6,38.6,10.8,5.5,3.1,15.0,19.3
36,Siena Saints,34.0,76.9,27.3,60.5,45.1,7.0,18.4,38.2,15.2,22.1,68.9,11.5,22.3,33.8,14.4,9.4,3.5,11.3,15.4
37,Virginia Cavaliers,33.0,76.8,26.6,61.2,43.5,8.3,22.7,36.6,15.2,21.6,70.5,13.4,25.6,39.1,13.5,5.8,2.4,14.0,19.5
38,Rider Broncs,34.0,76.8,27.7,57.2,48.5,7.1,17.9,39.8,14.2,22.1,64.3,11.7,25.9,37.5,15.4,7.4,4.5,14.6,17.6
39,Seton Hall Pirates,32.0,76.6,26.5,62.7,42.3,7.2,21.2,33.8,16.5,23.0,71.6,13.2,22.8,36.1,13.0,9.5,4.9,12.3,19.7
40,Southeast Missouri State Redhawks,31.0,76.6,27.0,59.8,45.2,6.6,19.2,34.7,15.9,24.0,66.3,12.3,25.7,38.0,13.8,8.5,4.0,18.0,21.9
41,UTEP Miners,33.0,76.6,26.0,60.0,43.3,6.6,19.9,33.0,18.0,27.4,65.7,11.9,25.0,37.0,13.4,7.7,2.8,13.3,23.4
42,Oregon Ducks,32.0,76.6,26.8,55.9,48.0,8.7,22.2,39.2,14.2,20.5,69.4,10.2,23.9,34.2,14.8,4.6,2.5,12.6,18.3
43,Niagara Purple Eagles,29.0,76.5,24.6,60.8,40.5,7.7,24.4,31.4,19.6,26.9,72.9,15.1,23.3,38.3,12.6,7.8,3.6,13.5,19.9
44,Gonzaga Bulldogs,33.0,76.5,27.0,55.7,48.5,6.7,17.8,37.5,15.8,22.1,71.2,11.2,26.2,37.4,14.5,7.7,4.6,14.3,17.7
45,Oakland Golden Grizzlies,31.0,76.4,26.6,60.2,44.2,6.1,16.9,36.1,17.1,24.5,69.9,15.7,21.0,36.7,13.2,7.5,3.9,13.5,18.2
46,California Golden Bears,33.0,76.4,26.8,57.6,46.5,6.7,18.6,35.9,16.2,20.8,77.6,11.3,24.5,35.8,14.9,4.1,2.5,13.5,17.8
47,Navy Midshipmen,30.0,76.3,25.3,62.3,40.6,9.6,27.3,35.1,16.1,21.5,74.9,12.9,24.2,37.1,14.0,9.1,2.5,16.4,21.7
48,Troy Trojans,31.0,76.3,25.6,62.7,40.8,10.8,30.9,35.0,14.3,19.8,72.3,11.3,22.5,33.8,12.9,8.4,3.4,13.1,16.5
49,Cornell Big Red,28.0,76.3,27.1,55.8,48.5,8.1,19.9,40.9,14.0,18.4,76.1,9.2,24.3,33.5,15.3,6.1,3.1,13.6,18.2
50,Mercer Bears,30.0,76.2,27.5,63.7,43.2,6.0,18.9,31.9,15.1,22.5,66.9,14.1,27.0,41.0,12.9,6.5,5.5,15.5,17.7
51,IUPUI Jaguars,33.0,76.1,26.8,53.2,50.3,7.5,17.6,42.3,15.1,19.5,77.6,10.1,21.5,31.5,14.5,7.8,2.6,12.1,17.0
