Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Villanova Wildcats,40.0,86.6,30.5,61.0,50.0,11.6,29.0,40.1,14.0,18.0,77.9,9.6,26.3,35.9,16.4,6.5,4.1,10.6,16.1
2,Savannah State Tigers,32.0,86.1,29.4,73.4,40.0,12.2,40.8,30.0,15.1,21.7,69.6,13.2,25.0,38.2,15.8,9.4,2.8,14.0,19.0
3,Portland State Vikings,34.0,85.2,30.4,68.6,44.3,8.8,26.0,34.0,15.6,22.1,70.4,14.5,23.9,38.4,16.1,9.8,3.5,12.7,21.9
4,William & Mary Tribe,31.0,85.0,29.4,57.5,51.1,10.9,25.1,43.4,15.5,19.1,81.0,6.7,26.1,32.8,17.7,5.6,4.0,12.3,17.1
5,Oklahoma Sooners,32.0,84.9,29.8,64.4,46.3,9.4,26.1,35.9,15.9,21.4,74.6,10.6,28.2,38.8,15.0,6.5,4.7,13.4,17.2
6,Buffalo Bulls,36.0,84.6,30.7,64.9,47.3,9.8,26.3,37.0,13.5,19.3,69.9,11.9,26.6,38.6,16.6,6.3,4.1,12.4,21.0
7,South Dakota State Jackrabbits,35.0,84.5,28.7,61.3,46.7,10.7,26.5,40.3,16.5,21.7,76.2,8.9,30.1,39.0,13.3,4.9,2.3,10.1,16.1
8,Xavier Musketeers,35.0,84.4,28.9,58.7,49.2,7.8,21.0,37.2,18.8,24.1,77.9,9.8,28.5,38.3,16.5,5.9,3.1,12.6,17.2
9,Duke Blue Devils,37.0,84.4,30.4,61.8,49.2,8.4,22.5,37.2,15.2,21.4,71.0,13.4,27.7,41.1,17.5,7.4,5.0,12.4,15.5
10,Marshall Thundering Herd,36.0,83.8,28.9,62.0,46.7,10.1,28.1,35.8,15.9,20.8,76.4,8.1,27.6,35.7,17.1,7.0,5.8,13.2,17.1
11,Gonzaga Bulldogs,37.0,83.5,30.4,61.1,49.8,8.9,24.1,36.8,13.9,19.6,70.8,11.2,28.7,39.9,15.2,6.3,3.6,11.4,17.1
12,Creighton Bluejays,33.0,83.5,30.5,62.1,49.2,10.4,28.0,37.2,12.0,16.1,74.8,7.5,29.0,36.5,17.8,5.7,2.7,11.2,15.2
13,UNLV Rebels,33.0,83.4,29.6,60.6,48.9,5.6,16.8,33.4,18.5,26.3,70.5,12.0,28.5,40.5,16.2,5.6,4.4,14.3,17.6
14,Niagara Purple Eagles,33.0,83.3,28.6,64.4,44.4,8.2,23.0,35.9,17.8,24.5,72.8,12.0,27.0,39.0,12.0,5.2,4.4,11.3,17.5
15,Louisiana Ragin' Cajuns,34.0,83.2,28.6,61.5,46.4,8.7,24.1,36.3,17.4,22.8,76.1,12.8,26.2,39.0,17.4,7.5,4.3,13.4,19.1
16,Wichita State Shockers,33.0,82.8,29.0,60.9,47.6,9.1,23.8,38.1,15.7,21.2,73.9,12.3,28.3,40.6,18.5,4.7,3.8,11.7,17.6
17,Arizona State Sun Devils,32.0,82.7,27.8,60.0,46.3,9.0,24.8,36.3,18.2,24.8,73.3,9.8,25.3,35.2,14.3,6.5,3.6,10.7,18.9
18,Nevada Wolf Pack,37.0,82.6,28.4,60.5,46.9,9.6,24.4,39.2,16.3,21.9,74.3,9.2,26.3,35.6,16.2,6.2,4.1,9.6,17.0
19,Nicholls Colonels,32.0,82.5,29.4,62.3,47.2,8.1,22.8,35.7,15.6,21.8,71.7,11.0,26.1,37.2,14.8,9.6,3.9,15.3,22.3
20,The Citadel Bulldogs,32.0,82.5,27.8,67.1,41.4,12.1,35.4,34.1,14.8,21.0,70.6,11.8,25.3,37.0,16.5,9.4,3.1,14.9,18.3
21,Purdue Fort Wayne Mastodons,33.0,82.3,28.9,62.8,46.0,10.3,28.0,36.6,14.3,19.8,72.0,9.6,25.5,35.0,14.7,8.0,3.3,11.8,16.3
22,New Mexico Lobos,34.0,82.2,27.6,60.7,45.5,10.8,28.8,37.5,16.2,20.8,77.7,9.3,22.2,31.6,15.9,7.4,2.8,12.4,20.5
23,TCU Horned Frogs,33.0,82.1,28.0,61.8,45.3,8.1,24.6,32.8,18.0,25.0,71.8,10.5,28.2,38.7,15.7,6.5,3.1,14.9,19.9
23,TCU Horned Frogs,33.0,82.1,29.7,59.8,49.6,8.3,21.0,39.5,14.4,20.4,70.6,11.2,25.2,36.4,18.6,6.5,3.6,12.7,16.8
25,Bethune-Cookman Wildcats,32.0,81.9,28.2,63.7,44.3,7.5,23.7,31.8,18.0,25.6,70.1,13.3,28.8,42.1,15.7,6.3,3.8,15.8,20.9
26,Rider Broncs,32.0,81.9,29.1,62.6,46.5,7.6,21.2,35.8,16.0,26.4,60.8,13.2,26.0,39.2,14.3,7.5,3.4,13.3,19.9
27,Auburn Tigers,34.0,81.9,26.6,61.8,43.1,9.5,26.7,35.7,19.0,24.6,77.4,12.0,25.9,37.9,14.1,7.4,5.3,12.1,19.8
28,North Carolina Tar Heels,37.0,81.6,29.9,65.3,45.7,8.2,22.9,35.9,13.6,18.3,74.3,13.8,28.6,42.4,18.2,5.8,4.1,12.0,15.9
29,Kansas Jayhawks,39.0,81.4,29.9,60.7,49.2,10.0,25.0,40.1,11.6,16.4,70.8,9.8,25.8,35.6,16.6,6.5,4.1,11.7,15.3
30,Florida Gulf Coast Eagles,35.0,81.3,29.9,60.5,49.4,7.3,20.0,36.3,14.4,19.4,74.0,10.5,27.7,38.2,15.3,7.3,2.8,14.1,18.7
31,Marquette Golden Eagles,35.0,81.3,28.3,59.5,47.5,11.0,26.4,41.7,13.8,17.1,80.5,9.0,22.9,31.9,15.7,6.1,3.7,12.3,19.4
32,NC State Wolfpack,33.0,81.3,29.2,62.2,47.0,8.0,21.4,37.2,14.8,21.3,69.6,12.2,23.5,35.6,16.1,7.4,3.7,12.1,18.5
33,UCLA Bruins,33.0,81.2,28.1,61.0,46.0,9.4,24.6,38.1,15.6,21.7,72.0,10.2,28.6,38.8,15.0,5.6,4.0,12.1,17.9
34,Northern Colorado Bears,38.0,81.1,29.1,61.8,47.0,8.8,24.5,35.9,14.2,20.6,68.9,9.4,28.1,37.5,11.9,5.3,3.7,12.3,19.0
35,Bucknell Bison,35.0,81.1,27.6,58.6,47.1,8.0,23.0,34.8,17.9,24.9,71.9,9.3,27.3,36.6,14.4,5.5,4.3,12.5,18.7
36,South Dakota Coyotes,35.0,80.9,29.1,61.0,47.6,6.9,19.5,35.5,15.9,21.1,75.0,10.3,27.4,37.7,13.2,6.8,2.0,11.1,16.9
37,North Florida Ospreys,33.0,80.8,28.5,62.4,45.6,10.8,28.6,37.8,13.1,17.3,76.0,9.5,25.7,35.1,14.8,5.2,3.8,14.5,15.3
38,Stephen F. Austin Lumberjacks,35.0,80.5,28.7,60.5,47.4,7.7,19.4,39.6,15.4,22.7,68.1,10.0,24.5,34.5,14.3,6.2,4.7,10.9,20.0
38,Stephen F. Austin Lumberjacks,35.0,80.5,28.0,61.8,45.3,8.2,23.0,35.6,16.4,22.3,73.5,10.3,26.0,36.3,16.1,6.7,5.1,13.7,19.7
38,Stephen F. Austin Lumberjacks,35.0,80.5,28.6,58.8,48.6,6.9,18.6,37.2,16.5,23.4,70.5,11.5,24.2,35.7,14.2,10.3,3.1,15.5,21.9
41,Arizona Wildcats,35.0,80.5,28.8,57.2,50.4,6.8,18.3,36.9,16.1,21.2,76.0,10.1,26.4,36.5,15.2,4.9,4.5,12.2,17.2
42,Purdue Boilermakers,37.0,80.4,27.9,56.7,49.3,9.5,22.7,42.0,15.0,20.2,74.3,8.6,26.4,35.0,16.2,5.7,4.9,10.8,15.7
43,Michigan State Spartans,35.0,80.2,28.3,57.0,49.6,8.3,20.7,40.0,15.3,20.5,74.7,11.6,29.5,41.1,19.1,4.1,7.2,13.1,18.3
44,Florida State Seminoles,35.0,80.2,28.4,60.7,46.8,7.8,22.3,35.0,15.5,22.5,69.1,11.4,26.4,37.8,14.9,6.9,5.3,13.0,18.6
45,West Virginia Mountaineers,37.0,80.1,28.0,64.2,43.6,8.7,24.6,35.3,15.4,20.1,76.6,14.1,23.8,37.8,15.2,8.1,5.2,11.4,21.6
46,Virginia Tech Hokies,33.0,79.8,28.2,56.5,49.9,8.8,22.6,38.8,14.6,20.6,70.9,7.5,25.2,32.7,16.4,5.8,2.2,12.0,15.8
47,Wyoming Cowboys,33.0,79.8,26.5,59.4,44.6,9.2,26.7,34.5,17.7,23.9,73.8,7.0,27.8,34.8,15.7,6.5,3.9,13.6,19.8
48,Iowa Hawkeyes,33.0,79.7,28.7,59.8,47.9,7.6,20.4,37.5,14.7,21.2,69.5,11.8,26.3,38.1,18.2,5.2,4.1,13.4,16.6
49,Winthrop Eagles,31.0,79.5,28.0,60.3,46.5,8.4,22.4,37.5,15.1,22.1,68.2,11.0,24.6,35.6,13.3,5.0,2.7,10.8,18.6
49,Winthrop Eagles,31.0,79.5,27.7,58.2,47.6,9.5,25.5,37.4,14.5,20.1,72.2,9.1,27.2,36.3,14.7,6.8,4.6,13.8,17.4
