Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,32.0,91.0,33.7,61.4,54.9,7.5,20.4,36.8,16.0,21.9,73.1,9.3,27.8,37.2,18.8,7.9,2.8,12.0,16.3
2,Colgate Raiders,16.0,85.2,30.9,62.8,49.3,9.3,22.9,40.3,14.1,19.4,72.3,9.8,30.1,39.9,17.6,7.1,3.4,10.8,16.2
3,Southern Utah Thunderbirds,24.0,84.2,29.1,61.5,47.4,8.8,25.8,34.1,17.2,23.0,74.8,11.0,28.4,39.4,14.1,7.0,2.6,12.1,16.9
4,Bryant Bulldogs,22.0,83.8,29.0,62.4,46.5,9.5,24.8,38.1,16.3,21.5,76.1,10.3,29.5,39.8,15.3,6.9,3.5,15.1,16.6
5,Iowa Hawkeyes,31.0,83.7,29.8,63.3,47.1,9.7,25.2,38.6,14.5,20.2,71.5,11.3,28.5,39.7,19.2,5.6,4.5,9.5,15.0
6,Baylor Bears,30.0,82.9,30.6,62.9,48.6,10.0,24.1,41.3,11.8,16.7,70.8,12.8,23.2,36.0,16.9,8.9,3.7,11.5,17.1
7,Wright State Raiders,24.0,82.0,29.6,61.3,48.3,7.5,20.2,37.0,15.3,21.2,72.4,11.9,30.4,42.3,15.4,5.9,3.6,13.1,13.7
8,Eastern Kentucky Colonels,29.0,81.8,30.0,67.1,44.8,9.6,26.8,35.9,12.1,17.1,70.6,10.6,25.0,35.6,15.9,10.3,3.6,12.8,18.4
9,LSU Tigers,29.0,81.8,28.8,62.9,45.9,8.1,23.2,34.7,16.0,21.4,75.0,11.5,26.9,38.4,12.1,7.8,2.9,11.3,17.4
10,Weber State Wildcats,22.0,81.5,28.7,56.6,50.6,8.3,21.5,38.8,15.8,20.3,78.0,6.2,26.3,32.5,15.0,6.6,3.1,12.3,16.4
11,Arkansas Razorbacks,32.0,81.4,29.2,64.7,45.1,7.3,21.9,33.2,15.7,21.2,74.0,11.9,27.8,39.7,14.6,7.8,4.9,12.9,16.9
12,Buffalo Bulls,25.0,81.4,30.6,66.5,46.1,7.0,20.7,33.8,13.1,19.5,67.1,14.8,29.0,43.8,15.9,8.0,4.1,13.9,17.7
13,Belmont Bruins,30.0,81.3,29.8,61.0,48.9,9.0,26.2,34.4,12.7,17.2,73.8,8.8,26.9,35.7,18.2,7.7,2.9,12.0,14.6
14,Oral Roberts Golden Eagles,29.0,81.1,28.0,62.2,44.9,11.1,29.3,38.0,14.0,17.1,82.1,8.3,26.4,34.7,12.8,6.6,3.8,11.4,17.3
15,Toledo Rockets,30.0,81.1,28.4,62.3,45.6,10.5,28.1,37.2,13.8,17.7,78.0,10.8,26.9,37.6,15.9,6.1,2.5,11.1,15.3
16,The Citadel Bulldogs,25.0,80.8,28.3,62.6,45.2,10.2,28.8,35.6,13.9,19.8,70.1,9.5,28.3,37.8,15.6,5.4,4.3,12.1,16.2
17,Illinois Fighting Illini,31.0,80.5,29.3,58.7,50.0,6.5,17.5,37.3,15.4,22.3,69.0,10.5,29.5,40.0,16.3,5.7,2.8,13.0,17.7
18,South Dakota State Jackrabbits,23.0,80.4,28.5,57.2,49.8,8.0,19.9,40.4,15.4,21.6,71.6,7.8,28.0,35.7,14.2,5.5,3.1,12.3,16.1
19,Georgia State Panthers,22.0,80.3,29.5,63.0,46.8,8.1,22.6,35.8,13.2,19.3,68.5,11.4,26.2,37.5,16.8,7.1,4.4,11.6,16.6
20,McNeese Cowboys,24.0,80.3,29.9,60.7,49.3,8.5,21.9,38.8,12.0,17.4,68.8,10.6,26.7,37.3,18.5,7.2,2.0,15.0,17.1
21,Stephen F. Austin Lumberjacks,21.0,80.3,29.6,56.9,52.1,4.8,14.1,33.7,16.3,24.0,68.0,11.6,24.1,35.7,15.8,9.5,3.5,16.6,20.0
22,VMI Keydets,25.0,80.0,28.2,60.7,46.5,10.8,28.4,38.0,12.8,16.5,77.2,8.3,30.2,38.5,15.7,5.4,3.0,12.6,14.6
23,Marshall Thundering Herd,22.0,79.9,29.8,62.8,47.5,9.3,25.8,36.0,11.0,15.2,72.5,8.3,27.0,35.4,15.9,7.8,5.2,12.0,15.1
24,Morgan State Bears,22.0,79.8,27.4,63.1,43.3,8.3,24.1,34.3,16.8,22.7,73.9,13.5,26.2,39.7,14.8,7.9,3.7,15.6,20.7
25,Alabama Crimson Tide,33.0,79.7,28.0,64.4,43.5,10.5,30.0,35.2,13.1,18.5,70.8,12.6,28.1,40.7,14.1,8.5,4.3,13.9,18.3
26,Sam Houston Bearkats,28.0,79.6,28.5,62.8,45.3,9.1,25.5,35.7,13.6,19.6,69.2,11.4,25.5,36.9,15.5,8.5,3.1,14.4,20.2
27,Furman Paladins,25.0,79.6,29.2,60.0,48.7,9.7,28.3,34.2,11.5,15.9,72.4,8.9,26.2,35.2,16.6,8.2,3.4,12.5,17.1
28,Coastal Carolina Chanticleers,26.0,79.5,28.2,61.7,45.6,8.5,23.8,35.8,14.7,20.5,71.7,13.5,29.9,43.5,15.5,8.2,4.0,15.2,16.7
29,Ohio Bobcats,25.0,79.2,29.1,60.8,47.9,8.4,23.7,35.2,12.6,17.9,70.3,9.9,25.4,35.3,17.4,6.5,2.1,12.0,15.9
30,California Baptist Lancers,23.0,79.1,27.6,58.0,47.5,9.3,23.8,39.3,14.7,19.9,73.7,9.7,27.4,37.1,17.5,5.0,2.5,13.5,19.8
31,St. John's Red Storm,27.0,79.0,28.9,64.6,44.7,7.4,21.5,34.5,13.9,18.5,74.9,11.2,24.8,36.0,16.3,9.1,3.9,12.6,18.3
32,Winthrop Eagles,25.0,78.9,27.8,60.8,45.7,8.4,23.9,35.2,14.9,21.6,68.8,13.0,27.2,40.1,15.0,7.4,2.3,14.0,18.4
33,UTSA Roadrunners,26.0,78.8,29.5,66.0,44.7,8.0,24.0,33.4,11.7,15.4,76.1,11.6,26.9,38.5,14.7,6.2,3.2,11.6,18.3
34,Nicholls Colonels,25.0,78.4,29.4,64.4,45.6,7.8,24.2,32.1,11.9,17.8,66.8,10.9,27.2,38.1,13.4,9.1,3.3,13.0,18.5
35,Eastern Washington Eagles,24.0,78.3,27.8,59.4,46.8,8.5,23.9,35.5,14.2,18.0,79.1,7.6,27.8,35.3,15.2,4.8,2.9,11.5,17.0
36,Akron Zips,23.0,78.2,27.3,61.5,44.4,9.4,28.3,33.3,14.1,18.7,75.8,11.4,27.5,38.9,13.3,4.9,3.7,11.8,18.0
37,BYU Cougars,27.0,78.1,28.7,59.6,48.3,8.7,23.4,37.3,11.9,16.4,72.5,9.5,29.7,39.2,16.1,4.6,2.8,13.2,18.0
38,James Madison Dukes,20.0,78.1,27.2,60.1,45.2,8.3,24.3,34.2,15.5,23.2,66.8,11.0,26.4,37.4,13.8,7.5,2.1,12.2,18.8
39,Florida Atlantic Owls,23.0,78.1,28.3,61.3,46.3,9.7,25.5,38.0,11.7,17.7,66.1,12.5,27.9,40.4,14.6,7.6,2.7,13.8,18.0
40,St. Francis Brooklyn Terriers,19.0,77.7,28.5,63.9,44.6,6.2,18.7,33.1,14.4,19.6,73.5,11.4,24.8,36.2,14.3,8.1,3.5,12.1,20.3
41,Lafayette Leopards,15.0,77.7,27.0,61.9,43.6,8.6,23.9,36.0,15.1,18.7,80.4,8.9,26.1,35.0,16.2,6.3,3.4,10.9,18.7
42,Bowling Green Falcons,26.0,77.5,27.8,66.6,41.8,8.2,25.7,31.9,13.6,18.5,73.6,12.6,25.8,38.5,12.6,7.1,2.2,9.8,17.0
43,Georgia Bulldogs,26.0,77.5,28.2,61.7,45.8,6.3,19.6,32.4,14.7,21.3,68.9,12.2,25.0,37.2,15.0,8.5,2.5,16.7,18.6
44,West Virginia Mountaineers,29.0,77.3,26.5,61.8,42.9,7.4,20.4,36.4,16.9,23.4,71.9,13.6,24.2,37.8,14.0,7.6,2.8,12.0,16.3
45,Auburn Tigers,27.0,77.2,26.3,60.3,43.7,9.1,27.8,32.6,15.4,21.8,70.8,12.9,26.4,39.4,14.8,6.2,6.0,16.2,17.9
46,Ohio State Buckeyes,31.0,77.2,26.4,57.6,45.9,8.1,22.6,36.0,16.2,21.4,75.6,9.8,26.8,36.6,13.1,4.5,3.5,10.6,18.5
47,Florida State Seminoles,25.0,77.2,27.7,58.4,47.4,7.7,20.4,37.6,14.0,19.0,74.1,11.1,25.6,36.7,14.5,7.3,5.1,14.4,18.4
48,Cal State Fullerton Titans,16.0,77.0,26.9,59.4,45.2,8.2,21.3,38.4,15.1,20.4,73.9,8.8,24.1,32.9,13.6,6.7,2.0,12.8,16.9
49,Pepperdine Waves,27.0,76.9,27.6,59.5,46.3,6.9,21.2,32.6,14.9,18.9,78.5,8.2,26.9,35.1,16.3,6.5,3.2,13.1,19.0
50,Samford Bulldogs,19.0,76.8,28.5,64.1,44.4,7.9,25.5,31.2,11.9,17.4,68.6,11.7,28.1,39.7,14.9,6.8,2.5,16.3,20.9
51,Central Michigan Chippewas,23.0,76.8,27.4,61.6,44.5,6.6,20.1,32.9,15.3,22.7,67.3,10.7,25.6,36.2,10.7,8.2,2.9,13.3,17.2
52,Massachusetts Minutemen,15.0,76.7,26.3,61.3,42.8,8.8,27.0,32.6,15.4,21.0,73.3,9.1,25.4,34.5,14.9,7.3,4.1,12.1,17.4
53,Mercer Bears,29.0,76.7,28.7,59.9,47.9,8.6,23.2,37.1,10.7,14.9,71.8,8.7,27.6,36.3,16.5,6.9,3.0,12.9,15.3
54,Kent State Golden Flashes,23.0,76.7,27.6,62.3,44.3,8.0,24.7,32.6,13.4,17.3,77.8,12.7,26.5,39.1,14.3,6.8,3.3,13.6,17.1
55,Wyoming Cowboys,25.0,76.6,26.0,57.7,45.0,10.0,28.2,35.7,14.6,20.4,71.9,8.1,24.5,32.6,14.0,5.8,2.2,11.2,18.7
56,Oklahoma State Cowboys,30.0,76.6,27.2,59.3,45.8,6.3,19.1,33.2,15.8,22.3,71.0,11.1,27.2,38.3,12.8,7.5,4.4,15.6,17.2
57,Detroit Mercy Titans,22.0,76.5,27.2,58.6,46.4,10.2,26.1,39.1,11.9,14.8,80.4,9.0,23.7,32.7,14.3,6.8,2.5,11.5,14.3
58,Murray State Racers,26.0,76.4,29.1,58.5,49.7,8.2,22.2,36.8,10.0,14.9,67.2,9.3,26.8,36.1,16.7,6.7,3.5,13.3,16.6
59,UNC Wilmington Seahawks,17.0,76.3,26.0,59.5,43.7,7.5,21.8,34.5,16.8,21.9,76.6,9.5,22.7,32.2,12.1,6.1,3.5,11.2,18.0
60,Houston Cougars,32.0,76.1,26.7,61.3,43.5,9.1,25.7,35.4,13.6,18.6,73.1,14.5,26.0,40.5,13.9,8.0,4.7,10.7,18.0
61,Monmouth Hawks,20.0,76.1,25.9,61.3,42.3,7.7,21.2,36.3,16.6,23.4,70.7,9.9,27.6,37.5,14.0,8.3,3.5,13.4,20.8
62,Duke Blue Devils,24.0,76.0,28.8,61.6,46.8,8.4,23.8,35.2,10.0,14.4,69.1,11.3,24.1,35.5,16.3,8.2,4.5,12.8,17.1
63,Creighton Bluejays,31.0,76.0,28.3,60.1,47.2,9.5,26.2,36.1,9.9,15.4,64.0,8.4,27.3,35.7,15.6,7.0,3.3,11.0,15.4
64,UC Santa Barbara Gauchos,27.0,76.0,27.4,56.8,48.2,6.7,19.3,34.7,14.5,19.3,75.1,9.4,25.8,35.2,16.2,7.4,2.8,10.9,15.9
65,New Orleans Privateers,25.0,76.0,27.0,57.6,46.8,7.4,19.1,38.9,14.6,18.7,78.0,7.2,27.6,34.8,14.0,4.6,2.4,10.7,18.7
65,New Orleans Privateers,25.0,76.0,28.1,59.0,47.6,5.5,16.7,32.9,14.2,19.3,73.7,9.8,25.4,35.2,15.6,7.6,2.8,16.8,20.9
67,Drake Bulldogs,31.0,75.9,29.3,60.6,48.3,7.0,19.2,36.7,10.3,14.5,71.3,10.6,25.5,36.1,13.6,7.0,3.0,10.3,15.7
68,Michigan Wolverines,28.0,75.8,27.5,57.1,48.2,7.4,19.3,38.1,13.3,17.3,76.9,9.1,28.3,37.5,15.8,4.3,4.2,11.3,14.8
69,Boise State Broncos,28.0,75.8,26.5,58.4,45.5,7.9,22.7,34.6,14.9,20.2,73.5,9.2,26.4,35.5,13.5,6.5,2.9,11.7,17.1
70,Abilene Christian Wildcats,29.0,75.7,27.1,60.4,44.9,7.6,22.2,34.4,13.9,20.5,67.8,11.5,24.6,36.1,17.7,9.7,3.0,13.6,19.1
