Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Virginia Cavaliers,34.0,56.4,19.4,48.6,39.8,6.1,19.4,31.7,11.5,16.4,69.9,7.9,22.2,30.0,9.8,4.9,2.7,12.6,14.7
2,Saint Mary's Gaels,34.0,57.5,21.7,52.7,41.2,4.4,14.6,30.0,9.7,14.0,69.1,7.3,19.3,26.5,8.7,5.6,2.4,9.4,16.1
3,SMU Mustangs,35.0,60.0,21.3,55.1,38.6,8.1,25.1,32.1,9.4,13.5,69.2,9.4,20.0,29.5,11.9,4.9,3.0,11.7,18.1
4,Saint Peter's Peacocks,36.0,60.8,21.7,52.3,41.6,6.9,21.5,31.9,10.5,15.3,68.9,8.6,24.1,32.6,11.6,5.1,3.0,13.4,17.9
5,Old Dominion Monarchs,31.0,61.2,20.4,50.9,40.0,6.5,19.4,33.6,13.9,19.6,70.6,8.6,24.1,32.7,10.3,5.0,3.2,12.9,18.4
6,UCF Knights,36.0,61.2,22.0,60.4,36.5,7.6,24.3,31.3,9.5,13.5,70.7,10.3,22.3,32.6,13.4,6.4,2.9,9.8,19.7
7,Illinois State Redbirds,35.0,61.3,20.9,55.3,37.9,7.0,21.5,32.8,12.4,17.9,69.2,10.5,23.9,34.4,11.1,5.8,2.6,12.8,16.5
8,Cincinnati Bearcats,36.0,61.3,21.3,54.9,38.8,7.0,20.3,34.4,11.8,16.0,73.6,10.3,22.0,32.3,11.3,3.6,3.1,13.2,16.8
9,Princeton Tigers,30.0,61.4,21.7,52.3,41.6,6.5,19.6,33.2,11.5,16.6,68.9,8.1,25.4,33.5,10.6,4.5,2.6,13.1,15.3
10,Gonzaga Bulldogs,39.0,61.5,22.4,61.5,36.5,5.7,19.7,29.0,10.9,16.6,65.8,11.0,22.6,33.6,9.7,5.4,3.1,12.1,19.7
11,Vermont Catamounts,35.0,62.1,23.2,54.8,42.3,5.7,17.0,33.4,10.0,14.2,70.5,9.1,21.3,30.5,10.4,5.3,2.7,12.9,18.4
12,Holy Cross Crusaders,32.0,62.1,21.9,48.5,45.3,7.8,22.6,34.3,10.5,14.7,71.3,9.3,24.6,33.9,14.3,4.8,2.9,15.9,17.3
13,Wisconsin Badgers,37.0,62.4,22.2,53.9,41.2,6.8,18.0,37.6,11.2,15.1,73.9,8.6,22.3,30.9,10.2,5.3,3.1,12.8,18.4
14,Wichita State Shockers,36.0,62.4,20.9,55.6,37.7,6.7,21.5,31.1,13.8,19.9,69.2,9.2,22.8,32.1,10.4,5.3,3.4,13.6,20.9
15,San Diego State Aztecs,33.0,62.5,21.7,55.9,38.8,6.6,20.5,32.4,12.6,17.8,70.7,10.4,24.7,35.1,11.1,5.3,3.5,12.8,19.0
16,Texas State Bobcats,36.0,62.7,21.7,52.6,41.2,5.9,18.8,31.5,13.4,18.7,71.8,9.8,23.4,33.3,10.3,5.5,3.7,13.4,18.2
17,Villanova Wildcats,36.0,62.7,23.5,56.1,41.9,7.0,22.4,31.1,8.7,12.4,70.3,9.5,20.3,29.8,13.4,5.1,2.0,13.2,18.2
18,California Golden Bears,34.0,63.4,22.3,55.7,40.0,5.9,18.1,32.8,12.9,19.0,67.7,8.7,23.6,32.2,11.5,4.8,3.6,11.1,18.7
19,Liberty Flames,35.0,63.4,21.1,48.6,43.4,6.9,20.5,33.5,14.4,19.9,72.1,7.4,26.3,33.7,10.8,4.5,2.4,14.3,17.4
20,North Carolina Central Eagles,34.0,63.5,23.2,59.0,39.3,6.2,21.3,29.0,11.0,16.9,64.8,12.2,23.8,36.0,10.6,4.6,2.7,13.9,17.9
21,Baylor Bears,35.0,63.7,22.7,56.0,40.5,6.3,19.6,32.4,11.9,16.7,71.3,10.2,18.9,29.2,13.2,5.4,3.6,11.4,18.4
22,Cal State Bakersfield Roadrunners,35.0,63.9,19.9,53.5,37.2,6.9,21.7,31.8,17.2,24.9,69.1,11.2,24.0,35.2,11.0,6.1,3.4,16.6,19.6
23,Middle Tennessee Blue Raiders,36.0,63.9,22.0,52.3,42.1,6.1,18.8,32.3,13.8,19.4,71.1,8.0,22.2,30.2,11.1,4.8,2.4,13.2,16.8
24,Miami Hurricanes,33.0,64.1,23.1,55.1,41.9,6.3,19.1,33.0,11.7,15.8,73.9,9.7,21.9,31.6,12.0,6.0,3.1,11.9,16.8
25,Navy Midshipmen,32.0,64.2,22.1,48.7,45.5,7.0,19.5,35.7,12.9,18.8,69.0,7.7,22.3,30.0,13.0,7.6,2.9,15.5,19.3
26,Northern Iowa Panthers,30.0,64.4,23.2,54.1,42.9,7.7,21.1,36.3,10.2,13.7,74.9,9.0,27.7,36.7,12.2,5.8,2.2,13.8,18.4
27,Charleston Cougars,35.0,64.6,23.2,55.5,41.9,6.5,21.3,30.8,11.6,17.5,66.2,10.3,25.0,35.3,11.2,3.9,3.3,12.3,19.3
28,Alabama Crimson Tide,34.0,64.7,22.0,54.4,40.5,6.1,18.4,33.3,14.6,21.7,67.1,9.7,23.8,33.4,9.6,6.3,2.9,13.5,19.5
29,UC Irvine Anteaters,36.0,64.8,21.6,56.5,38.3,6.1,18.9,32.4,15.3,21.9,70.0,9.8,23.2,33.0,11.3,5.6,2.7,10.5,17.7
30,Houston Cougars,32.0,64.9,21.9,53.7,40.8,6.8,20.7,32.9,14.3,19.8,72.2,10.7,24.2,34.9,11.3,4.8,3.1,13.7,18.1
31,East Carolina Pirates,33.0,65.1,23.4,59.6,39.2,6.6,20.3,32.5,11.8,16.2,72.5,12.0,25.3,37.3,12.4,6.5,3.3,11.4,18.3
32,South Carolina Gamecocks,37.0,65.2,21.3,53.2,40.1,5.6,18.6,30.3,17.0,23.5,72.4,10.8,24.4,35.3,9.8,6.0,3.8,17.1,21.0
33,Rhode Island Rams,35.0,65.4,21.8,53.6,40.6,4.7,16.1,29.5,17.1,24.1,70.8,10.7,23.9,34.6,10.1,5.3,3.0,13.1,19.8
34,Santa Clara Broncos,33.0,65.4,23.3,51.6,45.2,6.4,17.0,37.7,12.4,18.1,68.6,7.8,26.0,33.8,12.6,3.8,2.8,12.4,16.6
