Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Northwestern State Demons,32.0,84.0,29.6,64.1,46.1,8.3,23.1,35.7,16.6,22.2,74.9,11.6,22.9,34.6,15.9,7.6,4.5,12.3,18.6
2,BYU Cougars,35.0,83.7,27.9,59.7,46.7,8.6,21.8,39.3,19.4,25.3,76.6,12.0,26.5,38.5,17.0,7.3,2.9,11.9,20.6
3,Eastern Washington Eagles,35.0,80.6,27.9,58.4,47.8,9.8,24.6,40.0,14.9,20.5,72.6,10.0,23.8,33.8,13.0,6.3,4.8,10.7,17.7
4,VMI Keydets,30.0,80.5,27.6,69.1,40.0,11.4,35.9,31.7,13.8,20.2,68.4,14.5,24.8,39.3,13.6,8.5,5.9,15.0,21.5
5,Iona Gaels,35.0,79.5,27.1,58.6,46.3,9.8,24.8,39.6,15.4,21.9,70.1,9.9,26.1,36.0,16.4,6.5,3.9,12.2,17.3
6,Duke Blue Devils,39.0,79.3,28.2,56.2,50.2,7.3,18.8,38.7,15.6,22.4,69.9,11.4,25.4,36.8,15.1,7.1,3.8,10.8,15.6
7,Incarnate Word Cardinals,29.0,79.2,26.7,56.8,46.9,7.0,19.0,37.1,18.9,25.8,73.4,9.2,24.2,33.4,13.2,7.9,4.4,11.3,18.5
8,Davidson Wildcats,32.0,79.0,28.1,60.1,46.7,10.7,27.4,39.1,12.2,17.3,70.5,10.5,25.3,35.8,17.1,5.3,2.9,9.5,18.8
9,Murray State Racers,35.0,79.0,27.5,57.0,48.2,7.5,19.4,38.7,16.5,23.7,69.7,12.1,24.9,36.9,15.5,7.2,3.2,11.7,18.5
10,Gonzaga Bulldogs,38.0,78.7,28.5,54.8,52.0,6.9,17.4,40.0,14.7,21.2,69.0,10.3,27.6,37.9,16.3,5.9,3.3,10.4,16.8
11,Stephen F. Austin Lumberjacks,34.0,78.6,26.8,55.0,48.7,7.7,20.4,37.9,17.3,23.5,73.6,12.1,22.4,34.6,17.5,7.6,3.5,14.0,21.6
12,Hofstra Pride,34.0,78.5,26.5,59.2,44.8,8.9,24.6,36.2,16.5,23.6,70.0,11.8,24.6,36.5,15.4,7.5,2.6,11.1,19.1
13,Central Michigan Chippewas,32.0,78.3,26.5,56.8,46.7,10.1,27.0,37.3,15.2,20.9,72.5,10.2,23.5,33.8,14.0,7.1,2.6,10.2,17.6
14,Notre Dame Fighting Irish,38.0,78.0,27.6,54.2,50.9,7.9,20.4,39.0,14.8,19.9,74.2,8.2,24.2,32.4,15.2,6.7,3.6,9.4,14.2
15,Iowa State Cyclones,34.0,77.8,27.6,58.0,47.6,7.7,21.4,36.2,14.8,21.2,69.6,9.5,26.4,35.9,16.1,6.4,3.9,11.0,15.5
16,North Carolina Tar Heels,38.0,77.7,28.9,60.8,47.6,4.8,13.5,35.8,15.0,21.4,70.1,13.8,26.7,40.6,17.4,6.6,4.2,12.7,19.4
17,Louisiana Ragin' Cajuns,36.0,77.5,27.1,59.0,45.9,6.7,18.6,35.8,16.6,23.6,70.6,12.6,26.9,39.5,14.7,6.6,4.0,14.6,18.5
18,Indiana Hoosiers,34.0,77.4,27.1,58.5,46.4,9.4,23.1,40.6,13.8,19.1,71.9,12.0,24.0,36.0,13.9,5.0,3.2,11.5,17.8
19,Arkansas Razorbacks,36.0,77.4,27.2,61.0,44.5,6.6,18.9,34.9,16.5,22.8,72.4,13.1,22.8,35.8,16.1,7.7,4.7,11.9,19.0
20,Omaha Mavericks,29.0,76.8,26.4,59.4,44.5,6.2,18.6,33.2,17.7,25.4,69.6,11.1,23.7,34.8,12.1,8.2,3.2,13.5,20.3
