Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Houston Cougars,37.0,57.6,19.1,50.3,37.9,6.1,20.2,30.1,13.4,19.8,67.4,10.7,23.0,33.7,11.4,5.0,2.8,15.8,16.2
2,Saint Mary's Gaels,34.0,59.2,20.9,52.9,39.6,4.9,15.6,31.4,12.4,17.3,71.8,7.5,20.2,27.7,9.9,5.4,2.9,10.9,15.9
3,Virginia Cavaliers,34.0,59.8,21.5,53.1,40.6,6.4,21.0,30.5,10.3,13.7,74.9,9.3,25.4,34.7,11.2,5.0,3.2,12.0,13.1
4,Iowa State Cyclones,37.0,61.5,20.8,51.6,40.2,7.4,23.3,31.5,12.7,17.9,70.6,9.6,23.5,33.1,12.2,6.1,3.5,17.2,18.3
5,Marist Red Foxes,31.0,62.2,21.6,52.7,41.0,6.4,20.2,31.8,12.5,18.5,68.0,9.1,24.0,33.1,9.5,6.7,2.5,13.4,15.4
6,McNeese Cowboys,34.0,62.2,20.9,53.8,38.9,8.2,25.9,31.7,12.1,17.1,71.2,10.6,22.2,32.9,12.4,4.6,3.2,16.3,17.9
7,Vermont Catamounts,35.0,63.0,23.0,56.6,40.6,6.4,20.3,31.4,10.6,14.9,71.4,8.1,25.4,33.5,9.9,5.1,3.2,10.0,15.1
8,Wagner Seahawks,33.0,63.1,22.8,54.1,42.2,6.6,22.0,30.0,10.9,15.9,68.4,9.0,26.0,35.0,13.5,4.8,3.2,11.1,14.0
9,UConn Huskies,40.0,63.4,22.4,57.0,39.2,5.9,18.7,31.2,12.9,17.7,72.5,9.9,20.2,30.1,10.0,5.4,3.0,10.6,16.6
10,Morehead State Eagles,35.0,63.4,22.5,57.3,39.3,5.7,19.0,30.2,12.6,16.8,75.1,9.3,21.3,30.7,9.5,5.9,2.6,10.5,15.7
11,Towson Tigers,34.0,63.6,22.6,53.9,42.0,6.5,19.9,32.8,11.8,17.0,69.6,9.1,21.7,30.9,10.7,6.3,3.4,11.0,15.9
12,North Texas Mean Green,34.0,63.8,21.8,52.5,41.5,6.2,18.9,33.1,14.0,19.6,71.5,10.5,22.2,32.7,10.0,6.7,4.0,12.3,15.2
13,Saint Peter's Peacocks,33.0,64.0,21.4,51.4,41.7,5.8,17.9,32.7,15.3,21.9,70.0,9.8,23.5,33.2,11.1,6.5,4.0,13.5,18.6
14,Colgate Raiders,35.0,64.1,23.8,57.7,41.3,7.1,23.2,30.7,9.3,13.9,67.0,8.9,24.1,33.0,12.7,5.7,2.5,11.2,14.3
15,Army Black Knights,32.0,64.3,22.9,53.5,42.9,6.9,21.2,32.5,11.6,16.4,70.3,8.2,25.5,33.7,12.9,7.0,3.0,10.8,14.9
16,Louisiana Tech Bulldogs,32.0,64.5,22.4,57.3,39.1,6.9,20.8,33.3,12.8,18.1,71.0,10.5,22.4,32.9,10.2,6.9,3.0,12.7,18.4
17,St. Thomas-Minnesota Tommies,33.0,64.8,23.5,52.7,44.7,6.8,20.7,33.0,10.9,15.2,72.2,7.8,23.3,31.0,11.6,4.9,2.4,12.0,16.1
