Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Iona Gaels,33.0,82.9,30.9,61.6,50.2,7.7,19.9,38.7,13.3,18.7,71.3,10.7,24.1,34.8,19.3,7.3,2.2,12.5,16.9
2,Long Island University Sharks,34.0,81.4,27.1,57.1,47.4,6.6,17.8,37.1,20.7,28.4,73.0,11.6,26.4,38.1,14.7,6.1,3.3,16.1,15.6
3,North Carolina Tar Heels,37.0,81.3,29.9,64.9,46.0,5.1,15.1,33.8,16.4,24.3,67.7,15.4,29.8,45.2,17.5,6.8,5.9,12.1,14.5
4,Belmont Bruins,35.0,80.9,27.9,57.9,48.1,8.8,23.3,37.8,16.3,22.2,73.5,11.5,24.5,36.0,17.3,7.3,2.2,12.3,17.9
5,UNC Asheville Bulldogs,34.0,80.7,27.1,56.1,48.2,6.6,18.5,35.5,20.1,26.3,76.4,11.1,23.6,34.6,16.6,8.3,2.6,13.4,18.0
6,Missouri Tigers,35.0,80.4,28.0,55.6,50.4,8.4,21.1,39.8,16.0,20.9,76.6,9.1,22.9,32.0,16.2,8.1,2.8,10.2,14.3
7,Oakland Golden Grizzlies,36.0,79.9,26.3,58.4,45.0,9.3,24.9,37.4,17.9,24.4,73.7,11.0,22.8,33.8,13.2,6.4,2.1,11.9,18.2
8,VMI Keydets,33.0,79.7,27.0,60.8,44.5,8.6,26.9,31.9,17.1,23.8,71.9,10.2,22.5,32.7,13.3,8.3,3.8,13.3,18.7
9,Creighton Bluejays,35.0,79.2,27.9,55.3,50.4,8.2,19.3,42.4,15.3,21.1,72.6,9.4,26.5,36.0,17.6,4.8,2.3,12.0,16.9
10,Oregon State Beavers,36.0,78.9,27.6,58.1,47.5,6.1,17.1,35.9,17.5,25.9,67.7,11.7,23.1,34.8,15.8,9.1,4.6,14.1,18.7
11,New Mexico State Aggies,36.0,78.1,26.9,56.8,47.4,4.6,14.0,32.7,19.6,29.4,66.8,14.4,25.4,39.8,13.8,6.8,4.3,14.8,17.5
12,Cal State Fullerton Titans,31.0,78.0,26.9,56.9,47.2,8.6,21.3,40.4,15.6,22.5,69.4,12.4,25.1,37.5,15.0,5.6,2.7,15.4,19.5
13,BYU Cougars,35.0,77.9,27.9,60.0,46.5,6.7,19.4,34.3,15.4,22.0,70.0,10.9,27.6,38.5,17.1,8.5,4.4,13.5,18.2
14,Davidson Wildcats,33.0,77.9,26.6,59.7,44.6,7.7,23.0,33.6,16.9,22.2,76.2,12.6,26.3,38.8,13.8,5.6,3.5,11.8,20.4
15,Kentucky Wildcats,39.0,77.7,27.5,56.0,49.1,5.6,14.5,38.6,17.1,23.6,72.5,12.1,26.8,38.9,13.3,6.1,8.6,11.4,14.6
16,Duke Blue Devils,34.0,77.3,25.7,56.3,45.6,8.1,21.7,37.1,17.8,25.4,70.1,11.9,24.8,36.7,12.4,6.2,4.0,12.2,18.4
17,Weber State Wildcats,32.0,77.3,25.8,56.2,45.9,8.9,22.8,39.1,16.8,20.7,81.4,8.7,25.4,34.1,13.3,5.6,2.4,10.6,18.1
18,Indiana Hoosiers,36.0,77.3,26.4,53.6,49.2,6.4,14.8,43.1,18.2,23.8,76.3,10.6,23.8,34.4,13.5,6.5,3.2,12.9,17.6
19,Wichita State Shockers,33.0,77.1,27.6,57.3,48.2,7.0,18.8,37.1,14.9,19.9,74.8,10.9,27.1,38.0,14.7,6.3,3.9,12.2,16.8
20,Massachusetts Minutemen,37.0,76.9,27.5,63.3,43.4,7.8,22.3,34.9,14.2,21.2,67.3,13.5,26.0,39.5,15.3,8.8,4.8,14.8,20.5
21,UT Arlington Mavericks,33.0,76.9,25.5,57.1,44.7,6.9,19.6,35.4,18.9,26.9,70.3,13.3,26.0,39.3,13.4,7.9,3.7,16.1,19.2
22,Charleston Southern Buccaneers,31.0,76.9,26.9,60.2,44.7,8.4,22.0,38.0,14.6,21.2,69.0,12.7,22.9,35.6,12.8,8.1,2.6,13.4,18.1
