Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Virginia Cavaliers,30.0,52.4,19.1,51.8,36.9,6.5,22.1,29.3,7.7,11.2,68.8,7.9,22.6,30.5,9.1,6.6,2.7,11.7,13.9
2,Liberty Flames,33.0,53.4,19.2,49.8,38.5,5.5,19.4,28.4,9.5,13.8,68.9,7.0,22.5,29.5,8.5,4.7,1.8,12.1,16.2
3,San Diego State Aztecs,32.0,59.5,20.6,53.2,38.7,6.7,22.3,29.8,11.6,15.9,72.8,8.9,22.8,31.7,11.0,5.5,1.9,14.1,17.5
4,Vermont Catamounts,33.0,59.5,20.4,53.7,38.0,7.0,22.2,31.7,11.7,16.4,71.2,8.1,24.4,32.5,10.2,5.7,2.5,12.8,17.4
5,Sacramento State Hornets,30.0,59.7,21.0,50.3,41.7,4.8,14.9,32.1,13.0,17.1,76.2,8.0,23.0,31.0,10.2,5.4,2.8,14.1,16.6
6,New Mexico State Aggies,31.0,59.7,21.2,50.1,42.3,6.1,18.9,32.3,11.2,15.3,73.1,6.5,20.7,27.2,10.0,6.1,2.0,13.8,18.3
7,Baylor Bears,30.0,60.1,21.4,53.9,39.7,5.9,18.9,31.1,11.4,16.6,68.7,10.2,23.2,33.4,11.3,5.8,4.9,15.2,18.3
8,Merrimack Warriors,31.0,60.2,21.1,50.1,42.2,4.7,15.6,30.2,13.2,18.5,71.0,10.8,26.0,36.8,12.3,5.1,3.5,17.4,15.0
9,UC Riverside Highlanders,32.0,60.6,21.6,53.5,40.4,6.2,17.6,35.2,11.2,16.3,68.5,7.3,23.0,30.3,10.7,5.6,2.7,10.8,15.7
10,Kansas Jayhawks,31.0,60.7,22.1,58.5,37.7,7.4,24.2,30.5,9.2,13.6,67.4,9.9,22.0,32.0,11.6,6.4,3.6,13.1,17.0
11,Fordham Rams,31.0,61.7,21.1,52.7,40.1,7.5,24.8,30.3,11.9,17.5,68.3,9.0,28.1,37.1,13.0,6.8,2.6,13.9,16.1
12,Butler Bulldogs,31.0,62.1,21.6,54.6,39.5,6.8,20.7,33.0,12.1,16.9,71.9,8.8,21.7,30.5,11.3,5.6,3.1,11.6,16.5
13,Houston Cougars,31.0,62.1,20.4,53.3,38.3,6.0,21.1,28.6,15.3,22.2,69.0,9.2,22.8,32.0,11.0,5.2,2.3,12.2,19.2
14,Wisconsin Badgers,31.0,62.2,23.1,56.4,41.0,6.1,18.3,33.1,9.8,14.3,69.0,9.0,25.5,34.5,11.1,5.0,3.0,10.9,16.7
15,Southern Illinois Salukis,32.0,62.2,23.5,54.7,42.9,6.0,19.1,31.5,9.3,13.4,69.2,10.1,25.2,35.3,12.5,6.4,3.3,13.6,16.2
16,West Virginia Mountaineers,31.0,62.4,21.1,54.1,39.1,5.8,20.3,28.8,14.3,20.0,71.5,9.7,22.7,32.4,10.1,7.3,3.4,15.6,21.5
17,Stanford Cardinal,32.0,62.5,22.1,55.2,40.1,6.1,20.6,29.6,12.2,17.5,69.7,9.9,24.3,34.1,10.1,6.3,3.9,15.5,17.5
18,Ball State Cardinals,31.0,62.5,22.8,57.0,40.1,5.9,19.1,30.7,11.0,16.0,68.5,8.9,25.8,34.7,9.8,6.4,2.6,13.6,16.4
19,Purdue Boilermakers,31.0,62.6,21.8,53.6,40.7,6.9,22.5,30.5,12.2,17.1,71.1,9.0,23.7,32.7,12.9,5.2,3.7,13.5,16.5
20,Rutgers Scarlet Knights,31.0,62.6,22.0,57.4,38.3,7.4,23.6,31.1,11.4,15.9,71.3,9.7,24.6,34.3,12.1,5.4,3.7,13.0,17.1
21,South Florida Bulls,31.0,62.7,22.1,49.9,44.3,6.7,20.0,33.4,11.8,17.2,68.4,7.6,23.7,31.3,11.3,6.6,3.2,15.3,17.9
22,Loyola Chicago Ramblers,32.0,62.7,23.1,52.4,44.1,8.3,22.7,36.8,8.2,12.3,66.8,7.4,23.0,30.4,12.5,6.2,3.6,15.7,17.8
23,Northern Colorado Bears,31.0,62.7,24.7,56.0,44.2,3.6,13.0,28.0,9.6,13.8,69.5,7.6,24.6,32.2,8.1,4.6,2.9,11.2,15.2
24,Fairfield Stags,32.0,62.9,22.2,52.9,41.9,6.8,19.4,35.0,11.8,16.4,71.5,8.5,23.7,32.2,11.4,6.1,3.1,12.5,18.2
25,Ohio State Buckeyes,31.0,62.9,22.2,55.9,39.7,7.2,22.1,32.7,11.3,16.4,69.1,9.2,22.4,31.5,10.9,5.0,3.1,12.2,18.6
26,East Tennessee State Buccaneers,34.0,63.1,22.5,53.0,42.5,6.1,20.4,30.1,12.0,17.1,70.1,8.6,22.4,31.0,10.4,6.0,2.9,15.7,19.4
27,UNC Greensboro Spartans,32.0,63.1,21.8,51.8,42.2,7.1,20.7,34.1,12.4,18.4,67.2,8.7,25.4,34.0,10.9,5.8,2.5,18.0,16.5
28,Texas Longhorns,31.0,63.3,22.9,54.1,42.4,4.9,15.2,32.2,12.6,19.1,66.0,10.9,24.7,35.6,10.0,6.4,3.1,13.8,14.2
29,North Texas Mean Green,31.0,63.3,21.6,51.2,42.3,6.5,18.6,34.8,13.5,19.5,69.1,9.0,20.3,29.3,10.2,7.1,3.2,13.7,16.7
30,Tulsa Golden Hurricane,31.0,63.5,22.3,56.0,39.8,7.7,25.8,29.9,11.3,15.8,71.3,10.0,24.3,34.3,11.9,7.2,3.5,14.7,19.0
31,Texas Tech Red Raiders,31.0,63.5,22.1,54.3,40.7,6.0,19.4,31.0,13.3,19.2,69.4,10.1,23.3,33.4,9.8,6.3,3.2,16.0,19.2
32,Louisiana Tech Bulldogs,30.0,63.7,22.2,55.9,39.8,6.9,22.2,31.2,12.3,17.5,70.2,10.2,24.1,34.2,11.1,5.0,3.1,14.8,16.4
33,Louisville Cardinals,31.0,63.7,22.3,57.2,38.9,7.1,23.5,30.1,12.1,16.6,73.0,9.3,23.0,32.3,10.5,6.0,3.2,11.8,17.1
34,Wichita State Shockers,31.0,63.8,21.6,55.3,39.1,5.9,19.5,30.2,14.7,21.2,69.6,8.6,25.9,34.6,10.1,6.2,4.0,14.3,18.5
35,Eastern Michigan Eagles,32.0,64.1,22.2,54.0,41.1,8.8,25.6,34.3,10.9,15.9,68.6,10.5,25.3,35.9,14.2,6.4,2.6,16.8,18.8
36,Utah State Aggies,34.0,64.1,22.9,58.4,39.2,7.8,24.7,31.4,10.6,15.1,69.7,8.2,23.1,31.3,11.1,6.7,3.2,12.4,19.2
37,Saint Peter's Peacocks,30.0,64.1,21.3,52.8,40.3,6.1,19.0,32.1,15.5,21.5,71.8,9.4,22.6,32.0,11.5,7.7,4.8,15.1,18.1
38,Clemson Tigers,31.0,64.1,22.5,54.7,41.1,7.9,24.2,32.6,11.2,15.7,71.5,8.4,26.4,34.7,11.6,6.6,2.5,13.5,16.1
39,Navy Midshipmen,30.0,64.1,23.1,53.0,43.5,7.4,21.7,33.9,10.6,15.7,67.9,8.2,23.4,31.6,13.0,5.9,4.2,11.5,16.8
40,Tennessee Volunteers,31.0,64.2,22.1,55.0,40.2,6.3,19.0,33.1,13.7,19.4,70.6,10.5,22.9,33.4,9.9,7.6,3.0,13.0,19.5
41,Manhattan Jaspers,31.0,64.2,21.2,50.8,41.8,5.8,16.8,34.5,16.0,23.4,68.3,10.0,25.7,35.7,12.1,6.4,3.0,14.8,18.9
42,Colorado Buffaloes,32.0,64.3,23.7,57.2,41.4,6.3,18.4,34.2,10.6,14.9,71.1,8.3,23.3,31.6,11.0,7.3,2.9,13.2,18.7
43,Texas State Bobcats,32.0,64.3,21.7,53.6,40.5,6.3,19.9,31.8,14.6,20.4,71.6,10.3,23.0,33.3,10.9,5.1,3.2,14.7,18.4
44,Northern Illinois Huskies,31.0,64.5,22.3,55.5,40.2,7.4,24.2,30.5,12.5,17.3,72.3,8.6,25.7,34.3,11.5,4.9,3.2,11.5,16.5
45,Maryland Terrapins,31.0,64.5,23.6,59.1,39.9,7.3,22.5,32.5,10.0,14.3,69.8,9.6,24.4,34.0,12.9,5.5,3.5,11.7,19.0
46,Pacific Tigers,33.0,64.5,21.5,51.8,41.6,6.3,18.7,33.9,15.1,21.3,70.6,6.3,21.7,28.0,8.9,5.3,2.5,12.3,18.5
47,Dayton Flyers,31.0,64.5,23.5,57.1,41.1,6.3,19.0,33.0,11.4,17.6,64.4,9.8,21.8,31.6,11.1,5.4,2.7,12.9,18.0
48,Murray State Racers,32.0,64.7,22.9,57.3,40.0,6.5,20.8,31.1,12.3,17.9,68.8,8.8,22.8,31.7,10.5,6.0,3.6,12.9,18.8
49,Northern Iowa Panthers,31.0,64.7,24.0,57.4,41.8,7.2,21.6,33.3,9.6,14.0,68.4,8.0,22.4,30.4,10.5,6.7,2.4,10.4,15.2
