Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Virginia Cavaliers,38.0,56.1,20.2,52.5,38.5,6.4,22.3,28.9,9.2,13.8,66.6,8.7,21.0,29.7,8.8,5.0,2.7,10.6,15.6
2,Michigan Wolverines,36.0,58.1,22.3,56.1,39.7,4.8,16.7,28.7,8.9,13.4,66.0,8.8,25.4,34.2,10.1,4.0,3.2,11.8,15.2
3,Texas Tech Red Raiders,38.0,59.5,19.8,53.3,37.0,6.4,21.5,29.8,13.6,19.6,69.4,10.2,22.6,32.8,9.8,6.2,2.5,15.4,18.6
4,Kansas State Wildcats,34.0,59.6,21.1,50.8,41.5,6.9,21.8,31.4,10.5,15.6,67.4,8.2,23.9,32.1,11.5,6.3,2.8,14.8,16.5
5,Loyola Chicago Ramblers,34.0,60.8,22.5,51.4,43.7,7.3,20.1,36.3,8.5,12.0,70.9,6.6,22.6,29.2,11.6,5.7,4.1,13.2,15.4
6,Houston Cougars,36.0,60.8,20.2,55.1,36.6,6.3,22.8,27.7,14.1,20.4,69.2,9.9,23.4,33.3,10.2,5.4,2.2,12.3,17.3
7,Old Dominion Monarchs,35.0,60.9,21.1,53.9,39.1,7.1,21.9,32.4,11.7,17.5,66.7,8.9,25.4,34.3,11.1,4.8,2.5,12.1,16.4
8,Liberty Flames,36.0,61.4,21.9,52.6,41.7,6.4,19.8,32.4,11.1,16.3,67.7,8.4,22.3,30.7,10.1,5.4,2.7,13.4,15.6
9,Wisconsin Badgers,34.0,61.7,22.8,57.4,39.7,6.3,20.1,31.5,9.9,14.8,66.8,9.6,25.8,35.5,10.4,5.2,4.1,11.4,17.4
10,VCU Rams,33.0,61.9,21.4,55.2,38.7,5.2,18.3,28.5,13.9,20.2,69.0,11.4,24.3,35.7,10.8,6.4,2.6,16.2,19.4
11,Virginia Tech Hokies,35.0,62.1,21.7,53.0,40.8,8.7,26.5,32.7,10.1,14.0,72.2,8.8,21.4,30.2,12.2,5.0,3.1,14.0,16.4
12,Oregon Ducks,38.0,62.2,21.2,53.3,39.8,7.0,24.2,29.0,12.7,18.1,70.2,9.9,22.9,32.8,11.7,5.2,2.7,13.7,16.6
13,Loyola Marymount Lions,34.0,62.5,21.0,50.1,42.0,6.8,21.4,31.6,13.7,17.9,76.2,8.2,21.4,29.6,13.8,5.8,3.6,14.4,18.5
14,Manhattan Jaspers,32.0,62.8,20.3,46.8,43.4,7.1,19.6,36.2,15.1,21.3,70.9,9.0,23.3,32.3,12.1,6.3,3.6,14.8,17.6
15,Cincinnati Bearcats,34.0,62.9,22.0,53.1,41.3,8.1,22.6,36.0,10.8,16.2,66.5,9.4,21.6,31.0,11.2,3.9,3.6,13.8,18.8
16,North Texas Mean Green,33.0,62.9,21.8,53.5,40.7,6.2,19.8,31.3,13.2,19.8,66.8,9.0,24.2,33.2,10.7,6.5,4.0,13.7,16.1
17,Vermont Catamounts,34.0,63.0,22.6,53.9,41.9,7.1,20.4,34.6,10.8,14.8,73.1,7.4,23.5,30.9,10.4,5.5,2.8,12.9,19.3
18,St. Bonaventure Bonnies,33.0,63.3,22.1,54.7,40.3,7.7,23.6,32.7,11.5,17.3,66.3,9.9,23.9,33.8,11.3,5.8,2.7,13.3,16.1
19,Abilene Christian Wildcats,34.0,63.6,22.1,51.1,43.4,5.6,17.0,33.0,13.6,18.9,72.2,8.9,22.9,31.8,10.5,5.6,2.7,16.5,18.1
20,Florida Gators,36.0,63.6,22.4,53.2,42.1,6.4,20.3,31.6,12.4,17.9,69.3,10.9,23.6,34.5,10.8,6.1,2.9,14.6,17.1
21,UC Irvine Anteaters,37.0,63.6,21.9,57.2,38.2,6.5,19.3,33.7,13.4,18.9,70.8,10.4,22.6,33.0,9.6,5.2,2.8,11.3,16.9
22,Akron Zips,33.0,63.8,23.0,58.2,39.6,6.5,22.2,29.3,11.3,17.2,65.4,11.3,27.8,39.1,10.4,5.7,2.7,13.2,17.5
23,Clemson Tigers,34.0,63.9,22.2,54.6,40.7,7.6,21.6,35.0,12.0,16.4,73.1,8.6,23.6,32.1,9.9,5.6,2.9,13.3,17.1
24,UMBC Retrievers,34.0,64.0,21.8,52.2,41.8,8.5,25.7,33.1,11.9,16.6,71.4,8.0,25.3,33.3,11.8,5.7,2.6,15.6,17.8
25,Saint Louis Billikens,35.0,64.1,22.3,54.1,41.2,6.4,20.4,31.3,13.2,18.3,72.1,8.6,24.3,32.9,12.2,6.1,3.8,12.9,18.8
26,Saint Mary's Gaels,34.0,64.3,23.6,53.9,43.8,5.5,17.1,32.1,11.6,15.7,73.6,7.4,21.8,29.2,10.2,4.9,3.4,10.5,15.8
27,UCF Knights,33.0,64.5,23.2,58.7,39.4,7.1,22.5,31.3,11.1,17.1,65.0,11.4,23.2,34.6,12.4,5.8,2.8,12.2,21.2
28,New Mexico State Aggies,35.0,64.5,22.5,53.8,41.9,7.2,21.6,33.4,12.3,17.5,70.2,6.8,21.8,28.7,8.9,4.9,1.9,13.1,20.4
29,Kentucky Wildcats,37.0,64.7,23.1,57.7,40.0,7.6,22.3,34.3,10.9,15.5,70.5,9.2,20.0,29.2,11.1,5.8,3.0,12.1,19.6
30,Washington Huskies,36.0,64.8,22.6,54.4,41.6,6.4,19.2,33.4,13.1,18.5,71.0,11.8,22.8,34.6,13.3,6.0,2.5,16.3,18.3
31,Texas State Bobcats,34.0,64.8,21.8,52.8,41.2,6.4,20.8,30.9,14.9,20.6,72.4,8.3,23.6,31.9,10.6,6.3,3.9,14.7,18.6
32,Gonzaga Bulldogs,37.0,64.9,23.7,61.0,38.9,6.5,21.3,30.4,11.0,15.8,69.7,10.6,21.6,32.2,9.8,5.4,2.3,13.5,18.5
33,Northwestern Wildcats,32.0,65.1,23.2,55.3,42.0,5.2,17.7,29.3,13.4,18.8,71.4,9.0,27.3,36.3,13.1,5.8,3.3,12.0,17.1
34,Michigan State Spartans,38.0,65.1,23.3,61.2,38.0,7.2,22.6,31.6,11.4,16.9,67.6,10.8,20.9,31.8,11.9,6.3,2.9,10.3,18.0
35,Bradley Braves,35.0,65.3,22.3,54.1,41.2,7.0,21.5,32.7,13.7,19.0,72.4,9.1,24.2,33.2,11.9,5.6,2.6,12.4,18.5
36,Southern Miss Golden Eagles,33.0,65.4,22.9,56.9,40.3,9.0,26.6,33.7,10.5,16.3,64.8,10.0,25.5,35.6,12.4,5.5,2.8,13.2,14.5
37,Maryland Terrapins,34.0,65.5,23.4,59.0,39.7,7.4,23.2,31.9,11.4,15.7,72.3,9.3,21.6,30.9,12.1,6.9,3.5,9.4,17.5
38,Davidson Wildcats,34.0,65.6,22.9,56.0,40.8,8.1,24.6,32.9,11.7,16.5,70.9,8.7,24.9,33.6,12.5,5.1,2.2,11.1,16.6
39,Wofford Terriers,35.0,65.6,23.4,55.0,42.5,7.1,22.1,32.1,11.7,16.7,70.3,7.9,21.4,29.3,11.3,5.5,2.5,13.7,15.5
40,Northern Iowa Panthers,34.0,65.6,23.3,53.0,44.0,6.9,20.3,33.7,12.1,16.8,72.0,7.3,25.5,32.8,11.4,6.5,2.4,12.1,16.1
41,Jackson State Tigers,32.0,65.8,21.7,51.6,42.0,6.7,19.1,34.9,15.8,22.7,69.8,8.8,25.8,34.6,11.8,7.5,3.9,14.1,17.2
42,Siena Saints,33.0,66.0,24.6,53.2,46.2,6.8,19.1,35.9,10.0,14.5,68.9,8.7,24.8,33.5,10.7,4.7,2.3,11.2,14.1
43,Syracuse Orange,34.0,66.1,21.9,54.7,40.1,8.6,26.3,32.9,13.5,18.7,72.2,11.9,25.0,36.9,14.9,6.6,3.1,15.6,18.4
44,UC Santa Barbara Gauchos,32.0,66.1,23.9,56.1,42.6,6.2,20.2,30.7,12.1,17.5,68.8,9.0,22.3,31.3,11.2,4.4,3.0,11.1,18.5
45,Furman Paladins,33.0,66.1,24.8,59.1,41.9,7.2,22.7,31.6,9.4,13.8,67.9,10.7,23.7,34.3,11.5,7.1,3.3,14.4,16.0
46,Dayton Flyers,33.0,66.2,24.3,58.8,41.4,7.6,23.8,32.1,9.8,14.0,70.5,10.1,21.9,32.0,12.6,5.3,2.9,11.2,16.3
47,Ohio State Buckeyes,35.0,66.2,23.3,55.1,42.2,6.7,20.6,32.7,13.0,17.5,74.1,8.9,24.6,33.5,11.7,6.2,3.1,12.2,18.6
48,Valparaiso Beacons,33.0,66.3,23.9,55.2,43.2,6.5,19.5,33.2,12.0,17.1,70.4,9.0,23.8,32.8,12.1,6.8,2.9,12.7,16.8
