Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Gonzaga Bulldogs,37.0,87.6,31.8,60.5,52.6,7.8,21.4,36.3,16.3,21.4,76.1,9.9,29.1,39.0,18.1,7.5,5.5,10.6,16.3
2,Belmont Bruins,33.0,86.9,31.6,63.5,49.8,10.4,27.9,37.2,13.4,18.1,73.7,8.8,29.8,38.6,19.5,6.7,3.8,11.4,15.4
3,North Carolina Tar Heels,36.0,85.8,31.1,66.9,46.4,8.7,23.9,36.2,15.0,20.2,74.3,13.3,30.5,43.8,18.8,7.0,3.3,13.1,17.0
4,The Citadel Bulldogs,30.0,85.1,30.0,67.0,44.7,12.3,35.9,34.4,12.8,17.4,73.6,10.7,26.1,36.8,15.4,6.7,3.7,12.9,17.6
5,South Dakota State Jackrabbits,33.0,84.5,29.8,59.5,50.1,9.9,24.3,40.8,15.0,19.2,77.8,7.6,30.5,38.2,14.8,6.1,2.0,11.8,16.9
6,Buffalo Bulls,36.0,84.4,30.1,65.2,46.2,9.6,28.4,33.6,14.6,21.3,68.7,12.7,28.2,40.9,16.6,7.3,3.9,11.9,18.3
7,Hofstra Pride,35.0,83.4,28.5,58.7,48.6,8.8,22.9,38.5,17.6,21.9,80.2,8.7,24.6,33.4,14.1,6.5,3.5,9.8,15.0
8,Winthrop Eagles,30.0,83.3,28.5,62.6,45.5,12.4,33.2,37.3,13.9,18.8,73.8,11.0,30.0,41.0,15.3,4.5,2.8,15.2,17.8
9,Lipscomb Bisons,37.0,83.1,28.9,60.3,48.0,8.8,23.7,37.3,16.4,21.6,75.8,9.0,28.2,37.2,17.7,7.2,2.9,13.2,17.1
10,Central Michigan Chippewas,35.0,82.7,28.3,62.2,45.5,8.7,23.5,37.1,17.4,25.9,67.1,12.1,25.7,37.7,13.3,7.6,3.1,12.1,16.9
