Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Long Beach State Beach,30.0,83.3,29.2,64.1,45.6,8.5,24.0,35.5,16.3,23.3,70.2,12.9,23.6,36.5,13.6,7.4,3.4,14.7,18.8
2,Campbell Fighting Camels,28.0,82.8,28.8,65.6,43.9,9.9,28.1,35.1,15.3,24.0,63.9,15.8,23.5,39.2,17.0,7.4,2.6,18.2,21.3
3,Texas A&M-Corpus Christi Islanders,28.0,82.4,29.9,59.7,50.1,6.7,17.4,38.3,15.9,22.5,70.9,12.2,25.9,38.1,19.6,9.7,4.2,17.2,21.0
4,Washington Huskies,33.0,82.0,29.8,63.2,47.1,6.7,18.2,36.5,15.8,21.1,74.9,14.4,22.9,37.3,16.0,8.3,3.5,14.7,19.2
5,UConn Huskies,34.0,81.8,29.1,61.4,47.3,5.5,15.1,36.6,18.1,25.7,70.6,15.7,28.1,43.8,15.9,6.6,8.8,14.4,15.5
6,East Tennessee State Buccaneers,28.0,81.6,30.8,65.3,47.2,5.8,17.7,32.9,14.2,22.0,64.4,14.6,24.2,38.8,12.2,10.3,2.7,16.7,17.5
7,Duke Blue Devils,36.0,81.1,27.2,55.9,48.7,7.6,19.7,38.6,19.1,25.1,76.1,9.7,23.7,33.4,15.2,9.4,5.6,13.8,17.3
8,Belmont Bruins,31.0,80.6,28.9,58.7,49.3,8.4,22.3,37.7,14.3,20.7,69.1,11.7,23.7,35.5,16.7,7.7,3.5,16.2,19.7
9,Tennessee Volunteers,30.0,80.4,28.6,61.7,46.4,8.8,22.8,38.7,14.4,20.5,70.1,11.7,21.8,33.5,17.0,10.0,3.3,12.9,18.0
10,Lamar Cardinals,31.0,80.2,28.7,63.1,45.4,6.9,20.3,34.0,16.0,24.6,64.8,13.2,25.6,38.8,16.0,7.7,5.1,14.3,19.2
11,Gonzaga Bulldogs,33.0,80.1,27.2,56.9,47.7,5.5,15.2,36.4,20.2,25.8,78.2,12.5,25.1,37.5,13.9,7.1,2.8,13.2,18.9
12,Memphis Tigers,37.0,80.0,27.9,61.9,45.1,7.5,21.2,35.4,16.6,24.4,68.2,15.4,25.9,41.3,15.3,9.8,6.4,15.5,20.4
13,Iona Gaels,31.0,79.8,28.4,59.2,48.0,6.3,15.7,40.2,16.7,24.1,69.1,13.3,23.5,36.8,15.5,7.7,4.1,15.1,18.6
14,North Carolina Tar Heels,31.0,79.4,27.8,58.4,47.7,6.9,18.5,37.5,16.7,23.6,70.8,13.9,26.0,39.9,17.8,7.8,4.1,16.5,17.1
15,Cal State Fullerton Titans,29.0,79.1,29.0,62.3,46.5,7.6,19.8,38.4,13.5,20.3,66.7,13.8,25.0,38.8,14.9,7.1,2.2,15.1,18.9
16,Montana Grizzlies,31.0,79.0,28.3,57.5,49.2,7.4,19.0,38.6,15.1,21.1,71.8,11.2,24.1,35.4,18.2,7.4,3.1,13.9,18.1
17,Valparaiso Beacons,29.0,78.8,28.6,59.9,47.6,7.5,19.3,38.9,14.1,20.8,68.0,12.3,25.1,37.4,17.7,7.1,3.0,14.5,20.3
18,Idaho State Bengals,27.0,78.7,26.7,58.4,45.8,7.3,18.9,38.4,18.0,24.7,72.8,12.2,25.6,37.8,14.9,5.6,6.6,16.1,19.6
19,George Washington Revolutionaries,30.0,78.7,28.2,60.5,46.6,6.1,17.0,35.6,16.3,25.2,64.6,14.0,24.0,38.1,17.0,9.3,4.5,14.0,18.3
20,San Diego Toreros,30.0,78.5,28.3,58.9,48.1,7.6,19.1,39.7,14.4,20.8,69.2,11.4,23.7,35.1,16.0,7.4,3.7,16.8,19.7
21,Maryland Terrapins,32.0,78.3,27.3,61.0,44.8,4.8,13.0,37.3,18.8,25.7,73.1,14.3,25.4,39.8,16.0,8.1,6.0,16.5,19.5
22,Florida Gators,39.0,78.3,27.2,54.4,50.0,7.4,18.9,39.2,16.4,22.1,74.4,10.8,25.2,35.9,16.7,7.6,5.3,14.4,15.9
23,Western Kentucky Hilltoppers,31.0,77.7,27.9,58.9,47.3,8.3,21.3,38.9,13.6,19.9,68.4,15.1,22.3,37.4,13.1,7.6,3.7,17.4,19.9
24,Davidson Wildcats,31.0,77.5,27.6,60.8,45.4,8.9,24.2,36.9,13.4,17.6,76.1,12.7,26.5,39.2,18.3,4.9,1.6,12.9,18.4
25,Georgia Southern Eagles,30.0,77.5,28.3,61.9,45.8,6.9,17.6,38.9,14.0,20.2,69.3,12.4,23.4,35.8,15.4,8.9,3.8,15.6,20.7
26,Iowa State Cyclones,30.0,77.3,28.9,64.1,45.1,6.7,19.5,34.3,12.8,18.3,69.9,13.1,20.2,33.3,16.5,9.7,2.5,13.1,20.4
27,Marist Red Foxes,29.0,76.9,27.2,55.6,49.0,8.8,22.8,38.5,13.7,20.0,68.2,10.5,24.7,35.2,15.7,5.0,2.7,13.3,17.6
28,Loyola Maryland Greyhounds,28.0,76.9,27.8,61.0,45.6,8.0,22.3,35.7,13.3,19.3,68.8,13.6,22.9,36.5,14.1,7.4,2.4,15.5,19.9
29,Colorado Buffaloes,30.0,76.8,27.8,64.0,43.4,8.0,23.4,34.2,13.2,20.5,64.6,15.9,25.0,40.9,16.6,8.5,5.8,14.0,19.6
30,Manhattan Jaspers,31.0,76.8,26.8,59.1,45.4,6.7,18.8,35.6,16.4,23.9,68.6,11.9,23.3,35.2,13.1,8.2,5.5,12.9,21.0
31,Florida State Seminoles,30.0,76.7,26.9,56.0,47.9,6.1,16.3,37.6,16.9,24.0,70.4,11.3,22.7,34.0,13.6,8.7,2.4,16.1,18.8
32,North Texas Mean Green,28.0,76.6,27.3,62.6,43.6,7.3,19.9,36.8,14.7,22.2,66.2,14.5,24.2,38.8,12.6,9.5,5.0,16.0,22.0
33,Jacksonville State Gamecocks,29.0,76.6,26.9,57.8,46.5,7.7,19.9,38.9,15.1,21.7,69.6,12.1,20.7,32.8,13.8,8.3,3.3,14.1,19.2
34,Northern Arizona Lumberjacks,32.0,76.4,26.8,54.8,48.8,6.3,15.7,39.8,16.6,22.1,75.4,10.2,23.5,33.8,16.1,6.9,2.8,16.6,20.0
35,Notre Dame Fighting Irish,30.0,76.4,25.7,57.3,44.9,9.6,23.8,40.3,15.3,21.0,72.9,11.8,26.1,37.9,15.6,5.8,3.4,12.1,16.4
36,BYU Cougars,29.0,76.2,27.0,58.3,46.2,7.0,18.0,38.8,15.3,21.4,71.5,11.2,24.1,35.3,15.9,6.8,3.7,14.7,20.1
37,Sacramento State Hornets,30.0,75.8,26.7,62.2,43.0,7.3,21.1,34.5,15.0,21.2,70.9,13.2,19.9,33.1,12.5,9.8,3.8,12.6,22.5
38,Northwestern State Demons,34.0,75.7,26.9,58.3,46.1,6.6,18.1,36.7,15.3,22.9,66.6,13.5,22.5,36.0,17.3,9.2,3.3,15.7,20.5
39,High Point Panthers,29.0,75.4,27.3,59.1,46.2,6.9,19.6,35.0,13.9,20.6,67.7,11.2,23.8,35.0,14.7,8.8,3.8,16.0,20.2
40,Northeastern Huskies,30.0,75.2,27.1,59.9,45.2,7.7,22.7,33.8,13.4,18.2,73.6,11.8,25.3,37.0,16.3,6.5,8.0,13.7,15.6
41,Texas Longhorns,37.0,75.2,26.6,57.6,46.1,7.3,19.5,37.3,14.8,20.3,72.7,14.0,26.5,40.5,14.8,8.0,5.0,13.5,15.2
42,Kansas Jayhawks,33.0,75.2,27.6,58.3,47.4,6.2,16.3,38.0,13.7,20.3,67.2,13.1,26.4,39.5,17.8,9.8,5.6,15.6,18.2
43,Marquette Golden Eagles,31.0,75.0,26.8,58.8,45.5,8.5,21.4,39.7,13.0,17.7,73.2,12.2,23.7,35.9,15.5,7.6,3.0,14.8,19.3
44,Oral Roberts Golden Eagles,33.0,74.9,26.2,57.1,46.0,6.6,17.0,38.9,15.8,22.3,70.9,13.2,23.6,36.8,16.0,6.7,4.2,14.3,17.7
45,Providence Friars,27.0,74.8,26.4,57.6,45.8,5.9,16.8,35.0,16.1,23.4,68.9,13.6,22.0,35.6,13.2,7.9,4.9,15.0,17.9
46,Troy Trojans,29.0,74.7,26.6,62.1,42.9,11.9,33.1,35.9,9.6,13.7,70.2,11.3,24.3,35.7,15.7,7.9,3.3,12.6,16.0
47,Saint Peter's Peacocks,32.0,74.5,26.9,63.8,42.2,7.5,22.2,33.9,13.2,18.2,72.5,14.8,22.8,37.7,13.6,8.0,3.5,13.1,19.6
48,Sam Houston Bearkats,31.0,74.5,25.9,56.5,45.8,7.3,19.9,36.6,15.5,25.1,61.5,12.9,24.4,37.3,18.5,8.3,3.7,16.2,20.3
49,NC State Wolfpack,32.0,74.5,24.8,53.3,46.5,9.0,24.3,37.1,15.9,21.2,75.1,8.9,23.9,32.8,15.6,7.3,4.7,13.6,17.6
50,Siena Saints,28.0,74.4,24.8,58.0,42.7,7.9,21.0,37.8,17.0,22.4,75.9,10.9,22.9,33.8,13.8,8.2,2.2,13.3,15.8
51,San Diego State Aztecs,33.0,74.4,25.4,55.2,46.0,6.7,16.8,39.6,16.9,23.2,72.8,13.0,22.6,35.6,13.1,7.6,3.1,15.1,16.5
52,Cincinnati Bearcats,34.0,74.4,26.7,62.3,42.8,6.2,18.9,32.9,14.9,19.9,74.7,13.0,24.3,37.3,13.5,6.9,5.7,11.7,16.6
53,UAB Blazers,31.0,74.4,26.5,58.6,45.3,7.2,20.9,34.3,14.2,21.9,64.7,10.9,20.5,31.3,15.5,10.9,3.6,12.7,18.1
54,Clemson Tigers,32.0,74.3,26.7,61.1,43.6,7.4,23.1,32.2,13.6,22.0,61.7,14.6,22.4,37.0,14.3,11.0,4.4,15.5,19.8
55,Fairleigh Dickinson Knights,32.0,74.3,27.2,59.7,45.6,6.5,18.3,35.5,13.3,20.7,64.5,11.8,25.0,36.8,15.9,7.4,6.3,14.6,16.9
56,Pacific Tigers,32.0,74.3,26.8,55.1,48.7,6.7,17.3,38.9,13.9,18.7,74.6,10.0,25.5,35.5,16.1,5.9,2.1,13.1,15.7
57,Missouri State Bears,31.0,74.2,25.8,57.0,45.3,6.1,16.5,37.0,16.4,22.0,74.6,12.2,24.7,36.9,14.8,8.5,3.2,14.3,18.4
58,Villanova Wildcats,33.0,74.2,24.5,58.8,41.7,8.7,23.3,37.5,16.5,21.7,75.7,13.9,22.4,36.3,12.2,7.8,4.8,11.2,18.6
59,Boston College Eagles,36.0,74.2,26.4,54.4,48.5,5.9,16.3,36.1,15.6,23.1,67.5,12.9,22.5,35.5,17.8,6.2,4.5,13.1,16.3
60,Michigan State Spartans,34.0,74.1,26.4,55.3,47.7,6.0,15.9,37.8,15.4,20.0,76.9,11.0,24.7,35.6,16.7,6.3,3.0,14.1,18.4
61,Eastern Washington Eagles,30.0,74.1,26.5,54.6,48.6,5.6,15.1,36.8,15.5,22.7,68.2,11.3,21.8,33.0,15.9,6.8,4.3,15.9,19.0
62,Colorado State Rams,31.0,74.0,25.8,52.6,49.1,6.0,15.3,39.1,16.4,22.7,72.0,10.4,23.7,34.1,15.5,7.2,6.5,17.0,19.8
63,Milwaukee Panthers,31.0,74.0,25.7,59.1,43.5,6.6,19.6,33.5,16.0,23.2,69.0,14.6,23.6,38.2,12.5,7.0,2.9,13.6,19.2
64,Oakland Golden Grizzlies,29.0,73.9,25.7,57.0,45.0,6.6,19.6,33.6,16.0,23.4,68.3,14.0,22.3,36.3,12.2,7.3,2.1,15.5,17.0
