Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
157,Boston University Terriers,31.0,71.8,25.6,56.8,45.0,8.1,22.9,35.4,12.5,17.2,72.8,9.8,23.8,33.6,13.3,6.4,3.0,13.8,17.5
158,Princeton Tigers,29.0,71.8,25.4,56.7,44.9,7.5,21.2,35.5,13.4,18.0,74.7,8.0,26.0,34.0,11.4,5.3,3.1,11.6,17.2
159,Florida Gulf Coast Eagles,35.0,71.9,25.3,59.8,42.3,7.6,23.4,32.6,13.7,20.3,67.4,10.2,22.7,32.9,12.9,7.0,2.7,14.1,17.7
160,Kansas Jayhawks,39.0,71.9,26.4,62.0,42.6,8.1,24.3,33.3,10.9,15.3,71.3,11.7,23.5,35.2,12.8,5.5,3.5,12.8,16.8
161,Central Connecticut Blue Devils,32.0,71.9,25.5,58.2,43.8,8.6,23.7,36.4,12.3,17.5,70.0,10.0,22.2,32.2,13.3,6.8,2.4,11.3,17.6
162,Mount St. Mary's Mountaineers,32.0,71.9,26.3,58.4,45.0,7.6,21.9,34.7,11.7,15.9,73.5,11.9,25.8,37.6,13.6,5.8,2.4,13.7,16.7
163,Austin Peay Governors,34.0,71.9,24.9,53.6,46.4,7.1,19.4,36.3,15.2,21.2,71.6,9.1,23.5,32.6,12.0,5.9,3.8,16.1,21.2
164,Eastern Washington Eagles,35.0,72.0,25.3,56.7,44.6,6.9,19.2,35.8,14.6,20.3,71.9,8.4,25.3,33.8,13.3,5.5,2.2,11.8,17.0
165,Southern Miss Golden Eagles,34.0,72.0,25.3,54.8,46.1,9.1,24.9,36.7,12.4,17.5,70.7,9.0,26.8,35.8,14.1,4.3,2.5,14.0,15.4
166,Gardner-Webb Runnin' Bulldogs,32.0,72.1,24.9,57.5,43.4,8.0,23.5,34.0,14.2,20.0,71.2,9.2,25.4,34.7,14.5,7.0,3.4,12.6,15.2
167,UIC Flames,36.0,72.1,25.5,62.9,40.6,6.8,21.3,32.0,14.3,20.7,69.1,12.1,25.0,37.1,15.1,7.2,3.9,12.9,18.7
168,Sacred Heart Pioneers,31.0,72.2,25.6,58.3,44.0,7.8,23.2,33.8,13.1,19.1,68.5,8.1,24.3,32.4,12.1,6.7,3.4,10.5,17.3
169,Virginia Tech Hokies,33.0,72.2,25.6,59.5,43.0,8.8,25.5,34.7,12.2,17.5,69.7,10.5,23.7,34.2,13.9,5.3,3.8,13.1,17.3
170,Saint Joseph's Hawks,32.0,72.2,26.0,61.9,42.0,9.5,28.3,33.7,10.8,15.2,70.6,9.2,29.4,38.6,15.2,4.8,3.6,11.7,18.2
171,Tennessee Tech Golden Eagles,33.0,72.4,25.4,58.1,43.7,7.4,22.6,32.5,14.2,20.5,69.5,10.6,26.0,36.6,13.5,6.0,3.9,15.0,19.2
172,Pittsburgh Panthers,32.0,72.4,26.0,59.2,43.9,7.3,22.0,33.4,13.1,18.5,70.8,12.2,25.5,37.7,15.1,6.7,4.2,10.3,16.1
173,Pacific Tigers,32.0,72.4,24.9,55.0,45.3,8.0,22.1,36.4,14.5,19.3,74.8,9.0,23.8,32.8,14.3,5.0,2.8,12.3,19.8
174,Air Force Falcons,31.0,72.4,25.2,54.4,46.3,9.3,23.4,39.7,12.7,17.8,71.2,8.9,25.6,34.5,14.4,5.6,3.4,14.1,18.8
175,Oregon Ducks,36.0,72.4,24.5,56.5,43.3,7.9,22.3,35.6,15.5,20.5,75.7,9.0,23.0,32.1,12.5,5.3,3.0,13.4,18.4
176,Utah State Aggies,34.0,72.5,25.5,56.8,44.9,7.7,21.4,36.0,13.8,18.6,74.3,8.8,24.8,33.6,13.3,6.4,2.9,12.1,17.9
