Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,VMI Keydets,35.0,88.3,31.1,69.7,44.6,8.9,27.5,32.5,17.1,24.1,71.3,14.4,27.1,41.5,14.0,7.3,6.2,10.6,18.9
2,Northwestern State Demons,31.0,86.6,30.9,65.7,47.0,5.7,17.0,33.4,19.2,25.9,74.1,12.7,25.5,38.2,16.5,8.7,5.3,13.5,20.5
3,BYU Cougars,35.0,83.7,28.9,62.5,46.3,5.1,14.2,35.5,20.9,30.1,69.2,13.2,27.7,40.9,15.5,7.2,2.9,11.3,19.7
4,Iona Gaels,33.0,83.6,28.7,58.9,48.7,10.2,25.8,39.6,16.0,22.4,71.4,8.7,24.4,33.2,17.5,6.6,3.7,10.6,17.7
5,Iowa State Cyclones,36.0,83.0,29.5,62.2,47.4,8.4,23.3,35.8,15.7,22.6,69.3,10.4,28.1,38.5,18.4,5.9,2.9,10.6,17.3
6,Southeast Missouri State Redhawks,32.0,82.9,30.0,60.1,49.9,6.8,19.0,35.9,16.1,23.2,69.2,11.3,26.0,37.2,16.7,7.1,4.3,13.1,20.0
7,Incarnate Word Cardinals,27.0,82.1,28.6,58.6,48.8,7.5,19.3,38.9,17.4,25.5,68.4,11.1,28.5,39.6,15.8,6.6,4.3,13.9,17.8
8,Oklahoma Sooners,33.0,81.9,27.5,61.6,44.7,8.6,22.8,37.9,18.2,24.3,74.9,12.1,25.6,37.6,14.6,6.8,3.3,11.4,18.9
9,Oregon Ducks,34.0,81.9,27.3,58.1,46.9,7.6,19.6,38.9,19.6,25.4,77.2,10.5,23.6,34.1,14.5,7.7,3.3,11.4,21.3
10,Iowa Hawkeyes,33.0,81.5,27.8,60.1,46.3,5.8,16.5,35.0,20.0,27.2,73.5,13.5,26.8,40.4,16.1,7.1,5.0,11.2,18.2
11,Charleston Southern Buccaneers,31.0,81.4,27.7,60.5,45.8,9.7,25.5,38.3,16.2,22.2,73.0,11.8,25.6,37.5,13.7,6.5,2.8,10.8,18.2
12,UCLA Bruins,37.0,81.2,29.0,59.4,48.9,6.2,16.3,38.0,17.0,22.7,74.9,9.9,25.4,35.4,17.2,9.2,3.0,10.2,17.6
