Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Loyola Chicago Ramblers,31.0,56.1,21.2,51.3,41.3,5.5,16.8,32.6,8.2,11.5,71.3,6.5,21.0,27.5,9.6,5.1,2.7,13.8,16.4
2,Houston Cougars,32.0,58.2,19.4,51.3,37.8,5.7,19.5,29.0,13.8,20.8,66.2,9.8,21.8,31.6,10.4,4.9,2.5,14.1,17.5
3,Liberty Flames,29.0,60.0,21.9,53.4,40.9,5.9,19.1,30.8,10.3,15.0,69.0,7.4,22.4,29.9,9.1,5.4,2.2,11.8,14.0
4,UAB Blazers,29.0,60.3,21.8,54.0,40.4,6.2,19.6,31.8,10.4,15.0,69.4,8.7,25.6,34.3,10.7,4.2,3.6,16.5,16.5
5,Abilene Christian Wildcats,29.0,60.4,20.7,51.3,40.4,5.6,17.9,31.0,13.4,19.8,68.1,9.1,24.9,34.0,10.3,6.5,3.8,19.9,20.2
6,Virginia Cavaliers,25.0,60.5,22.0,52.9,41.6,6.7,19.8,33.9,9.8,13.1,74.9,7.3,22.2,29.5,11.6,5.0,2.3,9.3,12.2
7,St. Bonaventure Bonnies,21.0,61.1,21.6,55.5,38.9,7.3,23.9,30.7,10.5,15.9,66.2,10.5,23.2,33.7,12.3,4.9,3.2,12.5,15.6
8,San Diego State Aztecs,28.0,61.2,20.5,52.2,39.2,8.0,23.9,33.6,12.2,16.6,73.5,8.2,23.8,32.0,12.5,4.5,2.9,15.0,18.4
9,Saint Peter's Peacocks,25.0,61.5,20.4,52.9,38.6,6.6,19.8,33.6,14.0,20.9,66.7,10.0,25.2,35.2,11.2,6.7,4.1,15.3,17.4
10,Idaho State Bengals,24.0,61.7,21.8,54.0,40.4,5.8,17.0,34.2,12.2,17.8,68.5,8.5,21.4,29.8,9.8,7.2,1.9,12.7,20.7
11,Texas State Bobcats,25.0,61.7,21.5,51.0,42.2,7.2,20.5,34.9,11.6,16.6,69.7,8.1,21.6,29.8,11.3,5.9,2.9,15.0,16.2
12,Clemson Tigers,24.0,61.9,22.0,52.7,41.8,7.2,21.6,33.4,10.6,15.3,69.7,8.8,24.0,32.8,11.2,6.5,3.1,14.1,15.3
13,Grand Canyon Lopes,24.0,62.1,21.7,56.7,38.3,7.0,23.8,29.5,11.7,16.5,70.8,8.7,21.7,30.3,10.0,5.7,2.1,11.6,18.0
14,Mount St. Mary's Mountaineers,23.0,62.2,22.9,56.5,40.5,5.6,18.3,30.6,10.9,14.1,76.9,8.8,23.3,32.2,9.4,6.6,2.8,10.3,17.5
15,Tarleton State Texans,20.0,62.3,19.9,49.3,40.4,7.9,22.8,34.5,14.7,20.5,71.6,9.8,23.8,33.6,14.1,3.5,3.8,19.5,18.7
16,North Texas Mean Green,28.0,62.3,22.1,53.6,41.2,6.4,19.0,33.4,11.8,16.3,72.3,9.2,21.7,30.9,9.5,6.3,2.9,13.8,15.1
17,Utah State Aggies,29.0,62.3,22.1,56.6,39.0,7.6,22.9,33.3,10.6,14.3,74.2,7.7,22.7,30.4,11.5,6.6,3.6,13.7,17.8
18,Kansas City Roos,24.0,62.6,20.2,46.6,43.3,5.7,17.4,32.5,16.6,24.0,69.0,7.3,22.7,30.0,10.8,5.3,3.1,15.8,16.3
19,Saint Mary's Gaels,24.0,62.6,23.3,54.0,43.0,5.2,14.6,35.3,11.0,15.2,72.3,7.1,24.4,31.5,8.9,5.3,3.4,12.1,15.8
20,Memphis Tigers,28.0,62.7,21.6,55.6,38.9,6.1,21.9,27.7,13.4,19.6,68.1,8.7,24.0,32.7,11.0,6.1,3.1,15.8,17.3
21,UC Santa Barbara Gauchos,27.0,62.8,23.1,54.8,42.1,5.8,17.6,33.1,10.9,14.6,74.6,7.7,22.0,29.7,10.7,4.6,2.1,13.8,17.7
22,Jackson State Tigers,18.0,62.8,21.4,54.3,39.4,4.7,15.4,30.3,15.4,22.3,68.9,9.4,25.6,35.1,9.7,6.6,3.2,15.7,18.6
23,Siena Saints,17.0,63.0,23.5,57.6,40.9,5.9,18.2,32.4,10.1,14.2,70.7,9.6,23.0,32.6,9.8,6.3,2.7,11.8,18.2
24,Texas Tech Red Raiders,29.0,63.2,21.8,52.9,41.2,6.9,20.2,34.2,12.8,18.8,68.1,10.0,23.3,33.3,9.8,5.4,3.0,16.0,19.9
25,Vermont Catamounts,15.0,63.4,22.0,54.0,40.7,6.7,21.6,31.2,12.7,18.1,70.1,8.0,23.1,31.1,9.7,5.1,2.2,12.8,19.4
26,UC Irvine Anteaters,27.0,63.4,22.3,57.7,38.7,7.6,23.1,32.7,11.2,15.9,70.2,8.9,23.1,31.9,12.3,7.0,2.4,13.3,17.0
27,Tennessee Volunteers,27.0,63.5,22.2,55.3,40.1,6.8,21.0,32.5,12.3,16.9,72.8,10.1,23.9,34.0,10.3,6.5,2.7,15.7,19.3
28,Marist Red Foxes,21.0,63.6,21.9,55.9,39.2,7.3,23.8,30.9,12.5,18.0,69.3,9.4,25.2,34.6,11.9,6.8,2.8,12.1,17.6
29,UC Riverside Highlanders,22.0,63.6,23.0,57.2,40.2,6.4,20.0,31.8,11.3,16.3,69.1,8.6,24.3,32.9,10.9,4.9,2.7,11.1,14.6
30,Ole Miss Rebels,28.0,63.6,22.3,53.0,42.0,6.8,19.3,35.3,12.3,17.9,69.0,9.2,22.8,31.9,13.0,6.9,3.2,15.1,17.3
31,Colorado Buffaloes,32.0,63.8,22.9,54.5,42.1,6.4,19.1,33.3,11.6,15.8,73.0,8.6,22.0,30.6,11.2,4.8,2.9,13.2,16.5
