Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Virginia Cavaliers,34.0,51.5,18.3,49.9,36.7,5.6,18.3,30.8,9.2,14.3,64.6,8.2,20.3,28.5,9.1,5.0,2.8,10.6,16.3
2,San Diego State Aztecs,35.0,54.0,19.9,51.5,38.6,5.0,16.5,30.6,9.2,13.3,69.6,9.7,22.1,31.8,9.1,5.4,3.9,12.9,16.8
3,Kentucky Wildcats,39.0,54.3,19.2,54.3,35.4,4.5,16.6,27.1,11.4,17.2,65.9,11.9,19.3,31.2,7.7,4.7,2.4,13.7,19.9
4,Northern Iowa Panthers,35.0,54.6,19.5,49.5,39.5,6.0,18.8,32.1,9.5,13.4,71.2,8.6,19.7,28.3,9.5,4.8,2.4,11.2,18.4
5,North Carolina Central Eagles,30.0,55.5,18.4,49.5,37.1,5.0,17.1,29.1,13.8,20.4,67.9,10.5,20.3,30.8,8.6,4.8,3.1,12.3,17.7
6,Cincinnati Bearcats,34.0,55.8,20.6,53.1,38.8,5.6,17.7,31.9,9.0,13.8,65.1,11.2,19.0,30.1,11.1,5.6,2.9,12.0,17.1
7,Old Dominion Monarchs,35.0,57.1,19.2,47.9,40.0,5.8,18.7,31.2,12.9,19.6,65.8,8.7,22.3,31.0,9.7,4.7,2.7,12.9,16.9
8,Utah Utes,34.0,57.4,20.1,52.4,38.4,4.8,15.4,31.2,12.3,18.0,68.2,10.0,20.2,30.1,8.7,5.4,3.2,11.5,19.6
9,Wyoming Cowboys,33.0,57.4,20.7,50.8,40.8,6.2,17.9,34.9,9.7,13.7,70.6,8.6,21.8,30.4,10.0,5.5,2.4,10.7,18.6
10,Wichita State Shockers,34.0,57.4,19.8,49.1,40.4,5.3,14.9,35.3,12.5,17.9,69.5,8.8,22.1,30.9,8.9,4.1,3.4,13.2,18.0
11,Wisconsin Badgers,40.0,58.2,22.4,52.3,42.8,5.1,13.5,37.5,8.3,11.7,71.0,7.4,20.2,27.7,9.0,4.1,2.1,9.5,18.1
12,Harvard Crimson,28.0,58.5,20.9,50.8,41.2,5.5,16.1,34.0,11.2,16.6,67.4,9.3,21.9,31.2,10.8,5.2,3.0,12.5,17.9
13,American University Eagles,33.0,58.6,21.4,47.0,45.5,5.2,15.3,34.3,10.5,15.5,67.8,8.9,20.9,29.8,10.9,5.1,2.8,12.6,17.0
14,Oregon State Beavers,30.0,59.1,18.6,48.4,38.5,5.9,19.8,30.0,15.9,21.4,74.0,10.7,23.3,34.0,11.3,6.3,3.2,14.8,17.9
