Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,North Texas Mean Green,32.0,55.7,20.4,49.4,41.4,4.2,14.7,28.5,10.7,15.7,67.8,7.9,21.7,29.5,8.2,5.8,2.5,12.1,17.2
2,San Diego State Aztecs,32.0,58.1,20.4,53.2,38.4,6.0,20.1,30.0,11.2,16.5,68.0,9.5,23.5,33.0,10.5,5.8,3.0,14.5,17.0
3,Houston Cougars,38.0,58.8,19.6,52.7,37.1,6.5,22.5,28.8,13.1,18.3,71.7,10.0,22.0,32.0,10.8,5.9,2.3,14.2,16.9
4,Jacksonville Dolphins,31.0,59.3,20.7,52.2,39.6,6.9,23.5,29.5,11.0,15.3,72.0,7.5,21.5,29.0,10.1,5.4,3.3,11.5,14.6
5,Fresno State Bulldogs,36.0,59.4,21.2,51.8,40.9,7.1,21.9,32.4,9.9,14.1,70.1,7.4,22.9,30.4,10.6,5.5,2.1,12.4,16.6
6,Virginia Cavaliers,35.0,60.1,22.4,52.6,42.5,6.6,19.7,33.6,8.7,12.3,71.2,9.2,22.3,31.5,11.6,5.5,3.6,11.0,14.3
7,Navy Midshipmen,32.0,60.1,21.2,52.1,40.6,6.5,19.9,32.8,11.2,16.4,68.5,8.3,23.2,31.4,12.0,7.0,3.4,13.5,16.8
8,UC Irvine Anteaters,25.0,60.3,21.7,55.7,39.0,4.7,18.0,26.0,12.2,16.8,72.6,9.7,22.5,32.2,10.4,6.2,2.6,11.7,16.3
9,Saint Mary's Gaels,34.0,60.6,22.9,53.7,42.7,5.1,15.2,33.9,9.6,13.4,72.1,7.1,22.4,29.5,8.5,6.0,3.1,12.6,14.8
10,Texas Longhorns,34.0,60.6,20.9,50.2,41.7,5.4,16.9,31.9,13.4,19.6,68.1,9.6,22.6,32.2,9.2,5.8,3.3,14.9,17.9
11,Texas Tech Red Raiders,37.0,60.6,20.6,53.4,38.6,7.6,24.3,31.5,11.8,17.0,69.0,9.0,21.3,30.3,11.1,6.8,2.7,15.8,18.2
12,Vermont Catamounts,34.0,60.7,22.5,54.9,41.0,7.1,20.6,34.3,8.6,12.5,69.2,6.4,22.7,29.1,9.9,4.8,2.8,11.1,16.2
13,Boise State Broncos,35.0,60.9,22.7,53.0,42.7,5.7,17.4,32.7,9.9,13.7,72.0,7.0,23.2,30.1,9.9,5.2,2.9,13.2,19.3
14,Grand Canyon Lopes,31.0,61.2,21.8,56.5,38.5,5.3,19.5,27.3,12.4,17.9,69.0,10.5,23.6,34.1,9.4,5.8,3.0,13.0,17.6
15,Dayton Flyers,35.0,61.2,22.6,55.3,40.8,6.7,20.5,32.4,9.4,13.1,72.1,8.0,21.4,29.4,12.0,6.1,3.7,11.1,16.1
16,Southern Illinois Salukis,31.0,61.4,22.7,51.3,44.3,5.3,16.4,32.2,10.6,14.1,75.1,6.9,23.9,30.9,10.6,5.7,3.3,11.7,14.7
17,Loyola Chicago Ramblers,33.0,61.5,22.0,53.6,41.0,6.4,20.6,30.9,11.2,15.3,73.2,8.1,23.2,31.2,9.2,5.8,3.5,13.5,17.1
18,Campbell Fighting Camels,29.0,62.0,22.8,53.3,42.7,7.1,20.7,34.4,9.3,14.3,65.3,8.2,24.0,32.2,10.5,5.9,2.9,12.2,15.6
19,VCU Rams,32.0,62.4,21.2,53.8,39.4,5.4,19.3,27.8,14.6,20.6,70.8,11.4,23.1,34.4,11.4,7.8,2.7,17.0,17.3
20,Saint Peter's Peacocks,34.0,62.5,20.6,53.3,38.6,5.6,19.4,29.1,15.7,21.7,72.5,10.2,23.5,33.7,10.9,6.9,4.9,13.7,18.0
21,Iowa State Cyclones,35.0,62.5,21.7,51.1,42.5,5.6,19.5,28.9,13.5,18.8,71.8,9.0,24.3,33.3,11.6,7.3,4.0,16.6,17.1
22,Akron Zips,34.0,62.6,23.0,54.6,42.2,6.6,19.4,34.2,10.0,14.1,70.6,8.8,22.2,31.0,9.4,5.5,2.3,11.8,18.9
23,Villanova Wildcats,38.0,62.7,22.7,55.6,40.8,7.2,23.4,30.8,10.2,13.9,73.4,9.9,22.8,32.7,11.3,4.7,3.4,11.8,16.3
24,Virginia Tech Hokies,36.0,62.8,23.1,53.7,43.0,6.4,19.8,32.3,10.3,13.8,74.5,8.4,21.9,30.3,11.8,6.3,3.0,11.9,14.9
25,Tennessee Volunteers,35.0,62.9,22.0,54.6,40.3,6.7,21.4,31.3,12.2,17.2,71.1,9.4,24.3,33.7,11.5,6.6,2.8,15.8,17.2
26,Sam Houston Bearkats,33.0,63.1,21.5,52.7,40.8,7.1,22.5,31.5,13.0,18.0,72.1,8.5,25.7,34.2,12.1,5.8,2.5,14.7,15.8
27,Appalachian State Mountaineers,34.0,63.1,23.7,56.6,41.9,6.7,21.6,30.9,9.0,12.0,75.4,8.6,26.1,34.7,13.2,5.2,3.1,12.0,15.3
28,Murray State Racers,34.0,63.2,23.2,56.2,41.2,6.8,22.8,30.0,10.1,14.8,67.9,8.9,22.4,31.3,10.3,5.4,3.9,13.9,16.8
29,Texas State Bobcats,29.0,63.2,21.9,52.1,42.1,6.8,20.3,33.5,12.6,17.7,71.3,9.3,21.8,31.1,11.8,5.8,2.8,14.8,17.3
30,LSU Tigers,34.0,63.4,21.0,54.5,38.6,7.1,25.4,28.2,14.2,20.6,69.0,11.1,23.6,34.8,11.4,7.2,3.4,17.8,16.7
31,Liberty Flames,33.0,63.5,22.1,54.8,40.3,7.3,22.3,32.6,12.0,16.7,72.0,7.6,23.8,31.4,10.5,6.3,2.2,11.6,15.2
32,Morehead State Eagles,34.0,63.5,23.9,58.6,40.8,6.3,19.4,32.7,9.3,13.6,68.8,10.3,22.7,33.0,12.1,7.5,3.2,12.0,16.0
33,UC Riverside Highlanders,28.0,63.7,23.8,57.0,41.7,5.0,17.0,29.6,11.2,15.5,72.0,7.9,24.8,32.7,11.4,5.5,2.5,10.8,15.0
34,South Alabama Jaguars,33.0,64.0,22.6,55.9,40.5,6.9,21.7,31.7,11.8,16.6,71.3,10.8,23.8,34.7,12.0,5.6,2.5,14.7,17.1
35,Baylor Bears,34.0,64.1,23.6,55.6,42.3,6.1,20.1,30.2,10.9,15.4,70.3,9.9,22.5,32.4,13.2,6.4,2.8,15.9,16.8
36,Hawai'i Rainbow Warriors,28.0,64.1,23.3,55.7,41.8,5.3,17.0,31.1,12.3,17.1,71.8,8.4,22.4,30.8,8.8,6.5,2.6,10.5,18.3
37,Gardner-Webb Runnin' Bulldogs,31.0,64.2,21.7,55.7,39.0,6.5,23.2,28.3,14.2,19.4,73.3,9.4,24.6,34.0,11.2,6.5,3.0,13.1,16.1
38,Towson Tigers,34.0,64.3,22.4,54.1,41.4,7.1,22.4,31.5,12.4,17.3,71.7,8.9,21.6,30.4,10.3,4.7,3.1,12.9,17.4
39,Merrimack Warriors,30.0,64.4,22.9,53.3,42.9,6.0,18.2,33.0,12.6,17.7,71.1,11.8,26.1,37.9,13.7,6.0,3.0,14.9,14.4
40,Chattanooga Mocs,35.0,64.4,23.7,56.1,42.2,6.7,22.7,29.7,10.2,14.8,68.8,9.0,22.2,31.2,10.7,5.6,3.5,12.3,14.7
41,Norfolk State Spartans,31.0,64.4,22.2,58.4,37.9,7.7,26.5,29.0,12.4,19.3,64.4,10.4,23.2,33.6,12.3,5.8,3.3,13.7,18.2
42,UCLA Bruins,35.0,64.5,23.1,55.7,41.5,6.8,21.2,32.1,11.4,15.7,72.6,8.6,24.6,33.2,11.6,4.5,3.2,13.1,17.0
43,New Mexico State Aggies,34.0,64.6,22.6,58.1,38.9,7.5,24.8,30.1,12.0,16.0,74.7,9.1,22.0,31.1,11.2,6.9,2.1,11.9,18.8
44,Wagner Seahawks,27.0,64.7,22.2,53.3,41.7,6.2,21.0,29.6,14.0,21.0,67.0,9.3,22.9,32.3,11.6,6.2,3.0,15.5,17.7
45,Washington State Cougars,37.0,64.9,23.2,55.9,41.5,6.0,19.5,30.6,12.5,16.9,73.5,10.3,24.9,35.2,11.2,4.9,3.1,13.8,17.8
46,South Florida Bulls,31.0,64.9,22.2,53.8,41.3,7.6,22.4,33.8,12.9,18.1,71.2,9.1,26.8,35.9,13.3,5.7,3.7,12.5,15.4
47,TCU Horned Frogs,34.0,64.9,23.9,57.0,42.0,6.1,19.9,30.9,10.9,15.4,70.9,9.2,21.4,30.6,13.0,7.1,3.4,12.6,16.2
48,New Hampshire Wildcats,28.0,65.0,23.6,54.8,43.1,7.4,21.6,34.0,10.3,13.7,74.9,7.1,24.6,31.6,9.7,4.9,2.6,9.5,15.4
49,UNC Greensboro Spartans,32.0,65.0,22.3,53.2,41.9,9.0,25.7,35.0,11.5,15.0,76.8,8.1,21.8,29.8,12.5,6.9,2.6,11.9,15.9
50,Penn State Nittany Lions,31.0,65.0,23.4,56.2,41.6,7.5,21.3,35.2,10.7,14.7,72.9,8.3,23.1,31.4,12.9,6.0,3.2,8.7,14.2
51,Rhode Island Rams,31.0,65.0,22.1,56.4,39.2,7.6,23.4,32.4,13.2,18.0,73.2,10.2,24.0,34.2,12.7,7.4,2.9,13.1,18.0
52,Oklahoma Sooners,35.0,65.0,24.2,55.1,43.9,6.0,19.0,31.8,10.7,14.5,73.4,8.6,22.1,30.6,10.7,7.7,2.7,13.7,15.2
53,Northern Kentucky Norse,32.0,65.1,23.8,55.8,42.7,7.0,21.9,32.1,10.4,14.0,74.7,10.3,22.7,32.9,13.4,6.4,2.7,14.3,14.4
54,Utah Valley Wolverines,32.0,65.1,23.8,60.3,39.4,6.4,22.6,28.4,11.2,16.5,67.9,9.8,22.3,32.1,12.2,7.7,3.2,11.2,19.8
55,Bradley Braves,31.0,65.2,22.7,56.1,40.5,6.8,21.2,32.0,12.9,17.4,74.4,8.4,23.5,31.8,10.0,7.4,2.2,12.4,16.1
56,Kent State Golden Flashes,34.0,65.2,22.2,53.9,41.2,7.4,23.6,31.2,13.4,19.2,69.7,8.8,22.9,31.7,11.7,6.4,2.4,13.5,17.2
57,Mount St. Mary's Mountaineers,30.0,65.3,24.1,56.2,42.9,6.2,18.7,33.1,10.9,14.6,74.4,9.6,23.3,33.0,11.1,7.0,2.7,12.3,16.0
58,UConn Huskies,33.0,65.3,23.1,57.4,40.3,6.6,18.7,35.3,12.5,18.2,68.7,10.1,22.8,32.9,10.3,6.3,3.3,12.2,17.0
59,Tarleton State Texans,31.0,65.3,22.8,51.3,44.5,6.9,21.6,32.1,12.7,18.1,70.4,10.2,24.1,34.3,13.5,5.2,5.0,16.3,18.0
60,Coastal Carolina Chanticleers,33.0,65.3,23.4,60.1,38.9,8.3,27.4,30.2,10.3,14.5,70.8,11.0,23.2,34.1,12.8,7.1,2.8,12.2,15.7
61,Jackson State Tigers,30.0,65.5,23.3,54.2,43.0,5.2,16.0,32.2,13.7,19.8,69.1,9.3,24.5,33.7,11.3,6.6,3.5,12.1,14.5
62,Niagara Purple Eagles,30.0,65.5,23.5,56.5,41.6,6.9,20.8,33.2,11.7,15.6,74.6,9.0,25.1,34.1,12.3,5.1,2.8,11.5,16.1
63,Wyoming Cowboys,34.0,65.5,24.3,58.6,41.4,6.8,22.4,30.2,10.2,14.1,72.1,8.8,24.1,32.9,10.3,5.2,2.6,10.7,19.3
64,UNLV Rebels,32.0,65.6,23.0,56.1,40.9,7.3,23.4,31.4,12.3,17.1,71.9,9.1,25.9,35.0,12.3,5.1,2.9,11.5,16.9
65,Georgia Southern Eagles,29.0,65.6,22.8,55.6,41.0,7.1,21.6,32.7,13.0,18.8,69.0,10.5,24.2,34.7,11.3,7.5,2.8,13.7,15.6
66,Troy Trojans,32.0,65.6,23.0,55.7,41.4,6.8,20.7,32.9,12.8,18.1,70.5,9.5,24.0,33.5,11.8,8.2,3.6,14.8,17.3
