Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
1,Wichita State Shockers,35.0,59.0,18.8,48.7,38.7,5.8,17.9,32.4,15.6,22.0,70.9,8.0,24.9,33.0,9.0,4.7,3.0,15.5,20.4
2,Virginia Cavaliers,37.0,60.1,21.0,50.0,42.0,6.4,18.3,34.7,11.7,16.7,70.2,7.9,20.5,28.3,10.0,5.4,2.2,11.6,16.7
3,San Diego State Aztecs,38.0,60.6,21.0,56.4,37.3,6.0,20.0,30.0,12.6,17.3,72.6,10.3,23.1,33.3,10.3,6.0,3.6,12.2,19.9
4,Saint Mary's Gaels,35.0,60.9,23.0,56.1,40.9,5.8,17.7,32.9,9.1,13.6,67.2,9.5,20.5,29.9,10.8,4.4,2.5,9.6,17.3
5,Louisville Cardinals,31.0,61.1,20.4,52.1,39.0,5.9,18.4,32.1,14.5,21.1,68.8,10.2,21.4,31.6,10.5,5.5,2.9,14.4,17.9
6,Little Rock Trojans,34.0,61.1,20.6,52.2,39.4,6.5,20.7,31.6,13.5,19.6,68.7,10.2,24.2,34.4,10.7,3.9,2.7,14.0,17.6
7,Old Dominion Monarchs,38.0,61.6,21.0,52.8,39.7,6.1,19.3,31.5,13.5,18.9,71.6,9.5,22.8,32.3,10.5,4.2,3.2,10.9,18.0
8,Charleston Cougars,31.0,62.0,21.2,49.9,42.4,5.6,17.3,32.3,14.0,21.3,65.8,8.7,25.2,33.9,10.1,5.3,3.3,14.4,18.4
9,Valparaiso Beacons,37.0,62.8,21.4,55.7,38.4,6.1,18.5,32.9,13.9,21.2,65.6,9.4,23.3,32.6,10.7,5.8,3.6,12.9,19.4
10,New Mexico State Aggies,34.0,63.1,22.9,58.6,39.2,6.3,18.7,33.6,10.9,16.3,67.1,9.6,21.7,31.3,10.9,5.3,2.0,11.1,20.2
11,Stephen F. Austin Lumberjacks,34.0,63.3,22.5,51.3,43.8,5.1,16.0,32.0,13.3,20.0,66.3,9.9,22.4,32.3,11.7,5.3,2.8,18.6,20.2
12,Cincinnati Bearcats,33.0,63.3,22.7,57.8,39.3,7.3,20.4,35.7,10.6,15.6,68.0,11.4,23.1,34.4,11.5,5.1,3.3,13.6,17.4
13,SMU Mustangs,30.0,63.4,22.5,56.3,40.0,7.5,22.5,33.1,10.9,17.1,63.7,10.4,18.8,29.3,12.6,7.3,3.9,12.1,17.9
14,Villanova Wildcats,40.0,63.6,22.7,56.2,40.3,7.1,21.0,33.9,11.2,16.9,66.2,10.8,22.3,33.1,12.8,5.8,2.2,13.9,18.9
15,UConn Huskies,35.0,63.6,21.8,56.5,38.6,6.7,20.6,32.6,13.3,20.1,66.1,11.2,23.5,34.7,11.4,5.1,3.7,12.4,16.3
16,Cal State Bakersfield Roadrunners,33.0,63.8,21.1,53.5,39.5,6.0,18.3,32.7,15.6,22.6,68.8,10.6,23.6,34.2,10.3,5.4,3.3,15.2,19.9
17,Wisconsin Badgers,35.0,63.8,22.7,53.2,42.6,5.7,15.4,37.3,12.7,17.9,70.9,9.1,22.9,32.0,10.6,5.4,3.3,12.0,19.9
18,Yale Bulldogs,30.0,63.8,22.6,55.1,41.0,6.1,18.8,32.4,12.5,17.9,69.8,8.5,20.8,29.4,11.3,6.7,3.6,12.2,21.4
19,Northern Iowa Panthers,36.0,64.0,23.6,55.8,42.3,7.1,22.1,32.1,9.7,13.4,72.0,9.2,25.2,34.4,12.1,4.8,2.6,11.8,18.5
20,Stony Brook Seawolves,33.0,64.1,23.3,57.2,40.8,6.4,19.7,32.7,11.0,15.3,71.7,9.2,22.9,32.1,11.1,5.6,2.9,12.7,18.4
